isbn,main author
B0038AUY8M,Scott O'Dell
9780307269997,Stieg Larsson
9781400031702,Donna Tartt
9780316182546,Janet Fitch 
9780061726835,Lauren Oliver 
B0052VUNHC,Jamie McGuire 
9780743477550,William Shakespeare
9780975925591,Ki Longfellow 
9780142414934,John Green 
9780345476883,Anne Rice
9780374311254,Laurie Halse Anderson 
9780679642428,Fyodor Dostoyevsky
9780743482769,William Shakespeare
9780441627400,T.H. White
9780060987565,Wally Lamb 
9780060557812,Neil Gaiman 
9780385486804,Jon Krakauer 
9780439709101,Cornelia Funke 
9780380813810,Christopher Moore 
B000FCK6EI,Elizabeth Kostova
9780553328257,Arthur Conan Doyle
9780486266893,Voltaire
9780375814242,Roald Dahl
9780099494287,Tim Butcher 
9780140424393,John Milton
9780312965785,James Herriot
9780517053614,William Shakespeare
9780743298025,Diane Setterfield 
9780553803716,Isaac Asimov
9780375704024,Haruki Murakami
9780767902892,Tim O'Brien
9780786226740,John Irving 
9780751514629,Stephen King 
9781400079278,Haruki Murakami
9780753454947,Johanna Spyri
9780689841583,Judy Blume 
9781442416864,Cassandra Clare 
9781857993288,Jostein Gaarder
9780756404734,Patrick Rothfuss 
9780543898081,Kate Chopin
B00BMKH5NW,Rainbow Rowell 
9780679736370,William Styron
9780553381542,Pat Conroy
9781400078776,Kazuo Ishiguro
9781423140597,Rick Riordan 
9780441008537,Charlaine Harris 
9780375508417,Fannie Flagg
9781612130583,E.L. James 
9780307887436,Ernest Cline 
9780451529176,George Eliot
9780375829130,Jon Stone
B015FELXQ0,Sarah J. Maas 
9780140280098,Helen Fielding 
9780151009985,Virginia Woolf
9780439023511,Suzanne Collins
9780316769020,J.D. Salinger
9780345410054,Bryce Courtenay
9780060764906,C.S. Lewis
9780061142024,Neil Gaiman 
9780440227533,Lois Lowry 
B000SEGTI0,Philip K. Dick
9780007524273,Veronica Roth 
9781250012579,Rainbow Rowell 
9780767908184,Bill Bryson
9780143124542,Jojo Moyes 
9781423140603,Rick Riordan 
9781554681723,Garth Stein 
9780765326355,Brandon Sanderson 
9780525421030,Gayle Forman 
9780439228909,Anna Sewell
9780142437346,James Joyce
9780141439495,Jonathan Swift
9780060838720,Ann Patchett
9780679735779,Bret Easton Ellis
9781401207922,Alan Moore 
9780920668375,Robert Munsch
9780590032490,Roald Dahl
9780060530921,Neil Gaiman 
9780140259445,Jane Austen
9780345803504,E.L. James 
9780802142849,Charles Frazier
9780439236195,Jack London
9780393320978,Unknown
9780374480097,Natalie Babbitt
9780765311788,Brandon Sanderson 
9780316042673,Kami Garcia 
9780140282580,Hermann Hesse
9780375840401,Christopher Paolini 
9780451216953,J.R. Ward 
9781416914631,Beatrice Sparks 
9780812511819,Robert Jordan
9780553212280,Edgar Allan Poe
9780679732259,William Faulkner
9780743253970,John Knowles
9780141014081,Art Spiegelman
9780141439808,Jane Austen
9780312282998,Michael Chabon
9780375826726,Christopher Paolini 
