,0,1,2,3,4,5,6
Cece Whittaker ,n,o,n,e,,,
Shaun David Hutchinson ,n,o,n,e,,,
William Graney ,n,o,n,e,,,
M.S. Matassa ,n,o,n,e,,,
Melinda Leigh ,n,o,n,e,,,
Trevor Noah, (1984-02-20) 20 February 1984 (age 38)Johannesburg, Transvaal, South Africa,,,,
Kris Kelkar ,n,o,n,e,,,
Celeste Ng , (1980-07-30) July 30, 1980 (age 42)Pittsburgh, Pennsylvania,,,,
Jamie McHone ,n,o,n,e,,,
Shari Lapena ,n,o,n,e,,,
Mya Robarts,n,o,n,e,,,
Darin C. Brown ,n,o,n,e,,,
B.A. Paris ,Surrey, UK,,,,,
K.J. Soze ,n,o,n,e,,,
Michael Stephen Daigle ,n,o,n,e,,,
Scott Lynch , (1978-04-02) April 2, 1978 (age 44)Saint Paul, Minnesota, U.S.,,,
Danielle Simmons,n,o,n,e,,,
Marie Rutkoski ,Marie Rutkoski (1977-03-05) March 5, 1977 (age 45)Hinsdale, Illinois, United States,,,
Ashlee Vance ,1977 (age 44–45)South Africa,,,,,,
Miquel Reina ,n,o,n,e,,,
Christian Warren Freed ,n,o,n,e,,,
Sylvia Plath,(1932-10-27)October 27, 1932Boston, Massachusetts, U.S.,,,
E.L. James ,Erika Mitchell (1963-03-07) 7 March 1963 (age 59)Willesden, London, England,,,,
Camilla Isley ,n,o,n,e,,,
Soman Chainani ,Author, filmmaker,,,,,
Jordan B. Peterson,Jordan Bernt Peterson (1962-06-12) 12 June 1962 (age 60)Edmonton, Alberta, Canada,,,,
Lisa Wingate ,1965Germany,,,,,,
Lee Matthew Goldberg ,n,o,n,e,,,
Grahame Shannon ,n,o,n,e,,,
Anne Michaud ,n,o,n,e,,,
Denis Johnson,Denis Hale Johnson[1](1949-07-01)July 1, 1949Munich, West Germany,,,,
Kerri Maniscalco ,n,o,n,e,,,
Amanda Hocking , (1984-07-12) July 12, 1984 (age 38)Austin, Minnesota,,,,
Mark T. Sullivan ,n,o,n,e,,,
Emem Uko ,n,o,n,e,,,
Caroline Kepnes , (1976-11-10) 10 November 1976 (age 46)[1]Centerville, Massachusetts, US,,,,
Marie Lu ,陸希未 (1984-07-11) July 11, 1984 (age 38)Wuxi, Jiangsu, China,,,
Mandy Stadtmiller , (1975-10-24) October 24, 1975 (age 47)San Diego, California,,,,
Chuck Palahniuk ,Charles Michael Palahniuk (1962-02-21) February 21, 1962 (age 60)Pasco, Washington, U.S.,,,
Sophie Kinsella ,Madeleine Sophie Townley (1970-12-12) 12 December 1970 (age 52)Wandsworth, England,,,,,
Harper Lee,Nelle Harper Lee(1926-04-28)April 28, 1926Monroeville, Alabama, U.S.,,,
J.K. Rowling,Joanne Rowling (1965-07-31) 31 July 1965 (age 57)Yate, Gloucestershire, England,,,,
Erich Fromm,Erich Seligmann FrommMarch 23, 1900Frankfurt am Main, German Empire,,,,
Lili Anolik ,n,o,n,e,,,
Brian Courtney ,n,o,n,e,,,
Stephen King ,Stephen Edwin King (1947-09-21) September 21, 1947 (age 75)Portland, Maine, U.S.,,,
Francesca Zappia ,n,o,n,e,,,
Daniel Kelly ,n,o,n,e,,,
Lali A. Love ,n,o,n,e,,,
Amy Harmon ,n,o,n,e,,,
Jodi Picoult ,Nesconset, New York, U.S.,,,,
Mariam Petrosyan,Մարիամ Պետրոսյան,,,,,,
Mimi Jean Pamfiloff ,n,o,n,e,,,
Bryn Greenwood ,n,o,n,e,,,
Victoria Schwab ,Victoria Elizabeth Schwab (1987-07-07) July 7, 1987 (age 35)California,,,,,
Kate Quinn ,Long Beach, California, United States,,,,
Richelle Mead , (1976-11-12) November 12, 1976 (age 46)Michigan, United States,,,,
Anne Frasier ,Burlington, Iowa, United States,,,,
Shanna Ehrlich ,n,o,n,e,,,
Carol Wyer ,n,o,n,e,,,
Gleb Tsipursky ,n,o,n,e,,,
Paula Hawkins ,n,o,n,e,,,
Tamara Ireland Stone ,n,o,n,e,,,
Yaa Gyasi,1989 (age 32–33)Mampong, Ghana,,,,,
Stephen Westaby,n,o,n,e,,,
Viet Thanh Nguyen ,Nguyễn Thanh Việt (1971-03-13) March 13, 1971 (age 51)Ban Mê Thuột, South Vietnam,,,,
Tanya Thompson,n,o,n,e,,,
Jennifer Niven ,Author, Screenwriter,,,,,
Sally Rooney , (1991-02-20) 20 February 1991 (age 31)Castlebar, County Mayo, Ireland,,,,
Neal Shusterman , (1962-11-12) November 12, 1962 (age 60)Brooklyn, New York City,,,,
Erika Johansen ,Erika Johansen,,,,,,
Hector Malot,(1830-05-20)20 May 1830La Bouille, France,,,,,
Sabaa Tahir ,Novelist,,,,,,
Paul Auster,Paul Benjamin Auster (1947-02-03) February 3, 1947 (age 75)Newark, New Jersey, U.S.,,,
Don Phelan ,n,o,n,e,,,
Shannon Messenger ,Author,,,,,,
Kimberly Brubaker Bradley ,Fort Wayne, Indiana, U.S.,,,,
