,0,1,2,3,4,5,6
Anne Bishop,Writer,,,,,,
Elsa Blomster,n,o,n,e,,,
Ashley Poston ,n,o,n,e,,,
Zoje Stage ,n,o,n,e,,,
J.D. Barker ,n,o,n,e,,,
Jenn Bennett ,March 1978Frankfurt am Main, Germany,,,,,
Jen Wang , (1984-03-22) March 22, 1984 (age 38)[1]Alameda County, California, U.S.,,,
Curtis Sittenfeld ,Elizabeth Curtis Sittenfeld (1975-08-23) August 23, 1975 (age 47)Cincinnati, Ohio, U.S.,,,
Ray Dalio ,Raymond Thomas Dalio (1949-08-08) August 8, 1949 (age 73)New York City, U.S.,,,,
Elly Blake ,n,o,n,e,,,
Sarina Bowen ,n,o,n,e,,,
Karl Wiggins ,n,o,n,e,,,
Kerry Lonsdale ,n,o,n,e,,,
Cathy Octo ,n,o,n,e,,,
John Boyne, (1971-04-30) 30 April 1971 (age 51)Dublin, Ireland,,,,,
Gary B. Shelly,n,o,n,e,,,
Emery Lord ,n,o,n,e,,,
Steve Silberman,United States,,,,,,
Jennifer Mathieu ,n,o,n,e,,,
Christopher Greyson ,n,o,n,e,,,
Helen Hoang ,1982 (age 39–40)Minneapolis, Minnesota, U.S.,,,,
Maddie Dawson ,n,o,n,e,,,
Andrew Sean Greer, (1970-11-21) November 21, 1970 (age 52)Washington D.C., U.S.,,,,
Sara Barnard ,n,o,n,e,,,
Ottessa Moshfegh,Ottessa Charlotte Moshfegh (1981-05-20) May 20, 1981 (age 41)Boston, Massachusetts, U.S.,,,
David Arnold , (1962-01-23) 23 January 1962 (age 60)Luton, England,,,,,
I.T. Lucas ,n,o,n,e,,,
Abraham Lopez ,n,o,n,e,,,
Katrin Schumann ,n,o,n,e,,,
Dean Koontz ,Dean Ray Koontz (1945-07-09) July 9, 1945 (age 77)Everett, Pennsylvania, U.S.,,,
Elin Hilderbrand ,n,o,n,e,,,
Louise Gornall ,n,o,n,e,,,
Matthew Farrell ,n,o,n,e,,,
J.D. Tyler ,n,o,n,e,,,
Hillary Rodham Clinton,Barack Obama,,,,,,
Laura Sebastian ,n,o,n,e,,,
Fiona Barton ,n,o,n,e,,,
Noah Hawley ,1967 (age 54–55)New York City, U.S.[1],,,,,
Danielle Paige ,n,o,n,e,,,
Connie Glynn,Constance Ella Glynn (1994-03-16) 16 March 1994 (age 28)[1]Hatfield, Hertfordshire, England,,,,
Amy Tintera ,n,o,n,e,,,
Robin Roe ,n,o,n,e,,,
Amber Lee,n,o,n,e,,,
Jesmyn Ward , (1977-04-01) April 1, 1977 (age 45)Berkeley, California, U.S.,,,
Ken Liu ,刘宇昆; Liú Yǔkūn1976 (age 45–46)Lanzhou, China,,,,,
Jeaniene Frost , (1974-06-13) June 13, 1974 (age 48)[1]United States,,,,,
Beth O'Leary ,n,o,n,e,,,
Mel Ryle ,n,o,n,e,,,
Stephenie Meyer,Stephenie Morgan (1973-12-24) December 24, 1973 (age 48)Hartford, Connecticut, U.S.,,,
Melanie Dickerson ,n,o,n,e,,,
T.M. Frazier ,n,o,n,e,,,
Claire Monette ,n,o,n,e,,,
Matthew Desmond ,1979 or 1980 (age 42–43)[1],,,,,,
Erik Larson ,n,o,n,e,,,
Michelle Falkoff ,n,o,n,e,,,
Meredith Russo ,Author,,,,,,
Tarryn Fisher ,c. 1983[1]Johannesburg, South Africa,,,,,
Kate Atkinson,n,o,n,e,,,
Julie Kagawa , (1982-10-12) October 12, 1982 (age 40)Sacramento, California, United States,,,
Renée Knight,n,o,n,e,,,
Hank Green ,William Henry Green II (1980-05-05) May 5, 1980 (age 42)Birmingham, Alabama, U.S.,,,
Douglas E. Richards ,n,o,n,e,,,
Kate Summerscale,1965 (age 56–57)London, England,,,,,
Elena Ferrante,Novelist,,,,,,
Orson Scott Card, (1951-08-24) August 24, 1951 (age 71)Richland, Washington, U.S.,,,
Sean Gordon Murphy ,Sean Gordon MurphyNashua, New Hampshire,,,,,
Hyeonseo Lee ,Kim Ji-haeJanuary 1980 (1980-01) (age 42)[1]Hyesan, Ryanggang Province, North Korea,,,,
Aly Martinez ,n,o,n,e,,,
Jonathan Macpherson ,n,o,n,e,,,
H.L. Roberts ,n,o,n,e,,,
Cliff Lerner ,Clifford Lerner,,,,,,
Simon W. Clark ,n,o,n,e,,,
Lisa Terry ,n,o,n,e,,,
Eliezer Yudkowsky ,Eliezer Shlomo Yudkowsky (1979-09-11) September 11, 1979 (age 43)Chicago, Illinois, U.S.,,,
Elle Kennedy ,Novelist,,,,,,
Charlie J. Eskew ,n,o,n,e,,,
Mark Edwards ,n,o,n,e,,,
Grace Draven ,n,o,n,e,,,
Amish Tripathi , (1974-10-18) 18 October 1974 (age 48)Mumbai, Maharashtra, India[1],,,,
Zaman Ali ,n,o,n,e,,,
Nicholas Eames ,Nicholas Eames,,,,,,
Claire Legrand ,Irving, Texas, United States,,,,
K.J. Kruk ,n,o,n,e,,,
Ali Shaw ,n,o,n,e,,,
Elise Kova ,n,o,n,e,,,
Sarah Rees Brennan ,c.1980Ireland,,,,,,
Heather O'Neill ,1973 (age 48–49)Montreal, Quebec,,,,,
I.V. Olokita ,n,o,n,e,,,
Krista Ritchie ,n,o,n,e,,,
Beth Aldrich ,n,o,n,e,,,
Alex Bell,"
Alexander Bell",,,,,,
Alix E. Harrow ,November 9, 1989Idaho, United States,,,,
Meg Waite Clayton ,January 1, 1959Washington, D.C. United States,,,,
Renée Paule ,n,o,n,e,,,
Dmitry Glukhovsky ,Дмитрий Алексеевич Глуховский,,,,,,
Roshani Chokshi , (1991-02-14) February 14, 1991 (age 31)Saint Louis, Missouri, United States,,,
Kathleen Rooney ,Beckley, West Virginia,,,,,
Natasha Pulley, (1988-12-04) December 4, 1988 (age 34),,,,,
Robin Hobb ,Margaret Astrid Lindholm (1952-03-05) March 5, 1952 (age 70)Berkeley, California, US,,,
Chanel Miller,Chanel Elisabeth Miller[1] (1992-06-12) June 12, 1992 (age 30)Palo Alto, California, U.S.,,,
Brittany Cavallaro ,n,o,n,e,,,
Robert Kolker ,Baltimore, Maryland, US,,,,
Gena Showalter ,1975 (age 46–47)Oklahoma,,,,,,
Scott Westerfeld , (1963-05-06) May 6, 1963 (age 59)Dallas, Texas, United States,,,
Susin Nielsen ,n,o,n,e,,,
Jenna Evans Welch ,n,o,n,e,,,
Rebecca Ross ,n,o,n,e,,,
Raina Telgemeier ,Raina Diane Telgemeier (1977-05-26) May 26, 1977 (age 45)San Francisco, California,,,,
Stacey Lee ,English,,,,,,
Sara Raasch , (1989-08-26) August 26, 1989 (age 33)Ohio,,,,,
Evelyn Skye ,n,o,n,e,,,
Michael Rickard ,n,o,n,e,,,
Jackson Lanzing,n,o,n,e,,,
Pam Muñoz Ryan, (1951-12-25) December 25, 1951 (age 70)Bakersfield, California, US,,,
Lynette Noni ,n,o,n,e,,,
Nic Stone , (1985-07-10) July 10, 1985 (age 37)Atlanta, Georgia,,,,
Jex Lane ,n,o,n,e,,,
RoAnna Sylver ,n,o,n,e,,,
M.H. Boroson,n,o,n,e,,,
Michael Dante DiMartino , (1974-07-18) July 18, 1974 (age 48)Shelburne, Vermont, U.S.,,,
David Baldacci , (1960-08-05) August 5, 1960 (age 62)Richmond, Virginia, U.S.,,,
Julian Barnes, (1946-01-19) 19 January 1946 (age 76)Leicester, England,,,,,
Tim Tigner ,n,o,n,e,,,
Anna-Marie McLemore ,English,,,,,,
Christine Zolendz ,n,o,n,e,,,
Nora Roberts ,Eleanor Marie Robertson (1950-10-10) October 10, 1950 (age 72)Silver Spring, Maryland, U.S.,,,
Han Kang, (1970-11-27) November 27, 1970 (age 52)Gwangju, South Korea,,,,
Loreth Anne White ,n,o,n,e,,,
Maria Dahvana Headley , (1977-06-21) June 21, 1977 (age 45)Estacada, Oregon, U.S.,,,
Heather Demetrios ,n,o,n,e,,,
Carmen Maria Machado , (1986-07-03) July 3, 1986 (age 36)Allentown, Pennsylvania, U.S.,,,
Kohei Horikoshi,Kōhei Horikoshi (1986-11-20) November 20, 1986 (age 36)Aichi Prefecture, Japan,,,,
John Gardner,n,o,n,e,,,
Addison D'marko ,n,o,n,e,,,
Joe Hill ,n,o,n,e,,,
Emily Bleeker ,n,o,n,e,,,
Renee Carlino ,n,o,n,e,,,
Joey Graceffa,Joseph Michael Graceffa Jr. (1991-05-16) May 16, 1991 (age 31)Marlborough, Massachusetts, U.S.,,,
Morgan Matson ,Morgan Catherine MatsonNew York City, U.S.,,,,,
V.E. Schwab ,Victoria Elizabeth Schwab (1987-07-07) July 7, 1987 (age 35)California,,,,,
Liv Constantine ,n,o,n,e,,,
Ilona Andrews ,Andrew Beauregard GordonIlona Gordon,,,,,,
Inio Asano, (1980-09-22) September 22, 1980 (age 42)Ishioka, Japan,,,,
Sherrilyn Kenyon ,Sherrilyn Woodward (1965-12-11) December 11, 1965 (age 57)Columbus, Georgia, US,,,
Lang Leav , (1980-09-08) 8 September 1980 (age 42)Nakhon Si Thammarat, Thailand,,,,,
Laura Thalassa ,n,o,n,e,,,
Bill Browder ,William Felix Browder (1964-04-23) April 23, 1964 (age 58)[1]Princeton, New Jersey, U.S.,,,
Helen C. Escott ,n,o,n,e,,,
T.J. Klune ,n,o,n,e,,,
Miriam Sawan ,n,o,n,e,,,
Penelope Douglas ,n,o,n,e,,,
Katherine Applegate, (1956-10-09) October 9, 1956 (age 66)Ann Arbor, Michigan, U.S.,,,
A.G. Riddle ,n,o,n,e,,,
Stephen Fry,Stephen John Fry (1957-08-24) 24 August 1957 (age 65)Hampstead, London, England,,,,
Robert W. Doubek,n,o,n,e,,,
Melissa Bashardoust ,n,o,n,e,,,
Bill Brown ,n,o,n,e,,,
Teri Terry ,n,o,n,e,,,
Clare Mackintosh ,Bristol,,,,,,
Angie Thomas , (1988-09-20) September 20, 1988 (age 34)Jackson, Mississippi, U.S.,,,
Alex Flinn , (1966-10-23) October 23, 1966 (age 56)Glen Cove, New York, United States,,,
Catherine Steadman, (1987-02-08) 8 February 1987 (age 35)England,,,,,,
Wendy Holden ,n,o,n,e,,,
James S.A. Corey ,2011–present,,,,,,
Jodi Meadows ,n,o,n,e,,,
Tommy Wallach ,n,o,n,e,,,
Isabel Allende ,Isabel Angélica Allende Llona (1942-08-02) 2 August 1942 (age 80)Lima," Peru[1]: 1942 
",,,,,
Anthony Ray Hinton, (1956-06-01) June 1, 1956 (age 66)Alabama, U.S.,,,,
Zen Cho ,Author,,,,,,
Irvine Welsh,27 September 1958 (1958-09-27) (age 64)Leith, Edinburgh, Scotland,,,,
Yeonmi Park, (1993-10-04) 4 October 1993 (age 29)Hyesan, Ryanggang Province, North Korea,,,,
Lynn Weingarten ,n,o,n,e,,,
April Genevieve Tucholke,Writer,,,,,,
R.J. Palacio,Raquel Jaramillo (1963-07-13) July 13, 1963 (age 59),,,,,
Terry Pratchett,Terence David John Pratchett(1948-04-28)28 April 1948Beaconsfield, Buckinghamshire, England,,,,
Maureen Johnson , (1973-02-16) February 16, 1973 (age 49)Philadelphia, Pennsylvania, United States,,,
Madeleine Thien,May 25, 1974Vancouver, British Columbia, Canada,,,
Ali Smith, (1962-08-24) 24 August 1962 (age 60)Inverness, Scotland,,,,,
Meg Kassel ,n,o,n,e,,,
Sarah Andersen ,Maryland Institute College of Art,,,,,,
Brian K. Vaughan , (1976-07-17) July 17, 1976 (age 46)Cleveland, Ohio, U.S.,,,
Shel Silverstein,Sheldon Allan Silverstein(1930-09-25)September 25, 1930Chicago, Illinois, U.S.,,,
Jennifer Donnelly , (1963-08-16) August 16, 1963 (age 59)Port Chester, New York, U.S.,,,
Catherine Forsayeth,n,o,n,e,,,
William L. Myers Jr. ,n,o,n,e,,,
Iain M. Rodgers ,n,o,n,e,,,
Kamel Daoud,n,o,n,e,,,
Michael J. Sullivan ,n,o,n,e,,,
Nalini Singh ,Nalini Shourie (1945-09-01) September 1, 1945 (age 77)Jalandhar,,,,,
M.J. Arlidge,n,o,n,e,,,
Melissa Tagg ,n,o,n,e,,,
Angelica Banks ,n,o,n,e,,,
Anne Tyler , (1941-10-25) October 25, 1941 (age 81)Minneapolis, Minnesota, United States,,,
Roseanna M. White ,n,o,n,e,,,
Christina Henry ,n,o,n,e,,,
James Comey,Barack ObamaDonald Trump,,,,,,
Angela Marsons ,n,o,n,e,,,
Jessica Khoury ,n,o,n,e,,,
Janet E. Morris ,May 25, 1946 (1946-05-25) (age 76),,,,,
Laura Ruby,n,o,n,e,,,
Lily Collins,Lily Jane Collins (1989-03-18) 18 March 1989 (age 33)Guildford, Surrey, England,,,,
Shane Dawson,Shane Lee Yaw (1988-07-19) July 19, 1988 (age 34)Long Beach, California, U.S.,,,
J.D. Vance,Rob Portman,,,,,,
Andy Weir , (1972-06-16) June 16, 1972 (age 50)Davis, California, U.S.[1],,,
Frans de Waal,Franciscus Bernardus Maria de Waal (1948-10-29) October 29, 1948 (age 74)'s-Hertogenbosch, North Brabant, Netherlands,,,
Meredith Wild ,n,o,n,e,,,
Helena Hunting ,n,o,n,e,,,
Jenn Bishop ,n,o,n,e,,,
Bill Konigsberg ,November 11, 1970 (1970-11-11) (age 52)New York City,,,,,
Michael Buckley,n,o,n,e,,,
Jessi Kir,n,o,n,e,,,
Barbara O'Connor ,n,o,n,e,,,
Synne Jakobsen ,n,o,n,e,,,
Alex Gino,Staten Island, New York,,,,,
Sylvia Day ,Sylvia June Day (1973-03-11) March 11, 1973 (age 49)Los Angeles, California,,,,
Jim Butcher , (1971-10-26) October 26, 1971 (age 51)Independence, Missouri, United States,,,
Claudia Gray ,Amy Vincent,,,,,,
Kate O'Hearn,Kate O'HearnToronto, Ontario, Canada[1],,,,
Jeanne Birdsall,1951 (age 70–71)Philadelphia, Pennsylvania, U.S.[1],,,,
Melissa Grey ,n,o,n,e,,,
Karen M. McManus , (1969-05-14) May 14, 1969 (age 53)Massachusetts, United States,,,,
John Marrs ,n,o,n,e,,,
RuDixon,n,o,n,e,,,
Heather Cocks ,n,o,n,e,,,
Anna Kavan,Helen Emily Woods(1901-04-10)10 April 1901Cannes, France,,,,,
E.C. Jackson ,n,o,n,e,,,
Michele Breza ,n,o,n,e,,,
John Calvin,Jehan Cauvin(1509-07-10)10 July 1509Noyon, Picardy, France,,,,
Loren Molloy ,n,o,n,e,,,
Cathy McLennan ,n,o,n,e,,,
Kapil Kumar Bhaskar ,n,o,n,e,,,
Ashish Jaiswal ,Ramtek,,,,,,
Amy Koto ,n,o,n,e,,,
Laurick Ingram ,n,o,n,e,,,
Robert Jenkins ,n,o,n,e,,,
Beth Koritz ,n,o,n,e,,,
Wole Akosile ,n,o,n,e,,,
Melanie Martins ,n,o,n,e,,,
Heather Marsh ,Author, programmer,,,,,
Sita Bennett ,n,o,n,e,,,
Chris Carter,n,o,n,e,,,
Tillie Walden,1996 (age 25–26),,,,,,
Ashley Stoyanoff ,n,o,n,e,,,
Iain Reid ,Ontario, Canada[1],,,,,
Kate James ,n,o,n,e,,,
Vincent L. Scarsella ,n,o,n,e,,,
Fletcher DeLancey ,n,o,n,e,,,
Nina Willner , (1961-03-01) March 1, 1961 (age 61),,,,,
Giovanna Fletcher ,Giovanna Falcone (1985-01-29) 29 January 1985 (age 37)Essex, England,,,,,
Cindy Brandner ,n,o,n,e,,,
Alain de Botton , (1969-12-20) 20 December 1969 (age 52)Zürich, Switzerland,,,,,
Charlie Mackesy,Charles Mackesy (1962-12-11) 11 December 1962 (age 60)Northumberland, England, United Kingdom,,,,
Kiley Reid,1987 (age 34–35)Los Angeles, California, U.S.,,,,
Jennifer Lynn Barnes ,Tulsa, Oklahoma,,,,,
Sara Gruen ,1969 (age 52–53)Vancouver, British Columbia, Canada,,,,
Matthew Syed, (1970-11-02) 2 November 1970 (age 52)Reading, Berkshire, England,,,,
Jessica Brody ,Smith College,,,,,,
Lylah James ,n,o,n,e,,,
Andrew Norriss,n,o,n,e,,,
Kate Stewart ,Kate Stewart[citation needed] (1995-01-16) 16 January 1995 (age 27)London, England, UK,,,,
Sara Bareilles,Sara Beth Bareilles (1979-12-07) December 7, 1979 (age 43)Eureka, California, U.S.,,,
Holly Bourne ,6 May,,,,,,
Vi Keeland ,English,,,,,,
E.O. Odiase ,n,o,n,e,,,
J.T. LeRoy,n,o,n,e,,,
Bernhard Hennen,1966 (age 55–56)[1]Krefeld, Germany[1],,,,,
Brené Brown ,Casandra Brené Brown (1965-11-18) November 18, 1965 (age 57)San Antonio, Texas, U.S.,,,
Chris-Jean Clarke ,n,o,n,e,,,
Alice Hoffman , (1952-03-16) March 16, 1952 (age 70)New York City, United States,,,,
Danielle Esplin ,n,o,n,e,,,
Lauren James ,"
 (2001-09-29) 29 September 2001 (age 21)",,,,,,
Kade Cook ,n,o,n,e,,,
Cassandra Fear ,n,o,n,e,,,
William Gibson,William Ford Gibson (1948-03-17) March 17, 1948 (age 74)[1]Conway, South Carolina, U.S.,,,
Frances Hardinge,1973 (age 48–49)Brighton, East Sussex, England,,,,
Ali Land,n,o,n,e,,,
Nujeen Mustafa,1 January 1999Kobanî, Syria,,,,,
Jennifer Anne Davis ,n,o,n,e,,,
Jill Santopolo ,n,o,n,e,,,
Marjorie M. Liu ,Philadelphia, Pennsylvania, U.S.,,,,
Ryan Holiday ,June 16, 1987 (1987-06-16) (age 35)Sacramento, California, U.S.,,,
Lyndsay Faye ,Author,,,,,,
Malcolm Gladwell,Malcolm Timothy Gladwell (1963-09-03) 3 September 1963 (age 59)Fareham, England, UK,,,,
Lyssa Kay Adams ,n,o,n,e,,,
J. Cafesin ,n,o,n,e,,,
Walter Dean Myers,Walter Milton Myers(1937-08-12)August 12, 1937Martinsburg, West Virginia, U.S.,,,
Katy Evans , (1976-03-03) March 3, 1976 (age 46),,,,,
William MacAskill ,William David Crouch (1987-03-24) 24 March 1987 (age 35)Glasgow, Scotland,,,,,
Beth Revis ,North Carolina, US,,,,,
Elena Favilli , (1982-08-03) August 3, 1982 (age 40)Montevarchi, Tuscany, Italy,,,
Emiko Jean ,n,o,n,e,,,
Viral Dalal ,n,o,n,e,,,
Olga Tokarczuk, (1962-01-29) 29 January 1962 (age 60)Sulechów, Poland,,,,,
Mariko Tamaki,1975 (age 46–47)Toronto, Canada,,,,,
Jennifer A. Nielsen , (1971-07-10) July 10, 1971 (age 51)Northern Utah,,,,,
Adib Khorram ,n,o,n,e,,,
Victoria Lee ,Victoria Lee (2004-05-17) May 17, 2004 (age 18)Waipahu, Hawaii, United States,,,
Richard Bradford,n,o,n,e,,,
Kaitlin Bevis ,n,o,n,e,,,
Kresley Cole ,Novelist,,,,,,
Adam Steven Page ,n,o,n,e,,,
Miranda July ,Miranda Jennifer Grossinger (1974-02-15) February 15, 1974 (age 48)Barre, Vermont, U.S.,,,
C.J. Redwine ,n,o,n,e,,,
Will Wight ,William Lawrence Wight III (1989-08-11) August 11, 1989 (age 33)Memphis, Tennessee, USA,,,
Wendy Spinale ,n,o,n,e,,,
Ann Leckie , (1966-03-02) 2 March 1966 (age 56)[1]Toledo, Ohio[2],,,,,
Jennifer Latham ,n,o,n,e,,,
Sharlyn G. Branson ,n,o,n,e,,,
Dalai Lama XIV,22 February 1940 – present,,,,,,
Peter V. Brett , (1973-02-08) February 8, 1973 (age 49)New Rochelle, New York,,,,
C.G. Drews ,n,o,n,e,,,
Max Porter,n,o,n,e,,,
Walter Isaacson ,James K. Glassman,,,,,,
Shashi Tharoor,Anurag Thakur,,,,,,
Bernardine Evaristo,Bernardine Anne Mobolaji Evaristo (1959-05-28) 28 May 1959 (age 63)Eltham, London, England,,,,
Haemin Sunim,Buddhist TeacherWriter,,,,,,
Helen Oyeyemi ,Helen Oyeyemi (1984-12-10) 10 December 1984 (age 38)Ibadan, Nigeria,,,,,
Cath Crowley ,n,o,n,e,,,
Lisa McMann ,February 27, 1968Holland, Michigan,,,,
Maylis de Kerangal, (1967-06-16) 16 June 1967 (age 55)Toulon, France,,,,,
Alexei Maxim Russell ,Winnipeg, Manitoba,,,,,
James Rollins ,James Paul Czajkowski[1] (1961-08-20) August 20, 1961 (age 61)Chicago, Illinois, U.S.[1],,,
Lauren Blakely ,n,o,n,e,,,
Alyssa B. Sheinmel ,n,o,n,e,,,
Lilly Singh,Lilly Saini Singh (1988-09-26) September 26, 1988 (age 34)Scarborough, Ontario, Canada,,,
Robert M. Sapolsky, (1957-04-06) April 6, 1957 (age 65)Brooklyn, New York, U.S.,,,
Sarah Beth Durst , (1974-05-23) May 23, 1974 (age 48)Northborough, Massachusetts, U.S.,,,
Jocko Willink ,John Gretton Willink, Jr.,,,,,
Robert Beatty ,Robert Rutherford Beatty(1909-10-19)19 October 1909Hamilton, Ontario, Canada,,,,
Gita Trelease ,n,o,n,e,,,
Rebecca Schaeffer ,Rebecca Lucile Schaeffer(1967-11-06)November 6, 1967Eugene, Oregon, U.S.,,,
Makoto Shinkai,Makoto Niitsu (1973-02-09) February 9, 1973 (age 49)Koumi, Japan,,,,
Kiran Bhat ,n,o,n,e,,,
Arabella Weir, (1957-12-06) 6 December 1957 (age 65)San Francisco, California, U.S.,,,,
Keri Lake ,Kari Ann Lake (1969-08-23) August 23, 1969 (age 53)Rock Island, Illinois, U.S.,,,
A.S. King , (1970-03-10) March 10, 1970 (age 52)Reading, Pennsylvania, US,,,
Leonard Seet ,n,o,n,e,,,
Jason Reynolds, (1983-12-06) December 6, 1983 (age 39)Washington, D.C., U.S.,,,
Paul Tremblay , (1971-06-30) June 30, 1971 (age 51)Aurora, Colorado, U.S.,,,
Fatima Farheen Mirza , (1991-04-10) April 10, 1991 (age 31)California,,,,,
Justina Ireland , (1985-02-07) February 7, 1985 (age 37)French Camp, California, United States of America,,,
Natasha Ngan ,1990 (age 31–32)St. Albans, Hertfordshire,,,,,
Zora Neale Hurston,(1891-01-07)January 7, 1891Notasulga, Alabama, U.S.,,,
Jamie McGuire ,"
Jamie Anthony McGuire[1]",,,,,,
Karole Cozzo ,n,o,n,e,,,
Greg Iles ,1960 (age 61–62)Stuttgart, West Germany,,,,,
Devney Perry ,n,o,n,e,,,
Elif Shafak ,Elif Şafak,,,,,,
Cara Alwill Leyba,n,o,n,e,,,
Dean Atta ,n,o,n,e,,,
Kurtis J. Wiebe ,Image Comics,,,,,,
J. Carson Rose ,n,o,n,e,,,
J.Y. Yang ,1982 or 1983 (age 39–40),,,,,,
Tricia Levenseller ,n,o,n,e,,,
Simone St. James ,n,o,n,e,,,
Bridget Collins ,n,o,n,e,,,
Alex Light , (1996-05-02) May 2, 1996 (age 26)Salem, Virginia,,,,
Scott Adams,Scott Raymond Adams (1957-06-08) June 8, 1957 (age 65)Windham, New York, U.S.,,,
Lisa Genova , (1970-11-22) November 22, 1970 (age 52),,,,,
Katarina Bivald ,n,o,n,e,,,
Gianni Perticaroli ,n,o,n,e,,,
Sona Charaipotra ,BA in Journalism and American Studies, MFA in Creative Writing, Master's in Dramatic Writing and South Asian Diaspora Studies,,,,
Salla Simukka, (1981-06-16) June 16, 1981 (age 41)Tampere,,,,,
Lisa Lutz ,(1970-03-13)13 March 1970Southern California, US,,,,,
Harlan Coben ,Newark, New Jersey, U.S.,,,,
Michael Wolff,n,o,n,e,,,
John Gwynne ,n,o,n,e,,,
S.D. Smith ,n,o,n,e,,,
Patricia Cornwell ,Patricia Carroll Daniels (1956-06-09) June 9, 1956 (age 66)Miami, Florida, U.S.,,,
Sandie Jones ,Margaret Jones,,,,,,
Charles Patterson,n,o,n,e,,,
Elliot Wake ,n,o,n,e,,,
Jonathan Stroud , (1970-10-27) 27 October 1970 (age 52)Bedford, England,,,,,
Shea Ernshaw ,n,o,n,e,,,
Daniel Cole,n,o,n,e,,,
Peter Brown,n,o,n,e,,,
Holly Jackson ,1992Buckingham, England,,,,,
Kim Liggett ,n,o,n,e,,,
Kami Garcia ,Kami Marin (1972-03-25) March 25, 1972 (age 50),,,,,
Michael Grant ,n,o,n,e,,,
Glennon Doyle , (1976-03-20) March 20, 1976 (age 46)Burke, Virginia, U.S.,,,
Colleen Oakes ,n,o,n,e,,,
Emmy Laybourne ,Geraldine Bond (1947-05-19) May 19, 1947 (age 75)Martinsville, New Jersey,,,,
Brent Weeks , (1977-03-07) March 7, 1977 (age 45)Montana, USA,,,,
Emily Lloyd-Jones ,n,o,n,e,,,
Anna Pitoniak ,n,o,n,e,,,
Rosanne Parry ,n,o,n,e,,,
Charlotte McConaghy ,n,o,n,e,,,
Elena Dunkle,n,o,n,e,,,
A.L. Jackson ,n,o,n,e,,,
Keigo Higashino, (1958-02-04) February 4, 1958 (age 64)Ikuno-ku, Osaka, Osaka Prefecture, Japan,,
Anna Burns, (1962-03-07) 7 March 1962 (age 60)Belfast, Northern Ireland,,,,,
Chris Turnbull ,n,o,n,e,,,
Gretchen McNeil ,"
Teen drama[1]
Thriller[2][3]
",,,,,,
Lauren Groff , (1978-07-23) July 23, 1978 (age 44)Cooperstown, New York, U.S.,,,
Emily Henry ,n,o,n,e,,,
Rachel Vincent ,West Indies,,,,,,
Jeff Garvin ,n,o,n,e,,,
Young Kim ,Gil Cisneros,,,,,,
Felix O. Hartmann ,n,o,n,e,,,
Cal Newport,Calvin C. Newport (1982-06-23) June 23, 1982 (age 40),,,,,
David Levithan , (1972-09-07) September 7, 1972 (age 50)Short Hills, Millburn, New Jersey, United States,,
Cristin Terrill ,n,o,n,e,,,
Rory Power ,n,o,n,e,,,
Sarah Lyu ,n,o,n,e,,,
Julia Durango,n,o,n,e,,,
Erin Beaty ,n,o,n,e,,,
Kelly Loy Gilbert ,n,o,n,e,,,
Tracy Wolff,n,o,n,e,,,
Sunil Khilnani,n,o,n,e,,,
Rysa Walker ,Pensacola, Florida,,,,,
Jenn Marie Thorne ,n,o,n,e,,,
Aimee Friedman ,1979Queens, New York,,,,,
Katerina Diamond ,n,o,n,e,,,
Hawa L Crickmore,n,o,n,e,,,
Sabrina Benaim, (1987-11-30) November 30, 1987 (age 35)Toronto, Canada,,,,
Fumio Sasaki,n,o,n,e,,,
E.K. Blair ,n,o,n,e,,,
Adrienne Maree Brown , (1978-09-06) September 6, 1978 (age 44)El Paso, Texas, US,,,
Rachel Held Evans,Rachel Grace Held(1981-06-08)June 8, 1981Birmingham, Alabama, U.S.,,,
Matthew Quick , (1973-10-23) October 23, 1973 (age 49)Camden, New Jersey, U.S.,,,
Charles Cumming,1971 (age 50–51)Ayr, Scotland,,,,,
Lauren Child,Helen Child (1965-11-29) 29 November 1965 (age 57)Berkshire, England,,,,,
Ashley Elston ,n,o,n,e,,,
Layne Fargo ,n,o,n,e,,,
T.R. Horne ,n,o,n,e,,,
Patrick Gale,n,o,n,e,,,
André Alexis,January 15, 1957[1]Port of Spain, Trinidad and Tobago,,,,
Paolo Bacigalupi , (1972-08-06) August 6, 1972 (age 50)Paonia, Colorado,,,,
Sophie Jordan ,n,o,n,e,,,
Peadar Ó Guilín ,Peadar Ó Guilín,,,,,,
Jennifer Egan ,1962Chicago, Illinois, U.S.,,,,
Adam Gidwitz , (1982-02-14) February 14, 1982 (age 40)San Francisco, CA,,,,
Virginia Boecker ,n,o,n,e,,,
Chris Grabenstein ,Buffalo, NY,,,,,
Maggie Hall ,(1853-12-26)December 26, 1853Dublin, Ireland,,,,
Affinity Konar ,n,o,n,e,,,
Kamila Shamsie, (1973-08-13) 13 August 1973 (age 49)Karachi, Pakistan,,,,,
Cara Delevingne,Cara Jocelyn Delevingne (1992-08-12) 12 August 1992 (age 30)Hammersmith, London, England,,,,
Laurie Forest ,n,o,n,e,,,
Danielle L. Jensen ,Female,,,,,,
Mary Robinette Kowal , (1969-02-08) February 8, 1969 (age 53)Raleigh, North Carolina,,,,
Maria V. Snyder , (1973-04-15) April 15, 1973 (age 49)Philadelphia, Pennsylvania, United States,,,
Lisa M. Orban ,n,o,n,e,,,
