,0
Alice Oseman , England
Liu Cixin ,刘慈欣
Ron Millicent ,none
Karin Slaughter , United States
Cynthia Collins ,none
Ally Carter , U.S.
Courtney Summers , Ontario
George Saunders, U.S.
Estelle Maskame ,none
Robin Gregory , England
M.L. Rio ,none
Lin-Manuel Miranda, U.S.
Cynthia Hand ,none
Gary Santorella,none
Felix Alexander ,none
Oyinkan Braithwaite , Nigeria
Rick Yancey, U.S.
Margaret Rogerson ,none
Erin Watt ,none
Victoria Scott , U.S.
Morgan Rhodes ,Morgan Rhodes
Scott Hawkins ,Scott Hawkins
Sogyal Rinpoche,Rinpoche
Tahereh Mafi, United States
Nicholas Sparks , United States
Tom DeLonge , U.S.
Eric M. Black ,none
Tiffany McDaniel ,none
Christopher Keene , U.S.
Daniel M. Harrison,none
Rupi Kaur , India
Joseph Fink,none
Julie Murphy ,none
Victoria Helen Stone ,none
David Sheff , U.S.
Connor Franta, U.S.
Ryan Graudin ,none
Kelly Barnhill ,none
Vivian Barz ,none
James Riley ,none
A.J. Mouse ,none
Gregg Olsen , U.S.
Gayle Forman , U.S.
Bridget Hodder ,none
Amber Smith ,5 ft 10.5 in (179 cm)[1]
Samantha Ryan Chandler ,none
R.F. Kuang ,匡靈秀
Sally Green ,Sally Green
Robyn Schneider ,none
Amanda Lovelace,1991
Anna Todd , U.S.
Chloe Benjamin , California
Philip Pullman, England
Tia Shurina ,none
Ashley Herring Blake ,English
Phil Knight, U.S.
Veronica Roth , U.S.
Robert G. Williscroft ,none
John Grisham , U.S.
Brittainy C. Cherry ,none
Jenny Lawson , blogger
Mary E. Pearson , 1955 (age 67)Southern California
Robert Galbraith,none
David Lagercrantz, Sweden
A.G. Howard ,none
Elizabeth Strout, U.S.
Tayari Jones , U.S.
Winston Graham, England
Graeme Simsion , New Zealand
Sarah Dessen , U.S.
Pernell Plath Meier ,none
Andrew Mayne ,none
Kimberly Lauren ,none
Georgia Hunter ,none
Matthew D. Dho ,none
Alexandra Christo ,none
Robert Thier,none
Nikki Sex ,none
Anna Gallegos ,none
Greer Hendricks ,none
Claire Morgan , Northern Ireland
Amit Ray, (1960-08-12) 12 August 1960 (age 62)India
Sylvain Neuvel , Quebec
Adrian Tchaikovsky , United Kingdom
Michael Connelly , U.S.
Hilary Davidson ,none
Kimber Lee ,Kimberly Ann Frankele[1][2]
Nnedi Okorafor , U.S.
Mark Lawrence ,none
Robin Benway ,  University of California at Los Angeles
Riley Sager ,Riley SagerAlan Finn
Ocean Vuong, Vietnam
Tommy Orange , U.S.
Cecelia Ahern, Ireland
Martha Hall Kelly ,none
Sejal Badani ,none
S.J. Kincaid ,none
Benjamin Alire Sáenz , USA
Brian Selznick, New Jersey
Brigid Kemmerer , U.S.[1]
Robert Bryndza ,none
Alexander Helas ,none
Lee Child , England
Rachel E. Carter ,none
J.R. Ward , United States
J.P. Delaney ,none
Julie Buxbaum ,1977 (age 44–45)[1]
Ali Benjamin,Alison WadeUnited States
L.J. Shen ,none
Autumn Jones Lake ,none
S. Jae-Jones ,none
Chimamanda Ngozi Adichie, Nigeria
Alexandra Bracken , U.S.
Kent Haruf, Colorado
Josie Silver ,none
GRWilson ,none
Jennifer L. Armentrout , West Virginia
Lucinda Riley , Northern Ireland
James Victor Jordan ,none
Ernest Cline , U.S.[1]
Imbolo Mbue , Cameroon
S.C. Stephens ,none
I James Forrest,none
Tui T. Sutherland, Venezuela
Cynthia D'Aprix Sweeney ,Cynthia D'Aprix Sweeney
Suzanne Collins, U.S.
Roxane Gay , U.S.
Louise Erdrich, U.S.
Ken Follett , Wales
Jean Craighead George, D.C.
Martha Wells , U.S.
S.M. Parker ,none
Michael Jensen ,none
Michael D. Durkota,none
Lene Fogelberg ,none
Tiffany FitzHenry ,none
Durgesh Satpathy ,none
Ali Marsman ,none
Jeremy Griffith ,1945 (age 76–77)
Lauren Kate , United States
Farah Cook ,none
Susan M. Boyer ,Author
Jerilee Kaye ,none
Kathleen Baldwin , US
Jamal Lewis ,Running back
Rusty Young ,none
Dennis E. Taylor ,Canada
Becky Chambers, 1985 (1985-05-03) (age 37)Los Angeles County
Rainbow Rowell , United States
Jaye L. Knight ,none
Abbi Glines , Alabama[3][4][5]
Lauren Graham, U.S.
Michelle McNamara, U.S.
C.S. Johnson ,none
Kathleen Glasgow ,none
Mohsin Hamid, Pakistan
Christina Lauren ,Authors
Don Winslow , U.S.
Nathan Hill,none
Barbara Davis , 1929New York City
James Clear ,none
Pittacus Lore,Pittacus Lore (James Frey and Jobie Hughes)
Sarah Pinborough , England
Zadie Smith, England
S.A. Chakraborty ,none
Carrie Hope Fletcher, England
Seth Dickinson ,United States
Nina George , West Germany
Jessica Townsend , Australia
C.L. Hunter ,none
Lisa Maxwell ,none
John Carreyrou,French-American
Cherlina Works ,none
Chevy Stevens ,none
Erin A. Craig ,none
Elizabeth Acevedo , NY
James Dashner , United States
Katharine McGee ,none
Claire McGowan,none
Anne Bishop,Writer
Elsa Blomster,none
Ashley Poston ,none
Zoje Stage ,none
J.D. Barker ,none
Jenn Bennett , Germany
Jen Wang , U.S.
Curtis Sittenfeld , U.S.
Ray Dalio , U.S.
Elly Blake ,none
Sarina Bowen ,none
Karl Wiggins ,none
Kerry Lonsdale ,none
Cathy Octo ,none
John Boyne, Ireland
Gary B. Shelly,none
Emery Lord ,none
Steve Silberman,United States
Jennifer Mathieu ,none
Christopher Greyson ,none
Helen Hoang , U.S.
Maddie Dawson ,none
Andrew Sean Greer, U.S.
Sara Barnard ,none
Ottessa Moshfegh, U.S.
David Arnold , England
I.T. Lucas ,none
Abraham Lopez ,none
Katrin Schumann ,none
Dean Koontz , U.S.
Elin Hilderbrand ,none
Louise Gornall ,none
Matthew Farrell ,none
J.D. Tyler ,none
Hillary Rodham Clinton,Barack Obama
Laura Sebastian ,none
Fiona Barton ,none
Noah Hawley , U.S.[1]
Danielle Paige ,none
Connie Glynn, England
Amy Tintera ,none
Robin Roe ,none
Amber Lee,none
Jesmyn Ward , U.S.
Ken Liu , China
Jeaniene Frost , 1974 (age 48)[1]United States
Beth O'Leary ,none
Mel Ryle ,none
Stephenie Meyer, U.S.
Melanie Dickerson ,none
T.M. Frazier ,none
Claire Monette ,none
Matthew Desmond ,1979 or 1980 (age 42–43)[1]
Erik Larson ,none
Michelle Falkoff ,none
Meredith Russo ,Author
Tarryn Fisher , South Africa
Kate Atkinson,none
Julie Kagawa , United States
Renée Knight,none
Hank Green , U.S.
Douglas E. Richards ,none
Kate Summerscale, England
Elena Ferrante,Novelist
Orson Scott Card, U.S.
Sean Gordon Murphy , New Hampshire
Hyeonseo Lee , North Korea
Aly Martinez ,none
Jonathan Macpherson ,none
H.L. Roberts ,none
Cliff Lerner ,Clifford Lerner
Simon W. Clark ,none
Lisa Terry ,none
Eliezer Yudkowsky , U.S.
Elle Kennedy ,Novelist
Charlie J. Eskew ,none
Mark Edwards ,none
Grace Draven ,none
Amish Tripathi , India[1]
Zaman Ali ,none
Nicholas Eames ,Nicholas Eames
Claire Legrand , United States
K.J. Kruk ,none
Ali Shaw ,none
Elise Kova ,none
Sarah Rees Brennan ,c.1980Ireland
Heather O'Neill , Quebec
I.V. Olokita ,none
Krista Ritchie ,none
Beth Aldrich ,none
Alex Bell,"
Alexander Bell"
Alix E. Harrow , United States
Meg Waite Clayton , D.C. United States
Renée Paule ,none
Dmitry Glukhovsky ,Дмитрий Алексеевич Глуховский
Roshani Chokshi , United States
Kathleen Rooney , West Virginia
Natasha Pulley, 1988 (age 34)
Robin Hobb , US
Chanel Miller, U.S.
Brittany Cavallaro ,none
Robert Kolker , US
Gena Showalter ,1975 (age 46–47)Oklahoma
Scott Westerfeld , United States
Susin Nielsen ,none
Jenna Evans Welch ,none
Rebecca Ross ,none
Raina Telgemeier , California
Stacey Lee ,English
Sara Raasch , 1989 (age 33)Ohio
Evelyn Skye ,none
Michael Rickard ,none
Jackson Lanzing,none
Pam Muñoz Ryan, US
Lynette Noni ,none
Nic Stone , Georgia
Jex Lane ,none
RoAnna Sylver ,none
M.H. Boroson,none
Michael Dante DiMartino , U.S.
David Baldacci , U.S.
Julian Barnes, England
Tim Tigner ,none
Anna-Marie McLemore ,English
Christine Zolendz ,none
Nora Roberts , U.S.
Han Kang, South Korea
Loreth Anne White ,none
Maria Dahvana Headley , U.S.
Heather Demetrios ,none
Carmen Maria Machado , U.S.
Kohei Horikoshi, Japan
John Gardner,none
Addison D'marko ,none
Joe Hill ,none
Emily Bleeker ,none
Renee Carlino ,none
Joey Graceffa, U.S.
Morgan Matson , U.S.
V.E. Schwab , 1987 (age 35)California
Liv Constantine ,none
Ilona Andrews ,Andrew Beauregard GordonIlona Gordon
Inio Asano, Japan
Sherrilyn Kenyon , US
Lang Leav , Thailand
Laura Thalassa ,none
Bill Browder , U.S.
Helen C. Escott ,none
T.J. Klune ,none
Miriam Sawan ,none
Penelope Douglas ,none
Katherine Applegate, U.S.
A.G. Riddle ,none
Stephen Fry, England
Robert W. Doubek,none
Melissa Bashardoust ,none
Bill Brown ,none
Teri Terry ,none
Clare Mackintosh ,Bristol
Angie Thomas , U.S.
Alex Flinn , United States
Catherine Steadman, (1987-02-08) 8 February 1987 (age 35)England
Wendy Holden ,none
James S.A. Corey ,2011–present
Jodi Meadows ,none
Tommy Wallach ,none
Isabel Allende ," Peru[1]: 1942 
"
Anthony Ray Hinton, U.S.
Zen Cho ,Author
Irvine Welsh, Scotland
Yeonmi Park, North Korea
Lynn Weingarten ,none
April Genevieve Tucholke,Writer
R.J. Palacio, 1963 (age 59)
Terry Pratchett, England
Maureen Johnson , United States
Madeleine Thien, Canada
Ali Smith, Scotland
Meg Kassel ,none
Sarah Andersen ,Maryland Institute College of Art
Brian K. Vaughan , U.S.
Shel Silverstein, U.S.
Jennifer Donnelly , U.S.
Catherine Forsayeth,none
William L. Myers Jr. ,none
Iain M. Rodgers ,none
Kamel Daoud,none
Michael J. Sullivan ,none
Nalini Singh , 1945 (age 77)Jalandhar
M.J. Arlidge,none
Melissa Tagg ,none
Angelica Banks ,none
Anne Tyler , United States
Roseanna M. White ,none
Christina Henry ,none
James Comey,Barack ObamaDonald Trump
Angela Marsons ,none
Jessica Khoury ,none
Janet E. Morris , 1946 (1946-05-25) (age 76)
Laura Ruby,none
Lily Collins, England
Shane Dawson, U.S.
J.D. Vance,Rob Portman
Andy Weir , U.S.[1]
Frans de Waal, Netherlands
Meredith Wild ,none
Helena Hunting ,none
Jenn Bishop ,none
Bill Konigsberg , 1970 (1970-11-11) (age 52)New York City
Michael Buckley,none
Jessi Kir,none
Barbara O'Connor ,none
Synne Jakobsen ,none
Alex Gino, New York
Sylvia Day , California
Jim Butcher , United States
Claudia Gray ,Amy Vincent
Kate O'Hearn, Canada[1]
Jeanne Birdsall, U.S.[1]
Melissa Grey ,none
Karen M. McManus , United States
John Marrs ,none
RuDixon,none
Heather Cocks ,none
Anna Kavan, France
E.C. Jackson ,none
Michele Breza ,none
John Calvin, France
Loren Molloy ,none
Cathy McLennan ,none
Kapil Kumar Bhaskar ,none
Ashish Jaiswal ,Ramtek
Amy Koto ,none
Laurick Ingram ,none
Robert Jenkins ,none
Beth Koritz ,none
Wole Akosile ,none
Melanie Martins ,none
Heather Marsh , programmer
Sita Bennett ,none
Chris Carter,none
