,0
Jez Jones,none
David Grann,1967-03-10
James Faro ,none
Matt Haig ,1975-07-03
Hiro Arikawa,none
Olivia Hawker,none
Margot Lee Shetterly ,1969-06-30
Alice Oseman ,1994-10-16
Liu Cixin ,1963-06-23
Ron Millicent ,none
Karin Slaughter ,1971-01-06
Cynthia Collins ,none
Ally Carter ,1974-01-01
Courtney Summers ,none
George Saunders,1958-12-02
Estelle Maskame ,none
Robin Gregory ,none
M.L. Rio ,none
Lin-Manuel Miranda,1980-01-16
Cynthia Hand ,none
Gary Santorella,none
Felix Alexander ,none
Oyinkan Braithwaite ,none
Rick Yancey,1962-11-04
Margaret Rogerson ,none
Erin Watt ,none
Victoria Scott ,1982-02-01
Morgan Rhodes ,none
Scott Hawkins ,none
Sogyal Rinpoche,1947
Tahereh Mafi,1988-11-09
Nicholas Sparks ,1965-12-31
Tom DeLonge ,1975-12-13
Eric M. Black ,none
Tiffany McDaniel ,none
Christopher Keene ,none
Daniel M. Harrison,none
Rupi Kaur ,1992-10-04
Joseph Fink,none
Julie Murphy ,none
Victoria Helen Stone ,none
David Sheff ,1955-12-23
Connor Franta,1992-09-12
Ryan Graudin ,none
Kelly Barnhill ,none
Vivian Barz ,none
James Riley ,none
A.J. Mouse ,none
Gregg Olsen ,1959-03-05
Gayle Forman ,1970-06-05
Bridget Hodder ,none
Amber Smith ,none
Samantha Ryan Chandler ,none
R.F. Kuang ,1996-05-29
Sally Green ,none
Robyn Schneider ,none
Amanda Lovelace,none
Anna Todd ,1989-03-20
Chloe Benjamin ,none
Philip Pullman,1946-10-19
Tia Shurina ,none
Ashley Herring Blake ,none
Phil Knight,1938-02-24
Veronica Roth ,1988-08-19
Robert G. Williscroft ,none
John Grisham ,1955-02-08
Brittainy C. Cherry ,none
Jenny Lawson ,none
Mary E. Pearson ,1955-08-14
Robert Galbraith,none
David Lagercrantz,1962-09-04
A.G. Howard ,none
Elizabeth Strout,1956-01-06
Tayari Jones ,1970-11-30
Winston Graham,1908-06-30
Graeme Simsion ,none
Sarah Dessen ,1970-06-06
Pernell Plath Meier ,none
Andrew Mayne ,none
Kimberly Lauren ,none
Georgia Hunter ,none
Matthew D. Dho ,none
Alexandra Christo ,none
Robert Thier,none
Nikki Sex ,none
Anna Gallegos ,none
Greer Hendricks ,none
Claire Morgan ,1980-08-17
Amit Ray,1960-08-12
Sylvain Neuvel ,none
Adrian Tchaikovsky ,1972-06-04
Michael Connelly ,1956-07-21
Hilary Davidson ,none
Kimber Lee ,1990-06-27
Nnedi Okorafor ,1974-04-08
Mark Lawrence ,none
Robin Benway ,none
Riley Sager ,none
Ocean Vuong,1988-10-14
Tommy Orange ,1982-01-19
Cecelia Ahern,1981-09-30
Martha Hall Kelly ,none
Sejal Badani ,none
S.J. Kincaid ,none
Benjamin Alire Sáenz ,1954-08-16
Brian Selznick,1966-07-14
Brigid Kemmerer ,1978-01-11
Robert Bryndza ,none
Alexander Helas ,none
Lee Child ,1954-10-29
Rachel E. Carter ,none
J.R. Ward ,none
J.P. Delaney ,none
Julie Buxbaum ,none
Ali Benjamin,none
L.J. Shen ,none
Autumn Jones Lake ,none
S. Jae-Jones ,none
Chimamanda Ngozi Adichie,1977-09-15
Alexandra Bracken ,none
Kent Haruf,none
Josie Silver ,none
GRWilson ,none
Jennifer L. Armentrout ,1980-06-11
Lucinda Riley ,1965-02-16
James Victor Jordan ,none
Ernest Cline ,1972-03-29
Imbolo Mbue ,none
S.C. Stephens ,none
I James Forrest,none
Tui T. Sutherland,1978-07-31
Cynthia D'Aprix Sweeney ,none
Suzanne Collins,1962-08-10
Roxane Gay ,1974-10-15
Louise Erdrich,1954-06-07
Ken Follett ,1949-06-05
Jean Craighead George,1919-07-02
Martha Wells ,1964-09-01
S.M. Parker ,none
Michael Jensen ,none
Michael D. Durkota,none
Lene Fogelberg ,none
Tiffany FitzHenry ,none
Durgesh Satpathy ,none
Ali Marsman ,none
Jeremy Griffith ,none
Lauren Kate ,1981-03-21
Farah Cook ,none
Susan M. Boyer ,none
Jerilee Kaye ,none
Kathleen Baldwin ,none
