,0
Katie McGarry ,none
Robert Fabbri,none
Kelly Sue DeConnick ,1970-07-15
Suzanne Wright ,none
Jasinda Wilder ,none
Gregory Scott Katsoulis ,none
Anne Bishop,none
Maryrose Wood ,none
Jacob Tobia,1991-08-07
Angelina J. Steffort ,none
Misa Sugiura ,none
Laura Joffe Numeroff ,1953-07-14
Kelly Easton ,none
Rebecca A. Raymer,none
Anna Davies,none
Deborah Cooke ,none
J.D. Robb ,1950-10-10
Robert Kirkman,1978-11-30
Harlan Coben ,none
Rich DiSilvio ,none
Blake Nelson ,none
Gena Showalter ,none
Abdul Malik Mujahid,none
Jean Oram ,none
Victoria Ashley ,none
Shigeru Mizuki,1922-03-08
Dani Pettrey ,none
Victoria Laurie ,none
Joan Holub ,none
Celia Loren,none
Genevieve Jack ,none
Rudy Josephs,none
Cassandra Clare ,1973-07-27
Hilary Weisman Graham ,none
Keary Taylor ,none
Ian Irvine ,none
Olivia Cunning ,none
Ben Kane,1970-03-06
Sydney Landon ,none
Renata Suerth ,none
Shannon Hale ,1974-01-26
Andy Griffiths,none
Julie Klassen ,none
Ronie Kendig ,none
Jill Mansell,none
Katie Oliver ,none
Dougie Brimson ,none
Kindle Alexander ,none
Mark Crilley,1966-05-21
Chris Carter,none
Julianna Keyes ,none
Scott Westerfeld ,1963-05-06
Sarah Fine ,none
Brian Freeman ,none
Stephen Fry,1957-08-24
Anna-Marie McLemore ,none
Christina June ,none
Penelope Sky,none
Jill Paton Walsh,1937-04-29
Karen Hawkins ,none
Cindy Pon ,none
Nell Stark ,none
Kim Barnes ,none
Janet Chapman,none
Shaun Tan,none
Clifford Riley,none
Cherise Sinclair ,none
Alison Goodman ,none
Steve Gerber,1947-09-20
Jamie Freveletti ,none
Brandon Sanderson ,1975-12-19
Nicole J. Georges,1981-12-10
Karen Rock ,none
Roger Rheinheimer ,none
Ellen Connor ,none
J.L. Pawley,none
Tina Nash,none
Scott Mariani ,none
Harper Bentley ,none
Regina Jennings ,none
Christina Lauren ,none
Avon Gale ,none
Shaun David Hutchinson ,none
Shay Savage ,none
Neal Shusterman ,1962-11-12
Thi Bui,none
David Baldacci ,1960-08-05
Kathryn Purdie ,none
Meik Wiking,none
Elise Ballard ,none
James A. Moore ,1965-09-03
Jess Haines ,none
Jody Hedlund ,none
Lindsay Cummings ,none
Denise Grover Swank ,none
Ellen Hopkins ,1955-03-26
Chas Saunders,none
Isabelle Rae,none
David Watts Jr. ,none
Lauren Oliver ,1982-11-08
Pittacus Lore,none
Carli Davidson,none
Elizabeth Jane Howard,1923-03-26
Juli Alexander ,none
Jonathan Tropper,1970-02-19
Erin Hunter,none
Jennifer L. Armentrout ,1980-06-11
Carrie Turansky ,none
Riley Hart ,none
Louise Rennison,none
Tim Baker ,none
David Ashton,none
Megan Derr ,none
Adriana Locke ,none
Christina Henry ,none
Kirsty Moseley ,none
Dusti Bowling ,none
Joëlle Jones ,1980-02-20
Anthony Marra ,none
Catana Chetwynd,none
Andrew Taylor,none
Nancy Brook ,none
Neil Gaiman ,1960-11-10
Lee Carroll,none
Jennifer Brown,none
محمد عبدالرحمن العريفي,none
James Willard Schultz,1859-08-26
Adrienne Kress ,none
Stefan Bachmann ,none
Rebecca Yarros ,none
Rob Lowe,1964-03-17
Michelle Krys ,none
Victor Gischler,none
Lola Stark ,none
Katrina Rasbold,none
George Mann,none
Joanna Chambers ,none
Stephanie Dray ,none
Erika Wilde ,none
J. Lynn,none
Adrienne Wilder ,none
Ching-In Chen ,none
David Levithan ,1972-09-07
Don DeLillo,1936-11-20
N.R. Walker,none
M.J. Arlidge,none
Claude Houghton,none
Susan Dennard ,1984-02-25
Jonathan Friesen ,none
Robert Macfarlane ,none
Candace Bushnell ,1958-12-01
Nicholas Delbanco,none
Shannon K. Butcher ,none
W. Somerset Maugham,1874-01-25
Lora Leigh,1965-03-06
Selena Kitt ,none
Francine Pascal ,1938-05-13
Kelly Barnhill ,none
Rosanne Rivers,none
Tierney O'Malley ,none
Cassidy Cayman ,none
Jennifer Estep ,none
Arthur Stanley Gould Lee,none
J. Courtney Sullivan ,none
Michael J. Sullivan ,none
Peter Singer ,1946-07-06
Melinda Salisbury,none
S.J.D. Peterson ,none
Angela Marsons ,none
David Mack ,none
Philip Reeve ,none
Ed Brubaker,1966-11-17
S.T. Abby,none
Katie O'Neill,none
Jasper Gibson,none
Tianxia Bachang,none
Victoria J. Coe ,none
James Patterson ,1947-03-22
Kristin Rockaway ,none
S. Michael Wilcox,none
Rachel Vail ,1966-07-26
Christie Anderson ,none
Lynn Viehl,none
Betsy St. Amant ,none
Magica Quartet ,none
Gail Carriger ,1976-05-04
Melinda DuChamp ,none
Felix Francis ,none
Faith Hunter ,none
Muhammad Zulfiqar,none
Danielle Rollins,none
Jacqueline Woodson ,1963-02-12
Jamie McGuire ,1983-11-13
Lisa Mondello ,none
Lorna Seilstad,none
Susan Jacoby,1945-06-04
Andy McNab,1959-12-28
Gregory Mone ,none
O.N. Stefan ,none
Stephen Moss,1960-04-25
Gabrielle Douglas,1995-12-31
François Schuiten,1956-04-26
Joyce Carol Oates,1938-06-16
Gail Simone,none
Henry Marsh,none
Cinda Williams Chima ,none
Jeremy Lachlan,none
Mhairi McFarlane ,none
Joseph Conrad,1857-12-03
J.R. Ward ,none
Joy Harjo ,1951-05-09
Stephanie Staal ,none
Dorothy Love ,none
M.J. Putney,none
Damian Dibben ,none
Alyssa Rose Ivy ,none
Jessica Wilde ,none
Brenna Yovanoff ,none
Laurell K. Hamilton ,1963-02-19
Lord Byron,1788-01-22
Kathy Coopmans ,none
Chris Kuzneski ,1969-09-02
Andre Norton,1912-02-17
Liv Bennett ,none
Randy Christensen,none
D. Dalton ,none
Russell D. Moore,2013-06-01
Amelia Hutchins ,none
Jessica Sorensen ,none
Daphne du Maurier,1907-05-13
Lauren Nicolle Taylor ,none
Marv Wolfman,1946-05-13
Debbie Tung ,none
Robin Jarvis,none
Kate DiCamillo ,1964-03-25
Carole EstDagg ,none
Jennifer Li Shotz,none
Anna Quindlen,1952-07-08
Tessa Bailey ,none
J. Gabriel Gates ,none
Mark Millar ,1969-12-24
John K. Samson ,none
Kat Falls ,none
Gail Carson Levine ,1947-09-17
Cynthia Eden ,none
Scott Speer,1982-06-05
Erin Bow ,1972-04
Roseanna M. White ,none
Catherine Anderson ,1948-12-22
Rachael Wade ,none
Nicole Castroman ,none
Robert J. Crane,none
Sara Poole ,none
Emma Raveling ,none
Nic Pizzolatto,1975-10-18
Bree Barton ,none
Paula Stokes ,none
Tricia Clasen ,none
Charles Soule ,none
Alvin Plantinga,1932-11-15
Bren MacDibble ,1966-07-01
Jody Carrington ,none
Meryl Wilsner ,none
Rebecca Monaco ,none
Chris Williams ,none
Jennifer Ashley ,none
Mercedes Lackey,1950-06-24
Paul Adams,none
Megan Kelley Hall ,none
Augusten Burroughs ,1965-10-23
Kristina Douglas,none
C.L. Parker ,none
Ben Macintyre,1963-12-25
Jussi Adler-Olsen,none
Jenn Reese ,none
Elizabeth Camden ,none
Truman Capote,1924-09-30
Karen White ,none
Tina Folsom ,none
Philip Gross,none
Maris Black ,none
Amish Tripathi ,1974-10-18
Asahiro Kakashi ,none
Alwyn Hamilton ,none
Michael S. Heiser,none
Angelica Banks ,none
Linda Fairstein ,1947-05-05
Heather Vogel Frederick,none
Kerrelyn Sparks ,none
Janet Edwards ,none
Darussalam,none
Nina Sankovitch ,none
Carrie Jones ,none
Erin L. Schneider ,none
Wyatt Davenport ,none
Michelle Rowen ,none
Jonathan Maberry ,1958-05-18
Jessica Day George ,1976-10-11
Michael Z. Williamson,none
Tracy Chevalier ,1962-10-19
Sam Christer,none
Jen Malone ,none
Sally J. Pla ,none
Greg Rucka,1969-11-29
Faith Erin Hicks ,none
Svetlana Chmakova ,1979-10-07
Maria Hall ,none
H.G. Wells,1866-09-21
Kris Jenner,1955-11-05
C.J. Cherryh ,1942-09-01
James Garner,1928-04-07
Jessica Warman,none
Bodie Thoene ,none
Anna Banks ,none
C.M. Owens ,none
Lynn Sherr,1942-03-04
Katie Kacvinsky ,none
Orson Scott Card,1951-08-24
Kimberly Derting ,none
Kristy Cunning,none
Anna Kendrick,1985-08-09
Ed Brubaker ,1966-11-17
Daryl Gregory ,none
Vera Brosgol ,1984-08-02
Sandy Johnson ,1954-07-07
Patricia Forde ,none
Ngozi Ukazu,none
Charles Stross ,1964-10-18
Avi,none
Alexandra Oliva ,none
Kaori Tsutaya,none
Brian Greene,1963-02-09
Simon Tofield,2008-03-04
Deeanne Gist ,none
Sarah MacLean ,1978-12-17
Don Winslow ,1953-10-31
E.L. Montes ,none
Kurt Busiek,1960-09-16
Terry Goodkind,1948-01-11
Rachel Van Dyken ,none
Ella Jade ,none
Russell Banks,1940-03-28
Sharon Sala ,none
D.J. Molles ,none
G.B. Hope ,none
Gordon Andrews,1934-11-11
Jessica Brockmole ,none
Cora Carmack ,none
Hannah Beckerman ,none
Camilla Chafer ,none
Miriam Forster ,none
Janette Rallison ,1966-04-01
Eli Easton ,1963-01-28
Dan Gemeinhart ,none
Donny Cates ,1984-09-14
Doug TenNapel ,1966-07-10
John H. Walton,none
Ben Clanton ,none
Chris Colfer,1990-05-27
Robin Summers ,none
Warren Ellis,1968-02-16
M.C. Beaton,1936-06-10
Mike Vasich ,none
Jayne Ann Krentz ,1948-03-28
Tricia Skinner,none
Cassie Mae ,none
Stephen Arseneault ,none
Barbie Bohrman ,none
Bella Jewel,none
Philip Roth,1933-03-19
Simon Warren,none
Corey Feldman,1971-07-16
Agatha Christie,1890-09-15
Mandi Beck ,none
Various,none
Anna Lowenhaupt Tsing,none
Jim Zub ,none
Ken Harrison,none
Ben Hatke ,1977-06-04
Kaela Noel ,none
Jennifer Weiner ,1970-03-28
Grace Lin ,none
Spencer Quinn ,none
Lara Adrian ,none
Sharon Creech,1945-07-29
S. Walden,none
Nora Roberts ,1950-10-10
Ibn Kathir,none
Jim Goforth ,none
Pamela Samuels Young ,none
Cherrie Lynn ,none
S.L. Scott ,none
Sara Saedi ,none
Nicole Edwards ,1986-06-30
Alex Archer ,1908-05-01
Elle Strauss ,none
Lisa McMann ,none
Kurt Vonnegut Jr.,1922-11-11
Jim Smith ,none
Mark Siegel ,none
Christine Feehan ,none
Mark Hodder ,none
Sharon Guskin ,none
Mackenzi Lee ,none
JoAnn Durgin ,none
Glenn Beck,1964-02-10
Gregg Andrew Hurwitz ,none
Abdul Halim Ibn Muhammad Nassae As-Salafi,none
Lex Martin ,none
Eve Langlais ,none
Rinko Kawauchi ,1972-04-06
Laurel Snyder ,none
Dan Slott ,1967-07-03
Tim Crothers,none
Matthew Loux,none
James Miller,none
Yoon Ha Lee,1979-01-26
Mimi O'Connor,none
Michelle Moran ,1980-08-11
Saundra Mitchell ,none
Steven R. Burke ,none
Robert Sedlack ,none
Peter J. Tomasi ,1967-08-18
Kelli Ireland ,none
Victoria James ,none
Alison Cherry ,none
Trudy Ludwig ,none
Sherry Thomas ,none
Julianna Deering ,none
John A. Farrell ,none
Peter Robinson,none
Jules Verne,1828-02-08
Chuck Dixon ,1954-04-14
Suzanne Nelson ,none
Thomas E. Kennedy,none
Edward Dolnick,1952-11-10
Michelle Muto ,none
Karen Erickson ,none
Zoë Marriott ,none
Sandra Hill ,none
Larissa Ione ,none
Alexa Grace ,none
Sarah Porter ,1813-08-16
Angela Ackerman ,none
Courtney Kirchoff ,none
Paul Cornell ,1967-07-18
Bonnie S. Calhoun ,none
Julianna Deering,none
Sawyer Bennett ,none
J. Nathan ,none
Derek 'Del Boy' Trotter,none
KirLarson ,none
Mandy M. Roth ,none
Cory Leonardo ,none
Jennifer Bradbury,none
Gemma Halliday ,none
Charlaine Harris ,1951-11-25
Nagaru Tanigawa,1970-12-19
Steven Naifeh,1952-06-19
Lynn Joseph ,none
Karen Robards ,none
Kelsey Sutton ,none
Sylvia Day ,1973-03-11
Fanny Britt,none
Davis Bunn ,none
Corey Keller ,none
Taylor Jenkins Reid ,1983-12-20
Kasie West ,none
Hamilton Wright Mabie,none
Marion Dane Bauer ,none
Amie Kaufman ,none
Drusilla Campbell ,none
Harper Sloan ,none
Kathleen Brooks ,none
Marjorie M. Liu ,none
Brendan Kiely ,none
June Bryan Belfie ,none
Scott Snyder ,none
Cheree Alsop ,none
Paula Brackston ,none
Diane Keaton,1946-01-05
Meg Cabot ,1967-02-01
Kirstin Cronn-Mills,none
Daniel Silva,none
Bella Forrest ,none
Jen Turano ,none
Craig L. Blomberg,1955-08-03
Jill Sorenson ,none
Simon Garfield,none
Mark Walden ,none
Penelope King,none
R.L. Mathewson ,none
Christina Ross ,none
Bree Despain ,none
Meg Leder,none
Mindy Starns Clark ,none
Stephanie Burgis ,1977-05-28
Brian Wood ,none
Laura Howard ,none
Shelly Laurenston,none
Sara Paretsky ,1947-06-08
pleasefindthis ,none
Enid Blyton,1897-08-11
Skylar Dorset ,none
Andrew Smith,none
Iris Muller-Westermann ,none
Zeina Abirached ,none
Riley Weber,none
Margaret Atwood ,1939-11-18
Lauren Clark ,none
Cari Hunter ,none
Nancy Springer ,1948-07-05
Muhammad Bilal Lakhani,none
Laurelin Paige ,none
Leslie Tentler ,none
Elle Cosimano ,none
C.C. Hunter ,none
Jennifer Spredemann ,none
Mark Waid ,1962-03-21
Morgan Rice ,none
Pepper Winters ,none
Carolee Dean ,none
K.L. Grayson ,none
Penelope Ward ,none
Dee Henderson ,none
Sylvain Reynard ,none
Odette C. Bell,none
Shauna Niequist,none
Mike Brodie ,none
Mariana Zapata ,none
Nicole O'Dell ,none
Nagaru Tanigawa ,1970-12-19
Ami McKay ,none
Kate Perry ,1984-10-25
Pearl Jam,none
V. Pain ,none
Stacey Kade ,none
Kelly Meding ,none
Ruth Price,1938-04-27
Julie Berry ,none
C. Greenwood ,none
Melissa Marr ,1972-07-25
Kris Vallotton,none
W. Bruce Cameron ,1956-07-25
Jeaniene Frost ,1974-06-13
R.J. Anderson ,none
Laura Kaye ,none
Lee Roland ,none
Jolina Petersheim ,none
Brian Posehn ,1966-07-06
G. Willow Wilson ,1982-08-31
Judith Mackrell,none
Helena Hunting ,none
Novoneel Chakraborty ,none
Bill Muir,1942-10-26
Peter Biskind ,none
Carl Barks,1901-03-27
Gemma James ,none
Noelle Adams ,none
Jordan Dane ,none
Rick Remender ,none
Molly Cochran,none
Inara Scott ,none
K. Eric Drexler,1955-04-25
Elin Hilderbrand ,none
P.D. James,1920-08-03
Jodi Picoult ,none
Sally Nicholls,1983-06-22
Roxanne Dunbar-Ortiz,1938-09-10
John C. Lennox,1943-11-07
Claire Kinton ,none
Jacqueline Carey ,1964-10-09
Myra McEntire ,none
Robin Brande ,none
Kim Harrison ,none
Jennifer Foor ,none
Lee Tobin McClain ,none
RaShelle Workman ,none
Kimberly McCreight ,none
Gary J. Bass,none
Robert Sharenow,none
Tim Federle ,1980-03-24
Alan Moore ,1953-11-18
Allison Pang ,none
Stuart Swezey ,none
Rosalie Stanton ,none
R.K. Lilley ,none
Anna Hope,none
Eoin Colfer,1965-05-14
Lou Berney ,none
Rex Stout,1886-12-01
Hank Hanegraaff,none
Zoë Foster Blake,none
Orpheus Collar ,none
Joshilyn Jackson ,none
Amanda L. Davis ,none
Charles Selden ,none
Laura Anne Gilman ,none
Ari Marmell ,none
Omar Khayyám,none
Mary Sharratt ,none
C.C. Brown ,1983-01-27
Catherine Mann ,none
Christian Warren Freed ,none
John Donne,none
Mia March ,none
Jennifer Shaw Wolf ,none
Lulu Taylor,none
Alexa Riley ,none
Max Tegmark,1967-05-05
Ida B. Wells-Barnett,1862-07-16
Lian Tanner ,1951-03-17
Michelle Sagara,1963-05-05
San Cassimally,none
Carly Syms ,none
Rob Zombie,1965-01-12
Lainey Reese ,none
Richard Peck,none
Katie Alender ,none
Jacky Colliss Harvey ,none
Fiona McIntosh ,none
Marcus Annaeus Lucanus,39-11-03
