,0
Sharon Levy,1987-06-01
Brian K. Vaughan ,1976-07-17
Richard K. Morgan,1965-09-24
Tara Maya ,none
Sydney Croft,none
Judy Angelo,none
M.S. Brannon ,none
Vince Cross,1919-02-22
Hillary Rodham Clinton,1947-10-26
Gerard Way,1977-04-09
Kazue Kato,1980-07-20
Sharon Lee,none
Bruce Sellery,none
Jack Gantos ,1951-07-02
Philippa Ballantine ,1971-08-08
Cecily von Ziegesar,1970-06-27
James L. Rubart ,none
John Safran,1972-08-13
Margaret Dickinson,none
Gord Rollo ,none
Natasha Boyd ,none
Tara West ,1985-11-29
Lena Coakley ,none
Ross Welford,none
Christina Thompson ,none
Laura J. Moss ,none
Susan Kiernan-Lewis ,none
Michael Morpurgo,1943-10-03
Johnny B. Laughing,none
Helga Weiss,none
Alexander Weinstein,1897-01-21
Ravi Zacharias,1946-03-26
Tillie Cole ,none
Gordon Korman,1963-10-23
Charlie Jane Anders ,none
Dylan Cross,none
Laurie R. King ,1952-09-19
Jacqui Rose ,none
Amy Ellis Nutt,none
Robert J. Gordon,1940-09-03
Lauren St. John ,none
Ajay K. Pandey ,none
Eric Flint,1947-02-06
Dianne Sylvan ,none
Lynsay Sands ,none
Brenda Pandos ,none
Jonathan Fetter-Vorm ,none
A.L. Jackson ,none
James Whitcomb Riley,1849-10-07
Phil Klay ,none
Thomas Locke ,1824-06-16
Lisa Kleypas ,1964-11-05
Tabatha Coffey,1969-05-17
Ava Miles ,none
Tracey Garvis Graves ,none
Jessica Clare ,none
Alice Walker,1944-02-09
Elizabeth O'Roark ,none
Maegan Lynn Moores ,none
Kate Evangelista ,none
Jeffrey Stepakoff ,none
Anne Bennett ,none
Val McDermid,1955-06-04
Lisi Harrison ,1970-07-29
Kristen Simmons ,none
Jessica Park ,2001-10-21
Amelia Atwater-Rhodes ,1984-04-16
Katherine Reay ,none
David Rains Wallace,none
Chris Van Allsburg ,1949-06-18
Sebastian Barry,1955-07-05
Ilona Andrews ,none
Will Hill ,1990-03-07
William Zinsser,none
J.A. Melville ,none
Linda Howard,1950-08-03
Peter Rollins,1973-03-31
Carol Rivers ,none
Yana Toboso,1984-01-24
Christopher Hitchens,1949-04-13
C.L. Wilson ,none
Susan Green,none
Kate Saunders,1960-05-04
Giacomo Leopardi,1798-06-29
Tomi Lahren,1992-08-11
Summer Wood ,none
Annabel Joseph ,none
Sadie Matthews ,none
Jennifer Echols ,none
Edward W. Robertson ,none
Eric Schlosser,1959-08-17
William J. Mann,none
Louis de Bernières,1954-12-08
Lucy Monroe ,1906-10-23
Sarah Sundin ,none
Eliza Gordon ,none
M. Masters,none
Kristen Ashley ,1968-04-08
Marianne de Pierres ,none
Jim Benton,1960-10-31
Bianca Sommerland ,none
Keith Dromm ,none
Leisa Rayven ,none
Whitney G. ,none
Toni Aleo ,none
Chelsea Camaron ,none
Lisa See ,1955-02-18
Natalie Blitt ,none
Mara Hvistendahl ,none
Allan Frewin Jones,1954-04-30
Laurann Dohner,none
Colum McCann ,1965-02-28
Jane Lythell ,none
Sam Angus ,none
Nancy Guthrie ,1952-06-15
Jacob Grimm,1785-01-04
Ruth Axtell ,none
S.T. Boston ,none
Kristen Iversen ,none
Adele Parks ,none
Rowan Coleman ,none
Neal Asher ,1961-02-04
Judith Rossell ,none
Lynda Cohen Loigman ,none
George R.R. Martin,1948-09-20
Hope Larson ,none
Cora Brent ,none
Jon Krakauer ,1954-04-12
Andrea Bobotis ,none
Liz Curtis Higgs ,none
J.D. Hughes ,none
Anita Stansfield,none
Meg Howrey,none
Madeleine Wickham,1970-12-12
Anna Funder,none
Jess Epps ,none
Eve Hathaway,none
John Dominic Crossan,1934-02-17
Leonard Cohen,1934-09-21
Sue Grafton,1940-04-24
Elizabeth Harrower,none
Rob Nixon,none
Rudolph Herzog,none
Sophie Cleverly ,none
Ania Ahlborn ,none
Ouida,1839-01-01
Terryl L. Givens,none
Sharon Lathan ,none
Nina George ,1973-08-30
Mike Gunton,none
Lisa Tawn Bergren ,none
Katie Ruggle ,none
Alexandra Zapruder,none
Laura Lee Gulledge ,none
Julie Murphy ,none
Thomas Sowell,1930-06-30
Matt McCarthy ,none
Kayla Rae Whitaker ,none
Julia Quinn ,none
T.S. Joyce ,none
Jon Young,none
Lacey Thorn ,none
Shel Silverstein,1930-09-25
Joy Preble ,none
Jonathan Coe ,1961-08-19
Jennifer McMahon ,none
C. Michaels ,none
Kitty Thomas ,none
Nicholas Shaxson,none
Clare Wright,1969-05-14
Nancy Butcher,none
Kate Brown,1960-06-21
Louise Candlish ,none
Aline Ohanesian ,none
John Meaney,none
Nina Schuyler ,none
Kristi Ann Hunter ,none
Caitlyn Duffy ,none
James R. White,none
Charlene Hartnady ,none
Jaida Jones ,none
Robin Wasserman ,none
Judith Schalansky,1980-09-20
Benedict Jacka ,1980-09-25
Jess Kidd ,none
Timothy Tocher,none
Jodi Lynn Anderson ,none
Leonardo Ramirez,none
Rosemarie Tong,none
Kami Garcia ,1972-03-25
Jane Smiley ,1949-09-26
Anthony Bourdain,1956-06-25
Hywel Roberts,none
Simon Van Booy ,none
Hugh Fearnley-Whittingstall,1965-01-14
John F. Hanley ,none
C.M. Stunich ,none
Daisy Whitney,none
Janet Lee Carey ,1954-01-11
Zoya Tessi ,none
James P. Blaylock,1950-09-20
George Takei ,1937-04-20
Alicia Montgomery ,none
Fiona Kidman,1940-03-26
John Lenahan,none
Jennifer Jabaley ,none
Pam Godwin ,none
Glen Cook,1944-07-09
James D. Shipman ,none
Graham Moore ,none
Liza Klaussmann ,none
Layla Hagen ,none
Jun Mochizuki,none
Mark Cotta Vaz,none
Ron Burgundy ,none
James Lee Burke,1936-12-05
Jill Alexander Essbaum ,none
J.K. Rowling,1965-07-31
Bill Parcells,1941-08-22
Peter Swanson ,1968-05-26
Craig A. Evans,1952-01-21
Amanda Milo ,none
Elle Marr ,none
Martha Wells ,1964-09-01
William Paul Young,1955-05-11
Floyd Gottfredson,1905-05-05
Claire Legrand ,none
Brian Staveley ,none
R.J. Ellory,none
Ed Yong,1981-12-17
Faleena Hopkins ,none
Sonja Yoerg ,none
Cammie McGovern ,none
Marisa Silver ,1960-04-23
Jeanne C. Stein,none
Amitav Ghosh,1956-07-11
Kallypso Masters ,none
Karina Halle ,none
Stuart MacBride,1969-02-27
Gill Lewis,none
Yukio Mishima,1925-01-14
Sheila Heti,1976-12-25
Thrity Umrigar,none
Michele Sinclair,none
Simone Beaudelaire ,none
S.B. Alexander ,none
Stanley Wells,none
Douglas Jackson,none
Karen Rose ,none
Jamil Ahmad,none
Dennis Lehane ,1965-08-04
Nicola Griffith ,1960-09-30
Jon H. Gutmacher ,none
Carole Satyamurti,none
Rachel Gibson ,none
Kristen Callihan ,none
Nicole Reed ,none
Bernie Morris ,1890-08-21
Tim Burton,1958-08-25
Maria Popova ,1984-07-28
Sandra Dallas,none
Tina Traverse,none
Khalia N. Hades ,none
Ada Adams ,none
Steve Julien,none
Jayne Collier,none
Innovative Language,none
Sally Field,1946-11-06
Jessica Barry,none
Darrell L. Bock,1953-12-12
Lynn Kurland,none
Nick James ,none
Deb Caletti ,1963-06-16
Nalini Singh ,1945-09-01
Addison Moore ,none
Jonathan Stroud ,1970-10-27
Aidan Willows ,none
Tom Cox,none
John Sutherland,none
Blake Northcott ,none
Sonya Hartnett,none
Sharyn McCrumb ,1948-02-26
Erin Raegan ,none
Margaret Cardillo,none
Rae Carson,none
Lynn Raye Harris ,none
Gwendolyn Field ,none
Lois McMaster Bujold ,1949-11-02
L.A. Casey ,none
Alberto Moravia,1907-11-28
Sebastian Brant,none
Jeanne St. James ,none
Mark D. White ,none
Brandon Graham,1988-04-03
Serhiy Zhadan,1974-08-23
Alan Gratz,1972-01-27
Kate Gordon ,none
Diana Rowland ,none
Brandon Graham ,1988-04-03
Kristen Tracy ,none
Darynda Jones ,none
Naomi Klein,1970-05-08
Derek Sanderson,1946-06-16
A. Meredith Walters ,none
Talia Vance ,none
Ann Wroe,none
Barbara Nickless ,none
Marissa Meyer ,1984-02-19
Elizabeth Goudge,1900-04-24
Paul Melko,none
Stacy Gregg,none
Genevieve Cogman ,none
Daniel Tammet ,1979-01-31
Misty Jae Ogert ,none
Peter Brown,none
Sabrina Benulis ,none
Charlotte Wood,none
R.L. LaFevers ,none
DiAnn Mills ,none
Kim Richardson ,1965-12-22
Sherry Gammon ,none
Cheri Schmidt ,none
Tom Pollack ,none
Misty Moncur ,none
