,0
Robert Dugoni ,none
Linda Watkins ,1908-05-23
Jean Rhys,1890-08-24
Dennis Sharpe ,none
Joe Hill ,none
Gena Showalter ,none
Darynda Jones ,none
Jeaniene Frost ,1974-06-13
Kendare Blake ,none
Sophie Kinsella ,1970-12-12
Rhys Bowen ,1941-09-24
James Patterson ,1947-03-22
Jodi Ellen Malpas ,none
Nelou Keramati ,none
Courtney Allison Moulton ,1986-08-16
Ken Follett ,1949-06-05
A.D. Zoltan,none
Jack Finney,1911-10-02
Daniel Kahneman,1934-03-05
Mackenzi Lee ,none
Robert Jordan,1948-10-17
Lissa Price ,none
Samantha Shannon ,1991-11-08
J. Jupes ,none
Sam Conniff ,none
Ally Carter ,1974-01-01
Nicholas Sparks ,1965-12-31
Jennifer E. Smith ,none
Kate Atkinson,none
Kate Morton ,none
Ruth Ozeki ,1956-03-12
Anthony Ryan ,none
Ta-Nehisi Coates,1975-09-30
Michael Grant ,none
Rachel Caine ,1962-04-27
Anne Bishop,none
Danielle Paige ,none
Leslie Garland ,none
Morgan Rhodes ,none
Tomi Adeyemi ,1993-08-01
Daniel Silva,none
Aimee Carter ,none
Kendra Elliot ,none
Mitch Albom ,1958-05-23
Christine M. Knight ,none
Lindsay Anne Kendal ,none
Jay Kristoff ,none
Katherine Arden ,none
Jay Crownover ,none
Neal Shusterman ,1962-11-12
Adam Silvera ,1990-06-07
Leslye Walton ,none
Jakub Lasak ,none
Riley Banks ,none
Angel Sefer ,none
Lisa Renee Jones ,none
L.J. Smith ,1980-05-13
James Hilton,none
Mark Lawrence ,none
Tricia Copeland ,none
Margaret Leroy ,none
A.F. Knott ,none
Stephanie Perkins ,none
Terry Hayes,none
Nora Sakavic ,none
Molly McAdams ,none
R.L. Mathewson ,none
C.S. Pacat ,none
Mark M. Bello ,none
Ann Aguirre ,none
Karen ,none
Brian K. Vaughan ,1976-07-17
Simon W. Clark ,none
Robin Sloan ,none
Cece Whittaker ,none
Shaun David Hutchinson ,none
William Graney ,none
Hannah Kent ,none
Adam Johnson,none
M.S. Matassa ,none
Victoria Schwab ,1987-07-07
Dan Wells ,none
Melinda Leigh ,none
James Chalk ,none
Megan Abbott ,1971-08-21
Trevor Noah,1984-02-20
Dmitry Glukhovsky ,1979-06-12
Kris Kelkar ,none
M.R. Carey ,none
Melina Marchetta ,1965-03-25
Teri Terry ,none
Celeste Ng ,1980-07-30
Jamie McHone ,none
Shari Lapena ,none
Eowyn Ivey ,none
Mya Robarts,none
C.J. Daugherty ,none
Eleanor Catton,1985-09-24
Darin C. Brown ,none
Veronica Blade ,none
Aprilynne Pike,none
Heather Dixon Wallwork,none
Timothy Zahn ,1951-09-01
B.A. Paris ,none
Jeet Thayil,none
Michael J. Sullivan ,none
K.J. Soze ,none
J.M. Darhower ,none
Antonia Michaelis,none
Michael Stephen Daigle ,none
Andrea Cremer ,none
Marisha Pessl ,1977-10-26
Helene Wecker ,none
Scott Lynch ,1978-04-02
