,0
Laurel Anne Hill ,none
Kelsey Miller ,none
Bob Goff,1959-02-22
Robert Iger,1951-02-10
Kory Stamper ,none
Iona Grey ,none
Jayant Kaikini,1954-01-24
Rebekah Crane ,none
Fox Benwell ,none
Steve Orlando ,none
Dennis E. Taylor ,none
Romina Russell ,none
Vicky Beeching,1979-07-17
Jason Anspach ,none
Laurie Forest ,none
Negi Haruba,1991-07-27
Chris Riddell ,1962-04-13
Becky Chambers,1985-05-03
Samuel Miller,none
M.T. Edvardsson ,none
Jessica Simpson,1980-07-10
L.A. Parchment,none
Gregg Andrew Hurwitz ,none
Aaron-Michael Hall ,none
Karen Michelle Miller ,none
W. Bruce Cameron ,1956-07-25
Peter Raymundo,none
Anthony Bidulka ,none
Jia Tolentino ,none
A.J. Hackwith ,none
Junji Ito,1963-07-31
Nio Nakatani,none
K. Sterling ,none
Katie Henry ,none
Allison Pataki ,1984-11-25
Robin DiAngelo,1956-09-08
Rebecca Roanhorse ,none
Tucker Carlson ,1969-05-16
F.C. Yee ,none
Tess Sharpe ,none
Maurene Goo ,none
William Meikle ,none
Jessica Ruddick ,none
Rivers Solomon ,none
K.C. Kean ,none
Karin Slaughter ,1971-01-06
Robert Beatty ,1909-10-19
Alex Hirsch,1985-06-18
Matilda Woods ,none
Kimberly Jones,none
Lyssa Kay Adams ,none
Simone St. James ,none
Steve Moore ,none
David Baddiel,1964-05-28
Roger Zelazny,1937-05-13
James Hayman ,none
Lucy Felthouse ,none
Debra Anastasia ,none
Jason Z. Christie ,none
Mike Dellosso ,none
Stacia Kane ,none
George M. Moser ,none
Belinda Jones,none
Michael Grant ,none
Tessa Dawn ,none
Diane Chamberlain ,none
Daphne Uviller ,none
D.R. Erickson,none
Emma Carlson Berne ,none
Chris Pérez,1969-08-14
Jessie Harrell ,none
Phaidon Press,none
Michele Vail ,none
Thelma Madine,none
Paul Xavier Jones ,none
Joshua C. Cohen ,none
Blaine Reimer ,none
Phoebe Stone,none
Nina Berry ,none
P.G. Wodehouse,none
Hannu Rajaniemi,1978-03-09
Lisa Alfonso ,none
Bill O'Reilly ,none
Lauren Oliver ,1982-11-08
Alyxandra Harvey ,none
Sam Hammack ,none
Archie Comics,1939
Melissa V. Harris-Perry,1973-10-02
Kitty Thomas ,none
Debbie Viguié ,none
Celia Thomson ,none
Emily Brightwell,1948-11-10
F. Paul Wilson ,1946-05-17
Mayank Soofi,none
Candace C. Bowen ,none
Christina Haag ,none
Rei Toma,none
Allie Jean ,none
Juan Gabriel Vásquez,1973-01-01
Syrie James ,none
Patrick Weekes,none
R.L. McSterlingthong ,none
Kirsty Murray ,none
J.L. Mac ,none
Virginia McKevitt ,none
Danielle Steel,1947-08-14
Johanna Lindsey,1952-03-10
Delores Fossen ,none
Peter Hince,none
Cameron Jace ,none
Bec McMaster ,none
Karyn Henley ,none
Jan-Philipp Sendker ,none
Lara Zielin,none
Sharon Creech,1945-07-29
Jamie Begley ,none
Cole Gibsen ,none
Amber Forbes ,none
K.S. Haigwood ,none
Adriana Bellini ,none
Jane Harvey-Berrick ,none
Jan Morrill ,none
Eileen Cook ,none
Sarah White,none
Colleen Gleason ,none
T. Colin Campbell,1934-03-14
E.N. Watkins ,none
Francesca Simon,1955-02-23
Paul Rega ,none
Amanda Scott,none
Caleb Scharf ,none
Mary Jo Putney,none
Rebecca James ,none
Angela Graham ,none
Paul Aertker ,none
Lisa McMann ,none
Susan Johnson ,none
Kristina McMorris ,none
Scot McKnight,none
Darussalam ,none
Rochelle Maya Callen ,none
Cassie Alexander ,none
Jeff Kinney ,1971-02-19
Helen Dunmore,1952-12-12
Janet Gurtler ,none
Ron Hansen,none
R.L. Stine ,1943-10-08
David Dennis,none
Debbie Macomber ,1948-10-22
Michael Drakich ,none
Brandon Sanderson ,1975-12-19
Tonya Kappes ,none
Durjoy Datta ,1987-02-07
Marilyn Grey ,none
S.E. Grove ,none
Max Cummings,none
Jane Yolen ,1939-02-11
Cristin Harber ,none
Victor Methos ,none
Jennifer Carson ,none
Suzanne Lazear,none
Mike Chinn ,1954-12-31
Jenn Bennett ,none
Yasmine Galenorn ,none
Jacquelyn Frank ,none
Maureen Johnson ,1973-02-16
Jackie Castle ,none
Sherri Hayes ,none
Dennis Bergkamp,1969-05-10
Christina Henry ,none
E.M. Leya ,none
Jill K. Sayre ,none
Paul Carter,none
K.A. Harrington,none
Young-Ha Kim,none
Alexei Maxim Russell ,none
Laura Bailey ,none
Sarah Price ,none
John Barrowman ,1967-03-11
Richard Salter ,none
Virginia Kantra ,none
Amanda Ash,none
Atsuko Asano,none
Olivia Gaines ,none
Kelsey Sutton ,none
Kathryn James,none
Leon Leyson,1929-09-15
Kimberly Newton Fusco ,none
Charlie Higson,1958-07-03
Joe Abercrombie,1974-12-31
Lisa Lutz ,1970-03-13
Ted Dekker ,1962-10-24
Jon Robinson,none
Seeley James ,none
Alisa Mullen ,none
George Hagen,1878-07-01
J.H. Knight ,none
Varian Krylov ,none
Claudy Conn ,none
Jane Harris,none
Laura Kasischke,none
Amy Cross ,none
Neve Maslakovic ,none
Caitlyn Siehl,none
Lili St. Germain ,none
Neil Turok,1958-11-16
Ian C. Esslemont,none
Amanda Hocking ,1984-07-12
Ronald Malfi ,1977-04-27
Jennifer Salvato Doktorski ,none
Laney McMann ,none
Kelly Creagh ,none
Sarah Mlynowski ,1977-01-04
Matt Feroze,none
Hope Ramsay ,none
E.J. Squires ,none
Sheena Iyengar,none
Warsan Shire ,1988-08-01
Holly Bourne ,none
Sage Blackwood,none
Patrick Ness,1971-10-17
A.J. Kazinski ,none
Nancy Temple Rodrigue,none
Angie McKeon ,none
Lopez Lomong,1985-01-05
Carole Cummings ,none
Timothy Zahn ,1951-09-01
A.G. Howard ,none
Emma Hooper ,none
Dahlia Adler ,none
Eoin McNamee,none
Meredith Wild ,none
John Temple ,none
Nick Cole ,1984-07-28
David O'Sullivan ,none
A.J. Waines ,none
Katie Alender ,none
Lemony Snicket ,none
Jonathan Lee ,none
Brenda Ashworth Barry,none
Katherine Rundell,none
Shannon Hale ,1974-01-26
Barbara Wright ,none
Brian Farrey ,none
Péter Nádas,1942-10-14
Renee Ericson ,none
Jean Sasson ,none
Demetri Martin,1973-05-25
R.A. Dickey,1974-10-29
John Burnside,none
Jennifer Anne Kogler ,none
Carey Corp ,none
Theron Q. Dumont,1862-12-05
Lauren Layne,none
Jill Williamson ,none
Kim Gordon,1953-04-28
Jeff Lemire ,1976-03-21
Keigo Higashino,1958-02-04
Julien Gracq,1910-07-27
Prabhu Dayal ,none
Tim Seeley ,none
Gary Zimak,none
Louisa May Alcott,1832-11-29
Victoria Laurie ,none
Heather Burch ,none
Sarah Schulman,1958-07-28
Yuki Midorikawa,1976-05-23
Tony Magee,none
Donald J. Trump,1946-06-14
D.M. Webb,none
Melissa Marr ,1972-07-25
George R.R. Martin,1948-09-20
Emilio D'Alessandro,none
Patrick Holland ,none
Ayana Mathis ,none
Laurie Olerich ,none
Jay McLean ,none
Catherine Burns ,1945-09-25
Kayla Cagan ,none
Stephanie Oakes ,none
Anurag Garg ,none
Grady Hendrix ,none
Juno Dawson,1981-07-10
Chris Bohjalian ,1962-08-12
Abigail Roux ,none
Karen Gregory ,none
G. Egore Pitir,none
Liane Moriarty ,1966-11-15
Christie Watson ,none
K.M. Weiland ,none
Keira Michelle Telford ,none
Svante Pääbo,1955-04-20
Edward Fallon,none
Saroo Brierley,none
Ernest Gordon Taulbee ,none
Mike Maden ,none
Karren Brady,1969-04-04
Reza Aslan,1972-05-03
Joan Didion,1934-12-05
Heather Young ,none
Maude Julien,none
Takaya Kagami ,1979-05-22
Jennifer Donnelly ,1963-08-16
Eowyn Ivey ,none
Roz Nay ,none
Ronald Reng,none
Michael Moss,none
Martha Brockenbrough ,none
Sarah Weeks,1955-03-18
Ezekiel Boone ,none
Irvin D. Yalom,1931-06-13
Harper Lin ,none
Mary-Rose MacColl ,none
Donna Cummins ,none
Sunjeev Sahota,none
Maggie Smith ,1934-12-28
P.D. Workman ,none
T.M. Logan ,none
Lisa McInerney,none
C.V. Wyk ,none
Maryann Macdonald ,none
Iain Pears,none
Rachel Hawkins ,1992-01-31
Anna-Marie Crowhurst,none
Stephanie Danler ,none
Jill Shalvis ,none
Emily X.R. Pan ,none
Laurent Gounelle,none
Scarlet Beriko,none
Adrienne Young ,none
Eric C. Sinoway ,none
Yoav Blum ,none
Katherine Woodfine ,none
Anna-Marie McLemore ,none
Laura Martin ,1975-09-15
Ruth Hogan ,none
Joan He ,none
A.S. King ,1970-03-10
Jennifer E. Smith ,none
Annie Proulx,1935-08-22
Donna Freitas ,none
Chuck Palahniuk ,1962-02-21
Jeffrey Moussaieff Masson,1941-03-28
Robert Jackson Bennett ,none
Kate Mulgrew,1955-04-29
S.D. Smith ,none
Suzanne Bugler,none
Tillie Walden,none
Jennifer A. Doudna,1964-02-19
Jack Donovan ,none
Corban Addison ,none
Rana Awdish ,none
L.E. Parker ,none
Emily A. Duncan ,none
Erin Nations,none
Steve Cavanagh ,none
William Lane Craig,1949-08-23
Louise Simonson,1946-09-26
Sandhya Menon ,none
Arundhati Roy ,1961-11-24
Tom Michell ,none
Michelle Willingham ,none
S.M. Reine ,none
Kami Garcia ,1972-03-25
Jon McGregor,none
Nicolette Polek ,none
Julian Fellowes,1949-08-17
William H. McRaven ,1955-11-06
Scott Meyer ,none
Jory John,none
Tyehimba Jess,none
Megan Miranda ,none
Faith Erin Hicks ,none
Jonathan Yanez ,none
Svetlana Chmakova ,1979-10-07
David Yoon ,none
Cherie Dimaline,1975-07-02
Chigozie Obioma ,none
Mary Oliver,1935-09-10
Gary Green ,none
Jonathan Latt ,none
Nathan W. Pyle,none
AbJimenez ,none
Mark Manson ,1984-03-09
Jennifer Ziegler,none
Elizabeth Klehfoth ,none
Patrick deWitt,none
E. Michael Jones,none
Nicole Krauss,1974-08-18
John Corwin ,1818-10-26
Kate Elizabeth Russell,none
M.C. Ross,none
Hiromi Takashima,none
Martin Cruz Smith,1942-11-03
Tarjei Vesaas,1897-08-20
Francesco Marciuliano,none
Alex North ,1910-12-04
K.A. Tucker ,none
Lani Lynn Vale ,none
Dani Hoots ,none
Kara Swanson ,none
Christie Golden,1963-11-21
Karen Schaler ,none
Amie Kaufman ,none
Big Hit Entertainment,none
Lynnie Purcell ,none
Brandon Taylor,none
T.L. Swan ,none
Susan Goldman Rubin,none
John Boyne,1971-04-30
Susanna Clarke,1959-11-01
Orna Donath,1976-10-15
Charlie Tyler ,none
R.J. Palacio,1963-07-13
Sally Fallon,1999
Edward R. Tufte,1942-03-14
Kerrelyn Sparks ,none
John D. Waterman ,none
Pat Raccio Hughes,none
Michael Hingson,none
Shannon Stacey ,none
George Mann,none
Joan Holub ,none
Samantha Young ,none
Raine Thomas ,none
Robert Birkby,none
Joseph Gordon-Levitt,1981-02-17
Rachel Vincent ,none
Rachel Haimowitz ,none
James Joyce,1882-02-02
Ilona Andrews ,none
Jenna McCarthy ,none
Nick Lake ,none
Barnabas Miller,none
Nikki Gemmell,none
Dana Marie Bell ,none
Vina Jackson,none
Wylie Overstreet,none
Jack Canfield,1944-08-19
Thomas E. Sniegoski,none
Lorrie Kruse ,none
Barrington Barber,none
Paula Brackston ,none
Anders Roslund,none
Eudora Welty,1909-04-13
Kallypso Masters ,none
Rue Volley ,none
Joyce Meyer,1943-06-04
Shannon Duffy ,none
Lene Kaaberbøl,none
Eric J. Gates ,none
Hannah Moskowitz ,none
Hanna Pylväinen,none
Kathleen Peacock ,none
Jean-Claude van Rijckeghem,none
Lindsay Buroker ,none
Venessa Kimball ,none
Aaron B. Powell,none
James Wilde,none
Gregg Olsen ,1959-03-05
Kohta Hirano,none
Ellie Grace ,none
Dan O'Brien,1966-07-18
Marni Bates ,none
Caroline Hanson ,none
M. Molly Backes,none
Elizabeth Strout,1956-01-06
Sarah Latchaw ,none
Paula Daly ,none
Raymond Vogel ,none
James Howell ,none
S.A. Bodeen ,none
Monica James ,none
Catherine R. Daly ,none
Andra Brynn ,none
Rose Wynters ,none
Dayna Lorentz ,none
Noel Fielding,1973-05-21
Christian Wiman,none
Glinda Izabel ,none
Linda George,none
Cyn Balog,none
Toni Hill,none
J.F. Smith ,none
Bethany Griffin ,none
Noelle Marchand ,none
Morgan Rice ,none
Kimberly Lang ,none
Sean T. Poindexter ,none
L.J. Adlington,none
Lisa Desrochers ,none
Jen Frederick ,none
Yusuf Al-Hajj Ahmad,none
Naomi Novik ,1973-04-30
Jacqueline Rhoades ,none
Håkan Lindquist,1958-03-28
Shaun Harbinger ,none
Thomas King,none
Ashlyn Forge ,none
Adriane Leigh ,none
Jay Crownover ,none
Michael Robotham ,1960-11-09
Patti Larsen ,none
Cynthia Hand ,none
Anya Bast ,none
Mark Forsyth ,1977-04-02
C.J. Archer ,none
Cory O'Brien ,1972-06-20
Gemma James ,none
Les Standiford,none
Frank E. Peretti,1951-01-13
Becca Andre ,none
