,0
Valynne E. Maetani ,none
Lance Rubin ,none
Brynn Stein ,none
Sherrilyn Kenyon ,1965-12-11
CLAMP,none
Roald Dahl,1916-09-13
S.A. Hunt ,none
Mark Montgomery ,none
Jane Green ,none
William R. Forstchen,1950-10-11
Sotia Lazu ,none
Julie McElwain,none
Michael Buckley,none
Alastair Puddick ,none
Brandon Thomas DiSabatino ,none
Tanya Huff,none
Jess Ryder,none
Gretchen McNeil ,2020-02-14
Naomi Hirahara ,none
Gail Carriger ,1976-05-04
Nathan Hale ,none
James Patterson ,1947-03-22
Annette Marie ,none
Sara Ella ,none
Emily Skrutskie ,none
Ronie Kendig ,none
Elizabeth St. Michel ,none
Monica Murphy ,none
Marissa Meyer ,1984-02-19
Jenni Ogden ,none
Hazel B. West ,none
Arnold Ytreeide,none
Kate Bolick,none
Skyla Madi ,none
S.F. Mazhar ,none
James Riley ,none
Richard Paul Evans,1962-10-11
Peter F. Hamilton ,none
Steven P Sharp,none
Ramcy Diek ,none
Anna Applegate ,none
Diana Gabaldon ,1952-01-11
Felicity Brandon ,none
Christina Lynch ,none
Charles Stross ,1964-10-18
Sarah Dunant,1950-08-08
Mary Kay Andrews,none
Eric Metaxas ,1963-06-27
Nalini Singh ,1945-09-01
Henrik Ibsen,1828-03-20
Jodi Ellen Malpas ,none
Lang Leav ,1980-09-08
Jason Reynolds,1983-12-06
Aminatta Forna,none
J. Moon ,none
André Aciman ,1951-01-02
Jennifer LeBlanc ,none
Helen Keeble ,none
Fyn Alexander ,none
Wendy M. Wilson ,none
Mary H.K. Choi,none
Anna Snoekstra ,none
Nnedi Okorafor ,1974-04-08
Maggie Fenton ,none
David Anderson ,none
Caroline Webb ,none
Lyndsay Faye ,none
Ethan Arkwright ,none
Gareth L. Powell ,none
Nick Cutter ,none
Susan Wingate ,none
Heleen Kist ,none
Gabriel Tallent ,none
Osho,1931-12-11
Peter Swanson ,1968-05-26
Bus-Stop Guides ,none
Preston Norton ,none
Annabel Pitcher,none
Kate Johnson ,none
Jean Kwok ,none
Sarah Matthias ,none
Anna McPartlin ,none
Juliet Dark ,none
Charles Ames Fischer ,none
Wendy Brant ,none
Lisa Scottoline ,1955-07-01
Thich Nhat Hanh,1926-10-11
Nicky Drayden ,none
Jhumpa Lahiri,1967-07-11
Boris Sanders ,none
Camilla Monk ,none
Limmy,1974-10-20
Kasie West ,none
David E. Hoffman ,none
Dan Flores,1948-10-19
Dana Mele ,none
Melinda Gates ,1964-08-15
Anonymous,none
Rachel Hauck ,none
Michael Pollan ,1955-02-06
Daniel Silva,none
Anne Zoelle ,none
Lisa Brennan-Jobs ,1978-05-17
Mary Beth Keane ,none
Honor Raconteur ,none
Lauren James ,2001-09-29
Brian K. Vaughan ,1976-07-17
Aja James ,none
Rollo Tomassi,none
Isuna Hasekura,1982-12-27
Crystal Smith ,none
Robin Wall Kimmerer,none
Amna Dhanani ,none
Meagan Spooner ,none
Monica Hesse ,none
Ian Morgan Cron ,none
Tony Reinke ,none
Dani Shapiro ,1962-04-10
Shaun Bythell,none
Peter Brown,none
Gabrielle S. Prendergast ,none
Lara Prior-Palmer,none
Wayne Koestenbaum,none
Caroline Criado Perez,none
Lisa Jenn Bigelow ,none
April Henry ,1959-04-19
Julie James ,1958-02-25
Ronan Farrow,1987-12-19
Mar Diestro-Dopido,none
Ann Braden ,none
Raina Telgemeier ,1977-05-26
Eugene Rogan,1960-10-31
Roberto Bolaño,1953-04-28
Brent Schlender ,none
NisiOisiN,none
Jo Empson,none
Michelle Miller,1967-12-08
László Krasznahorkai,1954-01-05
Francis Bandettini ,none
Maria V. Snyder ,1973-04-15
Tim Marshall,none
Stephen Guise ,none
E.K. Johnston ,none
Sarah Morgan ,none
Aka Akasaka,1988-08-29
Pamela Kribbe,none
Rahna Reiko Rizzuto ,none
Erin Watt ,none
Elizabeth Hunter ,none
Tomi Adeyemi ,1993-08-01
Myriam Gurba ,none
You-Jeong Jeong,1966-08-15
Sherman Kennon ,none
Lottie Moggach,none
Cecilia Galante,none
Tom Leveen ,none
Dan Crenshaw,1984-03-14
Anna Mocikat ,none
Holly Jackson ,none
Ellen O'Connell ,none
Amanda Foody ,none
Elizabeth Letts ,none
Caleb Krisp,none
Pierce Brown ,1988-01-28
Margaret Dilloway ,none
Sarah Tolcser ,none
Claire North,1986-04-27
Karen Chance ,none
Elizabeth Acevedo ,none
Emma Doherty ,none
James Ponti ,none
Audrey Greathouse ,none
David Baldacci ,1960-08-05
John Patrick Kennedy ,none
Ernesto Cisneros ,1940-10-26
Kate Summerscale,none
John David Anderson ,1975-05-21
Tosca Lee ,1969-12-01
Kathryn Moon ,none
Robin Stevens ,1960-01-30
Nilakshi Garg ,none
Gareth Ryder-Hanrahan ,none
I.W. Gregorio ,none
Abi Elphinstone ,none
Lucy Score ,none
Núria Añó,1973-02-10
Natasha Preston ,none
Lucy Powrie ,none
Kekla Magoon ,none
Riley Sager ,none
Emma Donoghue ,1969-10-24
Joan Livingston ,none
Wendy Heard ,none
K.M. Shea ,none
Vladimir Nabokov,none
Sherri Desbois ,none
Laura Resau ,none
Tracie Peterson,none
Rebecca Maizel ,none
Jeffrey Pierce ,1971-12-13
Amy Ignatow ,1977-09-15
Robin Parrish ,1975-10-13
Peter Stamm,none
Larissa Ione ,none
Jeff W. Horton ,none
David Wilcock,none
Chris Wooding,none
Scott Snyder ,none
Julia Quinn ,none
Mark M. McMillin ,none
J.G. Faherty ,none
Craig Glenday ,none
Julian Darius ,none
Julie Cross ,none
Donald Allen Kirch ,none
Mahathir Mohamad,1925-07-10
Elaine Coffman,1942-06-19
Christine Seifert ,none
Mark Hodder ,none
Robert Shearman,1970-02-10
K.C. Hilton ,none
Erin Siegal ,none
Michael Dempsey ,1958-11-29
J.D. Tyler ,none
Margie Gelbwasser ,none
Allison Rush,none
Lyn Alexander,none
Beth Kery ,none
Laura Kaye ,none
Kate Kaynak ,none
Tracy Rozzlynn ,none
Jade Lazlow ,none
Melissa Turner Lee ,none
C.H. Admirand ,none
Laury Falter ,none
Wendy Mass ,1967-04-22
Devyn Dawson ,none
Evonne Wareham ,none
David Whitley ,none
Alma Katsu ,1959-11-29
S.H. Kolee ,none
Christina Schwarz ,none
Angie Derek,none
Paul Grossman,none
Peter H. Fogtdal ,none
Eva Márquez ,none
Linda Ulleseit ,none
Steven Herrick ,none
Emily Snow ,none
Marie Coulson ,none
Debora Geary ,none
M.R. Graham ,none
Rick Soper ,none
Tony Bedard ,none
Dan Santat ,none
Lauren Barnholdt ,none
Jeff Wheeler ,none
John Banville,1945-12-08
Alex Scarrow ,1966-02-14
Julie Miller ,1956-07-12
Tina Smith ,1958-03-04
Carole Matthews,none
Ruth Warburton ,none
Steve French ,none
John Shors ,none
Ashley Nemer ,none
Brenda Jackson ,none
Kendra Elliot ,none
Ben Peller ,none
Rorke Denver ,1973-10-26
Melissa West ,none
Laura Jarratt ,none
J.J. Murphy ,none
Aria Williams ,none
Patrick O'Scheen ,none
Theresa Breslin,none
Shannon A. Thompson ,none
Arthur Conan Doyle,1859-05-22
Robin Bridges ,none
Casey Watson,none
Jessica Clare ,none
Beth Groundwater ,none
Olivia Thorne ,none
Gary F. Vanucci ,none
Andrew Hussie,1979-08-25
Indigo Bloome ,none
Charles Martin ,none
Pamela Aares ,none
John Bradshaw,none
Amber Lea Easton ,none
Imran Khan,1952-10-05
Jackie Williams ,none
Ken Mooney ,none
Angelica Thaddeus ,none
Geronimo Stilton,none
Dana Haynes ,none
Deborah Ann ,none
Caddy Rowland ,none
Stephanie Nelson ,none
Tyler Hamilton,1971-03-01
Emilyann Allen ,none
Cat Patrick ,none
Karen Jean Matsko Hood ,none
Lisa Renee Jones ,none
Dana Marton ,none
Cecy Robson ,none
Robin Benway ,none
Robin Cain ,none
Marsha Hayles ,none
Jacqueline Rayner,none
Lauren Groff ,1978-07-23
Lydia Michaels ,none
Fuminori Nakamura,1977-09-02
Cynthia Eden ,none
Steven dos Santos ,none
Holly Smale ,1981-12-07
Elisabeth Marrion ,none
William Kent Krueger ,1950-11-16
John O'Brien ,none
Travis Neighbor Ward ,none
Lilliana Anderson ,none
Daniel Suarez ,1992-01-07
Elizabeth Reyes ,none
Michelle Diener ,none
Stacey O'Neale ,none
Phillip Tomasso III ,none
Maggie Stiefvater ,1981-11-18
Laura Miller ,1958-11-18
Sam Kuban,none
Lisa Genova ,1970-11-22
Shannon Dittemore ,none
Susan Andersen ,none
Dain Heer ,none
James Lyon ,none
Sophia Dembling ,none
Will McIntosh ,none
D.D. Ayres ,none
P.J. Fiala ,none
Stuart Neville ,none
Paul Pen ,none
Nabse Bamato ,none
Dana Fredsti ,none
Sue Lawson ,none
Carla Kelly,none
Rebecca Zanetti ,none
April Genevieve Tucholke,none
Alexandra Ivy ,none
Kevin Alan Milne ,none
Alex Archer ,1908-05-01
Lisa Wingate ,none
Cheryl Ammeter ,none
Scott Hildreth ,none
Steve McHugh ,none
Wendy Pini,1951-06-04
Courtney Robertson,none
Jolina Petersheim ,none
Arie Farnam ,none
Shatrujeet Nath ,none
Chris Bradford ,none
Cary Allen Stone ,none
Nicholas Ryan ,none
John Scalzi ,1969-05-10
Fannie Flagg,1944-09-21
Gene Luen Yang ,1973-08-09
Charlaine Harris ,1951-11-25
L. Frank Baum,1856-05-15
Karl Wiggins ,none
Tali Alexander ,none
C.M. Owens ,none
Mara Jacobs ,none
Ella Frank,none
Adam Gidwitz ,1982-02-14
J.A. Templeton ,none
J. Cafesin ,none
Jacques Lusseyran,1924-09-19
James Goss,none
Brad Feld ,none
Molly McAdams ,none
Nikki Sex ,none
Misty Evans ,none
N.R. Walker,none
Francette Phal,none
Jodi Ann Bickley,none
Rick Yancey,1962-11-04
Lorelei James ,none
Ally Condie ,1978-11-02
Jeanne Mackin ,none
David Beaupre ,none
Tim Green ,1963-12-16
Steven Erikson ,1959-10-07
Susan Rieger ,none
Waris Dirie,none
Lizzy Ford ,none
Lesley Pearse,1945-02-24
Diana Greenwood ,none
Jack Campbell,none
Fanny Lee Savage ,none
Eve Newton ,2008-05-31
Rob Reid ,1966-10-02
The Editors of Time Magazine,none
Laura Thalassa ,none
Linda Bridey ,none
Anthony Miller ,none
Sandra Brown ,1948-03-12
Jonathan Miles ,none
J.L. Drake ,none
Christine Feehan ,none
Kristen Pro,none
Julia Harlow ,none
Brian McGoldrick ,none
Carly Anne West ,none
John Ferak ,none
Damian Wampler,none
Jay Kristoff ,none
Sarah Robinson ,none
Gena Showalter ,none
Bella Andre ,none
Tom DeLonge ,1975-12-13
Jaron Lanier,1960-05-03
Mo Hayder,1962-01-02
Kanata Konami,1958-07-03
Corinne Michaels ,none
Wajdy Mustafa ,none
J.J. Johnson ,1924-01-22
K. Bromberg ,none
Pat Summitt,1952-06-14
Annie Jacobsen ,1967-06-28
Ben Lerner,1979-02-04
Debbie Howells ,none
Zoë S. Roy ,none
Colleen Chen ,none
Magnus Flyte ,none
Alex Bell,none
Mary Elizabeth Summer ,none
Robert Thier,none
S.J. West ,none
K.Hari Kumar ,none
Holly Blackstone ,none
Ambriehl Khalil ,none
Mo Yan,1955-02-17
Jack L. Pyke ,none
Milan Kundera,1929-04-01
Kevin Poulsen,1965-11-30
Suzanne Weyn,1955-07-06
Bryan Davis ,none
Scarlett Dawn ,none
Julie Kagawa ,1982-10-12
KirLarson ,none
Vernor Vinge,1944-10-02
Michael Phillip Cash,none
John C. Sulak,none
Sudeep Nagarkar ,1988-02-26
Kenji Yoshino,1969-05-01
Kathleen Baldwin ,none
T.D. Jakes,1957-06-09
A.R. Wise ,none
Frank Close,1945-07-24
J. Sterling ,none
Steven O'Riordan,none
Meira Pentermann ,none
Suzanne Young ,none
Trista Mateer ,none
Elliot Skell,none
Gavin Aung Than,none
Jeff Menapace ,none
Ryan Holiday ,1987-06-16
Nicole Zoltack ,none
Pam Jenoff ,none
Sławomir Mrożek,1930-06-29
Cambria Hebert ,none
Will Walton,none
Chen Guangcheng,1971-11-12
Christos Gage ,none
Gustav Meyrink,1868-01-19
One Direction,none
Candace Fleming ,none
Hajime Isayama ,1986-08-29
Jaye L. Knight ,none
MarcyKate Connolly ,none
Minae Mizumura,none
Alan C. Martin,none
Mary McDonough ,1961-05-04
Nandish Desai,none
Sean Carroll ,none
Yannick Murphy,none
Megan Derr ,none
Belinda Bauer ,none
David Tallerman ,none
Caroline Roberts ,none
Seanan McGuire ,1978-01-05
J.L. Rose,none
Paul Griffin ,none
Maziar Bahari,1967-05-25
A.S. Patric ,none
Lola Hale,none
Kiera Cass ,1981-05-19
Susan Barker ,none
Alison G. Bailey ,none
Suzanne Wright ,none
Nir Eyal ,none
Tara Altebrando ,none
Austin Chant ,none
Josh Sundquist ,1984-08-06
Ashley Herring Blake ,none
Ben H. Winters ,none
Ashley Capes ,none
Louise Penny ,none
Geoff Rodkey ,1970-09-09
Harriet Evans ,none
Catherine Fisher,none
Gregory V. Diehl ,none
Fletcher DeLancey ,none
Heidi Cullinan ,none
K.M. Pohlkamp ,none
Matthew M. Bartlett ,none
Chris Carter,none
Terry Pratchett,1948-04-28
Emma Chase ,none
Jen Turano ,none
Sarah Porter ,1813-08-16
Scott Thomas,none
Sierra Hill ,none
RoAnna Sylver ,none
Carl Safina ,1955-05-23
Matthew Reilly,1974-07-02
Susan J. Morris ,none
Lisa Gardner ,none
Penny Young Nance,none
Rin Chupeco ,none
Naoshi Arakawa,none
Courtney Alameda ,none
Aaron Dembski-Bowden ,none
Pepper Winters ,none
Sophie Schiller ,none
Holly Black ,1971-11-10
Lisa See ,1955-02-18
Devney Perry ,none
Akiko Higashimura,1975-10-15
Rhett McLaughlin ,1977-10-11
Renée Ahdieh ,none
Molly Harper ,none
Julie Israel ,none
RuRyan,none
Gwendolyn Clare ,none
Stephen Aryan ,none
John Gwynne ,none
Jon Skovron ,none
Emily P. Freeman ,none
Margarita Engle,1951-09-02
Luke Pearson ,1987-10-12
Dan Gemeinhart ,none
Leo Tolstoy,1828-09-09
Amelia Faulkner ,none
Lori Lansens ,none
Clinchandhill ,none
Heather Kaczynski ,none
Gary J. Byrne,none
Jennifer Lynn Alvarez ,none
Christopher Klein ,none
Natsume Akatsuki,none
Brianna Wiest ,none
Tahereh Mafi,1988-11-09
Holly Jacobs ,none
Emma Nichols ,none
Sheryl Scarborough ,none
Douglas Adams,1952-03-11
Sue Klebold,1949-03-25
Daniela Petrova ,none
Jennifer A. Nielsen ,1971-07-10
Jojo Moyes ,1969-08-04
Kiese Laymon ,none
Leah Thomas ,none
Louise Millar ,none
Sara Shepard ,1977-04-08
Pat Barker,1943-05-08
Jared Reck ,none
Oliver Bowden,none
Aleron Kong ,none
Marie Graßhoff ,none
Jenny Colgan,1972-09-14
John Lewis,1940-02-21
Martin Ford,none
