,0
Laurann Dohner,none
Colum McCann ,1965-02-28
Ed Brubaker ,1966-11-17
Jane Lythell ,none
Chuck Dixon ,1954-04-14
Lucy Monroe ,1906-10-23
Toni Aleo ,none
Sam Angus ,none
Nancy Guthrie ,1952-06-15
Jacob Grimm,1785-01-04
Ruth Axtell ,none
Allan Frewin Jones,1954-04-30
S.T. Boston ,none
Gemma James ,none
Kristen Iversen ,none
Adele Parks ,none
Rowan Coleman ,none
Pepper Winters ,none
Neal Asher ,1961-02-04
Judith Rossell ,none
Lynda Cohen Loigman ,none
George R.R. Martin,1948-09-20
Hope Larson ,none
Cora Brent ,none
Jon Krakauer ,1954-04-12
Andrea Bobotis ,none
Liz Curtis Higgs ,none
J.D. Hughes ,none
Anita Stansfield,none
Meg Howrey,none
Madeleine Wickham,1970-12-12
Anna Funder,none
Jess Epps ,none
Bella Forrest ,none
Eve Hathaway,none
Ava Miles ,none
John Dominic Crossan,1934-02-17
Leonard Cohen,1934-09-21
Sue Grafton,1940-04-24
Elizabeth Harrower,none
Rob Nixon,none
Rudolph Herzog,none
Sophie Cleverly ,none
Ania Ahlborn ,none
Ouida,1839-01-01
Terryl L. Givens,none
Sharon Lathan ,none
Nina George ,1973-08-30
Mike Gunton,none
Lisa Tawn Bergren ,none
Katie Ruggle ,none
Alexandra Zapruder,none
Laura Lee Gulledge ,none
Gail Carriger ,1976-05-04
Jen Turano ,none
Lynsay Sands ,none
Julie Murphy ,none
Thomas Sowell,1930-06-30
G.B. Hope ,none
Matt McCarthy ,none
Kayla Rae Whitaker ,none
Elizabeth Camden ,none
Julia Quinn ,none
T.S. Joyce ,none
Jon Young,none
Lacey Thorn ,none
Shel Silverstein,1930-09-25
Joy Preble ,none
Jonathan Coe ,1961-08-19
Jennifer McMahon ,none
C. Michaels ,none
Kitty Thomas ,none
Nicholas Shaxson,none
Clare Wright,1969-05-14
Nancy Butcher,none
Kate Brown,1960-06-21
Louise Candlish ,none
Aline Ohanesian ,none
John Meaney,none
Nina Schuyler ,none
Kristi Ann Hunter ,none
Caitlyn Duffy ,none
James R. White,none
Charlene Hartnady ,none
Jaida Jones ,none
Robin Wasserman ,none
Judith Schalansky,1980-09-20
Benedict Jacka ,1980-09-25
Jess Kidd ,none
Timothy Tocher,none
Jodi Lynn Anderson ,none
Leonardo Ramirez,none
Rosemarie Tong,none
Kami Garcia ,1972-03-25
Jane Smiley ,1949-09-26
Anthony Bourdain,1956-06-25
Hywel Roberts,none
Michael Morpurgo,1943-10-03
Simon Van Booy ,none
Hugh Fearnley-Whittingstall,1965-01-14
John F. Hanley ,none
C.M. Stunich ,none
Daisy Whitney,none
Janet Lee Carey ,1954-01-11
Zoya Tessi ,none
James P. Blaylock,1950-09-20
George Takei ,1937-04-20
Alicia Montgomery ,none
Fiona Kidman,1940-03-26
John Lenahan,none
Will Hill ,1990-03-07
Jennifer Jabaley ,none
Pam Godwin ,none
Glen Cook,1944-07-09
James D. Shipman ,none
Graham Moore ,none
Liza Klaussmann ,none
Layla Hagen ,none
Jun Mochizuki,none
Mark Cotta Vaz,none
Ron Burgundy ,none
James Lee Burke,1936-12-05
Jill Alexander Essbaum ,none
Penelope Ward ,none
J.K. Rowling,1965-07-31
Bill Parcells,1941-08-22
Peter Swanson ,1968-05-26
Craig A. Evans,1952-01-21
Amanda Milo ,none
Elle Marr ,none
Martha Wells ,1964-09-01
William Paul Young,1955-05-11
Floyd Gottfredson,1905-05-05
Claire Legrand ,none
Brian Staveley ,none
R.J. Ellory,none
Philip Reeve ,none
Ed Yong,1981-12-17
Faleena Hopkins ,none
Sonja Yoerg ,none
Cammie McGovern ,none
Marisa Silver ,1960-04-23
Jeanne C. Stein,none
Spencer Quinn ,none
Amitav Ghosh,1956-07-11
Kallypso Masters ,none
Karina Halle ,none
Stuart MacBride,1969-02-27
Gill Lewis,none
Yukio Mishima,1925-01-14
Jennifer Ashley ,none
Sheila Heti,1976-12-25
Thrity Umrigar,none
Michele Sinclair,none
Simone Beaudelaire ,none
Yana Toboso,1984-01-24
S.B. Alexander ,none
Stanley Wells,none
Douglas Jackson,none
Karen Rose ,none
Jamil Ahmad,none
Dennis Lehane ,1965-08-04
Nicola Griffith ,1960-09-30
Jon H. Gutmacher ,none
Carole Satyamurti,none
Rachel Gibson ,none
Kristen Callihan ,none
Nicole Reed ,none
Bernie Morris ,1890-08-21
Tim Burton,1958-08-25
Roseanna M. White ,none
Maria Popova ,1984-07-28
Sandra Dallas,none
Tina Traverse,none
Khalia N. Hades ,none
