,0
Ada Adams ,none
Steve Julien,none
Jayne Collier,none
Innovative Language,none
Sally Field,1946-11-06
Jessica Barry,none
Darrell L. Bock,1953-12-12
Lynn Kurland,none
Nick James ,none
Deb Caletti ,1963-06-16
Nalini Singh ,1945-09-01
Addison Moore ,none
Jonathan Stroud ,1970-10-27
Aidan Willows ,none
Tom Cox,none
John Sutherland,none
Blake Northcott ,none
Sonya Hartnett,none
Sharyn McCrumb ,1948-02-26
Erin Raegan ,none
Margaret Cardillo,none
Rae Carson,none
Lynn Raye Harris ,none
Gwendolyn Field ,none
Lois McMaster Bujold ,1949-11-02
L.A. Casey ,none
Alberto Moravia,1907-11-28
Sebastian Brant,none
Jeanne St. James ,none
Mark D. White ,none
Paula Brackston ,none
Brandon Graham,1988-04-03
Serhiy Zhadan,1974-08-23
Alan Gratz,1972-01-27
Kate Gordon ,none
Diana Rowland ,none
Brandon Graham ,1988-04-03
Kristen Tracy ,none
Darynda Jones ,none
Naomi Klein,1970-05-08
Derek Sanderson,1946-06-16
Erin Hunter,none
A. Meredith Walters ,none
Talia Vance ,none
Ann Wroe,none
Barbara Nickless ,none
Marissa Meyer ,1984-02-19
Elizabeth Goudge,1900-04-24
Paul Melko,none
Brenna Yovanoff ,none
Stacy Gregg,none
Genevieve Cogman ,none
Daniel Tammet ,1979-01-31
Misty Jae Ogert ,none
Nagaru Tanigawa,1970-12-19
Peter Brown,none
Sabrina Benulis ,none
Charlotte Wood,none
R.L. LaFevers ,none
DiAnn Mills ,none
Kim Richardson ,1965-12-22
Sherry Gammon ,none
Cheri Schmidt ,none
Tom Pollack ,none
Misty Moncur ,none
