,0
Chris Howard ,none
Travis Luedke ,none
Howard Marks,1945-08-13
Jennifer Loren ,none
Joss Stirling ,none
Robert Crais,1953-06-20
Lilian Carmine ,none
Dean Mayes ,none
Wendy Alec,none
Jay Kristoff ,none
Sheri Wren Haymore ,none
Charles James ,none
Maria Johnsen ,none
Kiersten White ,none
John Shirley,1953-02-10
Max Cummings,none
Varun Agarwal ,1986-12-06
Jim West ,none
Emmi Itäranta ,none
Jeff VanderMeer ,1968-07-07
Rachel Joyce,none
Sandy Hall ,none
Annie Jacobsen ,1967-06-28
Keri Lake ,1969-08-23
Scarlett Dawn ,none
A.S. King ,1970-03-10
Kindle Alexander ,none
Melanie Dickerson ,none
Leonard Seet ,none
Donald J. Trump,1946-06-14
Elizabeth Eulberg ,none
Renee Carlino ,none
David Foenkinos,1974-10-28
Brittany Cavallaro ,none
Jason Reynolds,1983-12-06
Paul Tremblay ,1971-06-30
Fatima Farheen Mirza ,1991-04-10
Justina Ireland ,1985-02-07
Natasha Ngan ,none
Zora Neale Hurston,1891-01-07
T.J. Klune ,none
Rachel Ward ,1957-09-12
Samantha Young ,none
Y.S. Lee ,none
Tiffany King ,none
Drew Magary ,1976-10-07
Tracy Bilen ,none
Deborah Levy,1959-08-06
Neal Shusterman ,1962-11-12
Anthony Horowitz ,1955-04-05
Gina L. Maxwell ,none
Shane Kuhn ,none
Cat Clarke ,none
Durjoy Datta ,1987-02-07
Sangu Mandanna ,none
Garth Stein ,none
Marie Lu ,1984-07-11
Sara Shepard ,1977-04-08
Jamie McGuire ,1983-11-13
Patty Blount ,none
Tommy Wallach ,none
Cecelia Ahern,1981-09-30
John Ajvide Lindqvist,1968-12-02
Karole Cozzo ,none
Sharlyn G. Branson ,none
Jang Jin-sung,none
Camilla Isley ,none
Emiko Jean ,none
Greg Iles ,none
Devney Perry ,none
S.A. Chakraborty ,none
Elif Shafak ,1971-10-25
Cara Alwill Leyba,none
James S.A. Corey ,none
Dean Atta ,none
Katherine Applegate,1956-10-09
Alyson Noel ,1965-12-03
Katherine Hannigan,none
Lorelei James ,none
Jennifer Richard Jacobson,none
Michelle Rowen ,none
Joe Hill ,none
Jennifer Hillier ,none
Claudia Lefeve ,none
Guy Gavriel Kay ,1954-11-07
Julie Morgan ,1944-11-02
Jillian Dodd ,none
Frances Hardinge,none
Angela Marsons ,none
Kurtis J. Wiebe ,none
Kate A. Boorman ,none
Sharon J. Bolton ,none
Tilly Bagshawe,1973-06-12
Stephen King ,1947-09-21
J. Carson Rose ,none
J.Y. Yang ,none
Tricia Levenseller ,none
Karin Slaughter ,1971-01-06
Simon Singh,1964-09-19
Lauren James ,2001-09-29
Simone St. James ,none
Bridget Collins ,none
Alex Light ,1996-05-02
P.G. Wodehouse,none
Jenny Wingfield ,none
Cate Tiernan,1961-07-24
Mary Ting ,none
Scott Adams,1957-06-08
James Patterson ,1947-03-22
Karl Marlantes,1944-12-24
Nora Roberts ,1950-10-10
Barry Finlay ,none
Brae Wyckoff ,none
Kathryn McNeill Crane ,none
Lili St. Crow,none
Erin McCarthy ,1990-07-07
Preeti Shenoy ,1971-12-21
Kat Richardson ,1964-05-22
W. Michael Gear,1955-05-20
Dana Mason ,none
Jonathan Amaret ,none
Christopher Paul Curtis,1953-05-10
China Miéville ,1972-09-06
Kathryn C. Kelly ,none
Aleatha Romig ,none
Molly Evangeline ,none
Lilith Saintcrow ,1976-12-31
Kimberley Griffiths Little ,none
Lisa Genova ,1970-11-22
Katarina Bivald ,none
Joelle Charbonneau,none
Devdutt Pattanaik ,1970-12-11
Gianni Perticaroli ,none
Sona Charaipotra ,none
Salla Simukka,1981-06-16
Elle Kennedy ,none
Lisa Lutz ,1970-03-13
Harlan Coben ,none
A.R. Torre,none
Michael Wolff,none
John Gwynne ,none
Tess Sharpe ,none
S.D. Smith ,none
Patricia Cornwell ,1956-06-09
Sandie Jones ,none
Claire Legrand ,none
Carmen Maria Machado ,1986-07-03
C.L. Parker ,none
Gena Showalter ,none
Joann Buchanan ,none
Stacey Jay ,none
Lia Habel ,none
Charles Patterson,none
Carrie Ryan ,none
Roxanne St. Claire ,none
Amanda Coplin,none
Vanessa Garden ,none
Danielle Rohr ,none
Darren Shan ,1972-07-02
Kazu Kibuishi ,1978-04-08
Christopher Moore ,none
Sherri Hayes ,none
Susan Dennard ,1984-02-25
Kelley York ,none
Rachel Renée Russell ,1959-04-13
Colin Meloy,1974-10-05
Emma Healey ,1985
Jennifer L. Armentrout ,1980-06-11
Blake Crouch ,1978-10-15
Elliot Wake ,none
Laurie Penny,1986-09-28
Jonathan Stroud ,1970-10-27
Maggie Stiefvater ,1981-11-18
Emery Lord ,none
Shea Ernshaw ,none
Veronica Roth ,1988-08-19
Sarah Pinborough ,none
Shari Lapena ,none
Daniel Cole,none
Peter Brown,none
Holly Jackson ,none
Kim Liggett ,none
Kami Garcia ,1972-03-25
Michael Grant ,none
Glennon Doyle ,1976-03-20
Chris Wooding,none
Daniel Abraham,none
Teju Cole,1975-06-27
Michelle Browne ,none
Vanessa Veselka ,1969-03-14
Alexia Purdy ,none
Victoria Scott ,1982-02-01
K.N. Lee ,none
Michael West ,none
Anne Greenwood Brown ,none
Adrienne Thompson ,none
Erynn Mangum,none
Jacqueline Davies,1948-05-21
Sylvia Plath,1932-10-27
Maya Banks ,none
Sarah Alderson ,none
Manning Marable,1950-05-13
Alex London,none
Camilla Läckberg ,1974-08-30
Liz Kessler,none
Colleen Oakes ,none
Sophia Amoruso ,1984-04-20
Emmy Laybourne ,1947-05-19
Brent Weeks ,1977-03-07
Emily Lloyd-Jones ,none
Anna Pitoniak ,none
Olga Tokarczuk,1962-01-29
Rainbow Rowell ,1973-02-24
Rosanne Parry ,none
Lynette Noni ,none
M.A. Stacie ,none
Pseudonymous Bosch ,1967-10-25
Marcus du Sautoy,1965-08-26
Hugh Howey ,1975-06-23
Lisa Papademetriou ,1971-08-25
Marie Rutkoski ,1977-03-05
G.J. Walker-Smith,none
Drew Karpyshyn ,1971-07-28
Heather Demetrios ,none
Charlie Higson,1958-07-03
Hazel Gaynor ,1971-05-16
ShelBach ,none
Ellen Forney,1968-03-08
A.J. Betts ,none
Hannah Richell ,none
Charlotte McConaghy ,none
Elena Dunkle,none
Dennis Lehane ,1965-08-04
A.L. Jackson ,none
Keigo Higashino,1958-02-04
Juliet Dark ,none
Anna Burns,1962-03-07
Chris Turnbull ,none
Gretchen McNeil ,2020-02-14
Lauren Groff ,1978-07-23
Emily Henry ,none
Tupelo Hassman ,none
L.A. Meyer,none
Chris Cleave ,1973-05-14
Ari Berk ,1967-03-07
Sarah Beth Durst ,1974-05-23
Maria Konnikova ,none
Rachel Vincent ,none
Heather Anastasiu ,none
Jeff Garvin ,none
Cassandra Rose Clarke ,none
Andrea K. Höst ,none
Young Kim ,1962-10-18
Felix O. Hartmann ,none
Cal Newport,1982-06-23
David Levithan ,1972-09-07
Sara Raasch ,1989-08-26
Ally Carter ,1974-01-01
Cristin Terrill ,none
Rory Power ,none
Sarah Lyu ,none
Geraldine Solon ,none
Julie Kagawa ,1982-10-12
Cynthia Eden ,none
L.J. Smith ,1980-05-13
Diana Rowland ,none
Kendare Blake ,none
Josh Hanagarne ,none
Abigail Haas ,none
Viveca Benoir ,none
Keith Hale,1950-11-06
Suzy Zail,none
H.M. Ward ,none
Patricia Briggs,none
E.K. Blair ,none
Julia Durango,none
Sarah Brianne ,none
Lang Leav ,1980-09-08
Erin Beaty ,none
Fiona Barton ,none
Karen M. McManus ,1969-05-14
Kelly Loy Gilbert ,none
Tracy Wolff,none
Sunil Khilnani,none
Joey W. Hill ,none
Laura Frantz ,none
Kristen Callihan ,none
S.P. Cervantes ,none
Umberto Eco,1932-01-05
Jennifer Beckstrand ,none
Ernest Thompson Seton,1860-08-14
J.K. Rowling,1965-07-31
Courtney C. Stevens ,none
Rysa Walker ,none
Jenn Marie Thorne ,none
Amanda Palmer ,1976-04-30
Aimee Friedman ,none
Katerina Diamond ,none
Fabien Vehlmann,1972-01-30
Hawa L Crickmore,none
Sabrina Benaim,1987-11-30
Brigid Kemmerer ,1978-01-11
