,0
Fumio Sasaki,none
Guy Portman ,none
Scott Pratt ,none
James Rollins ,1961-08-20
Loreth Anne White ,none
Alice Oseman ,1994-10-16
Matsuri Hino,none
Heather Hildenbrand ,none
Ree Drummond,1969-01-06
Lily Blake ,none
David Gaider,none
Corrine Jackson ,none
Karen Swan ,none
Sarah Cross ,none
Holly Black ,1971-11-10
Mark Tufo ,none
Patrick W. Carr ,none
Pitigrilli,none
Michio Kaku,1947-01-24
Peter H. Diamandis,1961-05-20
Lauren Child,1965-11-29
Claudia Rankine,1963-09-04
Adrienne Maree Brown ,1978-09-06
Rachel Held Evans,1981-06-08
Matthew Quick ,1973-10-23
Charles Cumming,none
Ransom Riggs,1979-02-03
Ruta Sepetys ,1967-11-19
Ashley Elston ,none
J.P. Delaney ,none
Layne Fargo ,none
T.R. Horne ,none
Greer Hendricks ,none
Brett Battles ,none
Karina Halle ,none
Damien Echols,1974-12-11
Alma Katsu ,1959-11-29
Jenny Colgan,1972-09-14
Jodi Meadows ,none
Terri Anne Browning,none
Paula Weston ,none
Elliot Perlman,none
Joe Schreiber,none
C.D. Reiss ,none
R.L. Stine ,1943-10-08
Amy Tan ,1952-02-19
Karen Blumenthal ,none
Patrick Gale,none
Kathryn Hughes,1959-01-01
Rachel Abbott ,none
Elle Cosimano ,none
André Alexis,none
Paolo Bacigalupi ,1972-08-06
Erin Hunter,none
Laura Bates ,1986-08-27
Danielle Paige ,none
Sophie Jordan ,none
Peadar Ó Guilín ,none
Jennifer Egan ,none
Elly Blake ,none
Julie Murphy ,none
Adam Gidwitz ,1982-02-14
Soman Chainani ,none
Melissa Marr ,1972-07-25
Aaron M. Patterson ,none
Allan Wolf,none
Angela M. Hudson ,none
Heather Gudenkauf ,none
Trish Doller ,none
Brooke Cumberland ,none
S.L. Jennings ,none
Katherine Ewell ,none
Stuart Gibbs ,1969-06-11
Ben Elton,1959-05-03
Amy Plum ,none
Virginia Boecker ,none
Chris Grabenstein ,none
Maggie Hall ,1853-12-26
Jennifer Estep ,none
Ayşe Kulin,1941-08-26
Affinity Konar ,none
Kamila Shamsie,1973-08-13
John Grisham ,1955-02-08
Erin Watt ,none
Cara Delevingne,1992-08-12
Laurie Forest ,none
Jenn Bishop ,none
Douglas Preston ,1956-05-20
Kirsty McKay,none
R.A. Salvatore,1959-01-20
Jessica Sorensen ,none
Wiley Cash ,1977-09-07
Elisabeth Naughton ,none
Lee Child ,1954-10-29
Wesley Chu ,none
Chelsie Hill,none
Tom Spanbauer ,none
Caisey Quinn ,none
Spike Pitt ,none
Danielle L. Jensen ,none
Mary Robinette Kowal ,1969-02-08
Maria V. Snyder ,1973-04-15
Mia Sheridan ,none
Ilona Andrews ,none
Lisa M. Orban ,none
Marieke Nijkamp ,1986-01-23
Amanda Foody ,none
Violet LeVoit ,none
Justin A. Reynolds ,none
C.S. Friedman,1957-01-12
Lawrence M. Krauss,1954-05-27
Elle Jasper ,none
Lisa M. Stasse ,none
K.A. Linde ,none
Charlotte Stein ,none
Julie James ,1958-02-25
Maya Cross ,none
S.G. Night ,none
Karen Amanda Hooper ,none
Lyn Benedict,none
Ryan Holiday ,1987-06-16
Leylah Attar ,none
Laurelin Paige ,none
Penelope Douglas ,none
William Manchester,1922-04-01
Jon Padgett ,none
Peter Wohlleben,none
Vi Keeland ,none
Tui T. Sutherland,1978-07-31
Paul Hoffman,none
Tamera Alexander ,1961-08-08
J.A. London,none
Ka Hancock ,none
Deb Caletti ,1963-06-16
Jane Green ,none
Colleen Clayton ,none
Gina Rosati ,none
L.A. Weatherly ,none
C.J. Redwine ,none
Lauren Hammond ,none
Madeline Sheehan ,none
Ryan Loveless ,none
Zoë Marriott ,none
Keri Arthur ,1967-12-04
Lindy Zart ,none
K.R. Thompson,none
Adelle Waldman ,none
Leah Rae Miller ,none
Harper Sloan ,none
Robert Harris ,none
Takashi Hiraide,none
Juliet Marillier ,1948-07-27
Carian Cole ,none
Kristen Orlando ,none
David Baldacci ,1960-08-05
Adam Makos ,none
J.A. Saare ,none
Stacey Kade ,none
Lyndsay Faye ,none
Rick Riordan ,1964-06-05
Lindsey Kelk ,1980-10-03
Kerrelyn Sparks ,none
Lisa Tawn Bergren ,none
Gayle Forman ,1970-06-05
Kevin Hearne ,1970-12-09
Philippa Gregory ,1954-01-09
Janet E. Morris ,1946-05-25
John Corey Whaley,1984-01-19
Sue Lloyd-Roberts,1950-10-27
A.G. Howard ,none
E.L. James ,1963-03-07
Kim Culbertson ,none
Jennifer Weiner ,1970-03-28
Rhys Bowen ,1941-09-24
Sarra Cannon ,none
Georgia Cates ,none
Leigh Fallon ,none
Jo Treggiari,none
Peter Lerangis,none
Cheryl McIntyre ,none
Jody Gehrman ,none
Sylvia Day ,1973-03-11
David Wong ,none
Neil Gaiman ,1960-11-10
Jaci Burton ,none
Taylor Jenkins Reid ,1983-12-20
Hajime Isayama ,1986-08-29
Lori Benton ,none
Megan Morrison ,none
Jazz Jennings,2000-10-06
Isabel Greenberg ,none
Margaret Atwood ,1939-11-18
Emily Giffin ,1972-03-20
Hope Jahren ,1969-09-27
Helen Hoang ,none
Bobbie Pyron ,none
Gemma Burgess,none
Sarah Jio ,1978-02-18
J.D. Tyler ,none
Anna Carey ,none
Jen Turano ,none
Gene Luen Yang ,1973-08-09
Suzanne Woods Fisher ,none
Kendall Ryan ,none
J. Lynn,none
Kaoru Mori,1978-09-18
J.D. Robb ,1950-10-10
S.J. Kincaid ,none
Derek Landy,1974-10-23
Lesley Pearse,1945-02-24
Caroline Carlson ,none
Jacqueline Wilson,1945-12-17
Liv Constantine ,none
Jen Calonita ,none
Leila Sales ,none
Jackie French,1953-11-29
Christie Golden,1963-11-21
Tanya Byrne ,none
Nancy Kress ,1948-01-20
Dori Lavelle ,none
Drew Daywalt ,none
J.J. McAvoy,none
Michael McDowell,none
Rosamund Hodge ,none
Peggy Kern,none
Jaye L. Knight ,none
Eugene Vodolazkin,1964-02-21
M.R. Carey ,none
Cece Bell ,1970-12-26
Dan Harris ,none
Molly Harper ,none
Susan Mallery ,none
Steven James ,none
Lauren Conrad,1986-02-01
J.A. Redmerski ,none
Meljean Brook,none
Pittacus Lore,none
Aimee Agresti ,none
Sandra Brown ,1948-03-12
Stan Lee,1922-12-28
Elizabeth May ,1954-06-09
Laura Marshall,1993-11-01
Laurann Dohner,none
Ronie Kendig ,none
J.A. Templeton ,none
Angie Sage,1952-06-20
J.R. Ward ,none
Valerie Zambito ,none
Charlie Fletcher ,none
Kate Elliott ,none
Aliette de Bodard ,1982-11-10
Lindsay Smith ,none
Leah Bobet ,none
Mercedes Lackey,1950-06-24
Robert Jackson Bennett ,none
Django Wexler ,none
Victor Milán,1954-08-03
Kass Morgan ,1984-07-21
Katherine Rundell,none
Amari Soul ,none
Karl Wiggins ,none
Phillip Hoose,none
Matt Killeen,none
Aisha Saeed ,none
J.R. Rain ,none
Emmanuel Carrère,1957-12-09
Lisa Desrochers ,none
Gwen Hayes,none
Tom Sniegoski,none
Lacey Weatherford ,none
Mike Mullin ,none
Abbi Glines ,1977-04-16
Karen Chance ,none
Jeffrey Archer,1940-04-15
Cindi Madsen ,none
Nalini Singh ,1945-09-01
Susan May Warren ,none
Sally Slater ,none
I.W. Gregorio ,none
Viv Albertine,1954-12-01
Wendy Mass ,1967-04-22
Rob Thurman ,none
Rona Arato,none
Jon Acuff ,none
Sophie McKenzie ,none
Polly Holyoke ,none
Gabrielle Tozer ,none
Liz Braswell ,none
Tessa Elwood ,none
Sarah Addison Allen ,none
Jeramey Kraatz ,none
Lisa McMann ,none
Kate Moore ,none
Karen Cleveland ,none
Toshikazu Kawaguchi,none
Catherine Clark ,none
Matthew Cody ,none
Elyse Draper ,none
Mark Siegel ,none
Michael Farr,none
S. Walden,none
Ai Mi,none
Cora Reilly ,none
Steven Erikson ,1959-10-07
Corinne Duyvis ,none
Julianne MacLean ,none
Chelsea Fine ,none
Julie Otsuka,1962-05-15
Marissa Burt ,none
Cassia Leo ,none
Susanna Kearsley ,1966-01-17
Cat Patrick ,none
Andrew Fukuda,none
Lucian Bane ,none
Kim Harrison ,none
Chloe Neill ,1975-05-17
Faith Hunter ,none
Eliza Crewe ,none
Reki Kawahara,1974-08-17
Lauren Oliver ,1982-11-08
Sarina Bowen ,none
Jay McLean ,none
Cherie Priest ,1975-07-30
Brené Brown ,1965-11-18
Elizabeth Kolbert,1961-07-06
Ta-Nehisi Coates,1975-09-30
Brit Bennett ,none
Kelly Sue DeConnick ,1970-07-15
David McCullough,1933-07-07
Caitlín R. Kiernan,1964-05-26
Claire North,1986-04-27
Joel N. Ross,none
Anne Rice,1941-10-04
Wayne Koestenbaum,none
Maureen Johnson ,1973-02-16
Kelly Yang ,none
Michael David Lukas ,none
Marie Force ,none
S.Q. Williams,none
Tara Sullivan ,none
William Joyce ,1906-04-24
Alanea Alder ,none
Seanan McGuire ,1978-01-05
Ali Novak ,none
Taiye Selasi,1979-11-02
Allan Frewin Jones,1954-04-30
Bonnie Jo Campbell,none
Sarra Manning,none
Daniel H. Wilson ,1978-03-06
Chris Rylander ,none
R.M. ArceJaeger ,none
Val McDermid,1955-06-04
Glen Duncan,none
Winston Graham,1908-06-30
J. Mark G. Williams,none
Reni Eddo-Lodge,1989-09-25
Carrie Fisher,1956-10-21
Andrea Randall ,none
G. Willow Wilson ,1982-08-31
Janet Edwards ,none
Wendelin Van Draanen ,none
Diana Gabaldon ,1952-01-11
Callie Hart ,none
Camron Wright ,none
Madeleine Roux ,none
Shannon Hale ,1974-01-26
Kylie Scott ,none
Bill Nye,1955-11-27
Bern Bolo ,none
Bryan Lee O'Malley,1979-02-21
Alexandra Bracken ,none
Rachel Simon ,none
Leah Clifford ,none
Margaret Peterson Haddix,1964-04-09
Heather Brewer ,1973-09-21
Morris Gleitzman,1953-01-09
Courtney Allison Moulton ,1986-08-16
C.C. Gibbs ,none
David George Haskell,none
Sara Pennypacker,none
Tom King ,none
Jonathan Auxier ,1981-08-10
Sarah Howden,none
Miriam Toews,none
J.L. Paul ,none
Joseph Delaney ,1945-07-25
Larissa Ione ,none
Jill Mansell,none
Jasinda Wilder ,none
Sara B. Larson ,none
Patrick Lee ,none
Libba Bray ,1964-03-11
Nina LaCour ,none
Caitlin Doughty,1984-08-19
Paul C. Nelson,none
Jeff Zentner ,none
Rosamunde Pilcher,1924-09-22
Demetri Martin,1973-05-25
Roland Smith,1951-11-30
Charles Sheehan-Miles ,none
Isamu Fukui,none
Katherine Pancol,1954-10-22
David Sedaris,1956-12-26
K.C. Lynn ,none
Tana French ,1973-05-10
Victoria Schwab ,1987-07-07
Tammy Blackwell ,none
Sharon Creech,1945-07-29
Ian McEwan,1948-06-21
D.J. MacHale ,1955-03-11
Allison Pataki ,1984-11-25
Andrew Hodges,none
Tamora Pierce ,1954-12-13
Allen Zadoff ,none
Jason Segel,1980-01-18
Louise Penny ,none
Sophie Anderson ,none
Louise Rennison,none
Margot Livesey ,none
Elizabeth Norris ,none
Brian Jacques,1939-06-15
Marie Hall ,1884-04-08
Kate Locke ,none
B.J. Novak ,1979-07-31
John Allison ,none
Krysten Ritter ,1981-12-16
Kresley Cole ,none
Dr. Seuss,1904-03-02
Eileen Cook ,none
Lydia Kang ,none
Wendy Higgins ,none
Jim C. Hines ,1974-04-15
Dawn Kurtagich ,none
Devon Hughes,1972-08-01
P.C. Cast ,1960-04-30
Michael Lewis,1960-10-15
Amie Kaufman ,none
Chris Carter,none
Kate DiCamillo ,1964-03-25
Grace Lin ,none
Chris d'Lacey,1954-12-15
Michael J. Sullivan ,none
Christoph Marzi,none
David Ebershoff ,1969-01-17
Kristen Ashley ,1968-04-08
Jaleigh Johnson,none
Maggie O'Farrell ,1972-05-27
Coco Simon,none
Priya Ardis ,none
Karen Witemeyer ,none
E. Lockhart ,none
Kai Meyer ,none
Patricia Gibney,none
Stephen Fry,1957-08-24
Tera Lynn Childs ,none
Hilary Duff,1987-09-28
Friedrich Nietzsche,1844-10-15
J. Kenner ,none
Michelle Dalton,none
Felicia Day ,1979-06-28
Zoë Foster Blake,none
Anne Ursu ,none
Rolf Dobelli,1966-07-15
Dani Pettrey ,none
Lauren Blakely ,none
Jenny B. Jones ,none
Ali Smith,1962-08-24
Tom Clancy,1947-04-12
Khaled Hosseini ,1965-03-04
Paul L. Maier,none
Olivia Cunning ,none
D.B. Reynolds ,none
Mike Vasich ,none
Brandon Sanderson ,1975-12-19
Jason Matthews,none
Mira Jacob ,1973-01-05
Robert Kirkman,1978-11-30
Jennifer Worth,1935-09-25
Julia Crane ,none
Aurora Rose Reynolds ,none
Kabi Nagata,none
Eleanor Brown ,none
Suzanne Young ,none
Morgan Rice ,none
Kazue Kato,1980-07-20
Heidi McLaughlin ,none
H. Rider Haggard,1856-06-22
Melinda Salisbury,none
Paul Cornell ,1967-07-18
Janette Rallison ,1966-04-01
Jonathan Maberry ,1958-05-18
Alessandra Torre ,none
Penelope Fletcher ,1988-07-22
Wiesław Myśliwski,none
Chriselda Barretto ,none
Grace Draven ,none
Pete Hautman,none
Dale Cramer,none
Nate Silver,1978-01-13
Joanne Harris ,1964-07-03
John Locke,1632-08-29
Sherrilyn Kenyon ,1965-12-11
Amy Harmon ,none
Hervé Tullet,1958-06-28
Alan Gratz,1972-01-27
Edgar Cantero ,1981-05-27
Warren Ellis,1968-02-16
Kate Beaton,1983-09-08
Rachel M. Humphrey-D'aigle ,none
Lynsay Sands ,none
Jude Watson ,none
Kitty French ,none
Jessica Verdi ,none
Eloisa James ,none
Anne Bishop,none
Orson Scott Card,1951-08-24
Geoff Johns ,1973-01-25
Mike A. Lancaster ,none
Doug TenNapel ,1966-07-10
Epictetus,none
Melissa Lemon ,none
Shayla Black ,none
Hannah Harrington ,none
J.C. Reed ,none
Ted Dekker ,1962-10-24
Michael Punke,1964-12-07
Gareth Roberts,none
Gill Paul ,none
Michael Scott ,none
Antonio J. Méndez,none
Eva Gray,none
Chantal Fernando ,none
Jessica Shirvington ,none
Amanda Lindhout ,1981-06-12
Greg Sestero,1978-07-15
Lynda Mullaly Hunt ,none
Kasie West ,none
Karen Kingston ,none
Jennifer Ashley ,none
Alan Bradley ,none
David Walliams,1971-08-20
Thomas C. Foster,none
Julie Klassen ,none
R.C. Sproul,1939-02-13
Jo Baker ,none
Natasha Boyd ,none
Pamela Clare ,none
Tim Tebow,1987-08-14
Mhairi McFarlane ,none
Terry Brooks ,1944-01-08
David Neilsen ,none
Belinda Boring ,none
Emma Chase ,none
Beverly Cleary,1916-04-12
Carl Hiaasen ,1953-03-12
Johanna Lindsey,1952-03-10
Tillie Cole ,none
AbJohnson,none
Jasper Fforde ,1961-01-11
Eve Langlais ,none
Gina Damico ,none
Claire Contreras ,none
Sharon Cameron ,none
Christina Henry ,none
David Rakoff,1964-11-27
Rachel Caine ,1962-04-27
Scott Mariani ,none
Deanna Raybourn ,1968-06-17
Evangeline Anderson ,none
Sudha Murty,1951-08-19
William H. Armstrong,none
Nyrae Dawn ,none
Susan Kaye Quinn ,none
Bernard Cornwell ,1944-02-23
John Sandford,none
R.L. Mathewson ,none
Mo Willems,1968-02-11
Marianne de Pierres ,none
Miranda Hart,1972-12-14
Meredith Wild ,none
Erika Johansen ,none
Robin Parrish ,1975-10-13
Ari Marmell ,none
Ian Rankin ,1960-04-28
Penelope King,none
Tracy Rees,none
Shelley Adina ,none
Cassandra Clare ,1973-07-27
Moira Young ,none
R.J. Scott ,none
Andrea Cremer ,none
Shinji Moon ,none
Brian K. Vaughan ,1976-07-17
Peter James,none
Richard Dawkins ,1941-03-26
Mira Grant,1978-01-05
Chris Bohjalian ,1962-08-12
Franny Billingsley,none
Emily Snow ,none
Michelle Leighton ,none
Alistair MacLeod,1936-07-20
Joanna Wylde ,none
Kirstin Cronn-Mills,none
Caitlin Kittredge,1984-09
Stephanie Burgis ,1977-05-28
Christopher Scotton ,none
Gordon Korman,1963-10-23
Julie Lessman ,none
Jeaniene Frost ,1974-06-13
Kat Falls ,none
Gloria Steinem,1934-03-25
Heather Vogel Frederick,none
Christopher Pike,none
Sarah Andersen ,none
Esther Hautzig,none
Kyle Idleman,1962-07-01
C.C. Hunter ,none
Lauren St. John ,none
Pepper Winters ,none
Patrick Radden Keefe,1976
Ann H. Gabhart ,none
Richelle Mead ,1976-11-12
Rachel Van Dyken ,none
Daniel Silva,none
Samuel Beckett,1906-04-13
Amber Kell,none
Kristen Pro,none
Courtney Cole ,none
Jonathan Morris,none
Haruki Murakami,1949-01-12
Patrick Carman ,1966-02-27
Carolyn MacCullough,none
Jim Ottaviani ,none
Mohsin Hamid,1971-07-23
Gemma James ,none
Catherine Bybee ,none
Jennifer Haigh ,none
S.R. Mallery ,none
Bella Forrest ,none
Cherise Sinclair ,none
Cathy Marie Buchanan ,none
Hillary Jordan ,none
Michelle Harrison ,none
Nicole Edwards ,1986-06-30
Ilsa Madden-Mills ,none
Dan Abnett ,1965-10-12
Erin Noelle ,none
Jim Benton,1960-10-31
Kitty Thomas ,none
Bo Burnham,none
John Dolan ,none
Lisa Kleypas ,1964-11-05
John Wiley & Sons,1807
Edward Rutherfurd ,none
Andrew Miller,none
Maggi Myers ,none
Marian D. Schwartz ,none
Ken Liu ,none
Richard Powers,1957-06-18
Chuck Grossart ,none
Roan Parrish ,none
Aimee Carter ,none
Elle Casey ,none
Maurissa Guibord,none
Nick Hornby,1957-04-17
Alan Hollinghurst,1954-05-26
Justine Larbalestier,none
Molly McAdams ,none
Kevin J. Anderson ,1962-03-27
Jonas Jonasson,1961-07-06
Karly Kirkpatrick ,none
Martha Wells ,1964-09-01
Jane Smiley ,1949-09-26
Anne Brontë,1820-01-17
Avi,none
R.K. Lilley ,none
Richard Fifield ,none
Helena Newbury ,none
G.P. Ching ,none
Neil Young,1945-11-12
E.L. Montes ,none
J.R.R. Tolkien,1892-01-03
Irvin D. Yalom,1931-06-13
Scott Snyder ,none
Ravinder Singh,none
Victoria Aveyard ,1990-07-27
Avery Williams ,none
Evelyn R. Baldwin ,none
Erin Bowman ,1990-08-11
Jostein Gaarder,1952-08-08
Jun Mochizuki,none
Claire Messud,none
Emma Hart ,none
April Henry ,1959-04-19
Joey Graceffa,1991-05-16
Petteri Hannila ,none
Will Hill ,1990-03-07
David Sloan Wilson,none
Michael Bialys ,none
Ed Peterson,1924-06-27
Charlene Cross,none
Stephanie Skeem ,none
Beth Groundwater ,none
P.H.C. Marchesi ,none
Nicole Peeler ,1978-08-24
Rena Kornreich Gelissen,none
T.R.G. ,none
Buddy Levy ,none
Suzy Kassem,none
Lorii Myers ,none
Rupinder Gill,none
Martin Treanor ,none
Amy Asbury ,none
Christine Nolfi ,none
Pierre Van Rooyen ,none
Charlotte Blackwell ,none
P.D. Griffith ,none
M,none
Debbie Jones ,none
Roma Calatayud-Stocks ,none
Shea Berkley ,none
S.E. Foulk ,none
Elizabeth J. Kolodziej ,none
U.L. Harper ,none
"Stephen ""Steve-O"" Glover",none
Kenol Policard ,none
Margaux Fragoso,1979-04-15
Daniel A. Kaine ,none
Belle Whittington ,none
Ankita Chadha ,none
Jill Rowan ,none
Brooke Gladstone,none
Colleen Helme ,none
Arnold Henry ,none
Tim Young ,none
Molly Elwood ,none
Andrew Murray,none
Shawn Thomas Odyssey ,none
Jann Arden,1962-03-27
Jeffrey Pierce ,1971-12-13
Catherine Bliss ,1908-07-05
S.J. Johnson ,none
Spiro Dimolianis ,none
Randy Frazee,none
Roderick Thorp,none
Pamela Griffin,none
Ryan Winfield ,none
W. Mark Ormrod,1957-11-01
Samantha Sotto ,none
Kurt Timmermeister,none
Barbara Brown Taylor,1951-09-21
