,0
Laurie Forest ,none
James S.A. Corey ,none
Robert Schwartz ,none
Oliver Sacks,1933-07-09
Angie Kim ,none
Heather Lloyd ,none
Jocelyn K. Glei ,none
Tom Angleberger ,none
Whitney G. ,none
Laurelin Paige ,none
John Corwin ,1818-10-26
Rebecca McRitchie ,none
Colleen Hoover ,1979-12-11
Francesco Marciuliano,none
Dani Hoots ,none
Sarah Smith ,none
Samantha Christy ,none
Sean-Michael Argo ,none
Lynnie Purcell ,none
Thomas Page McBee ,none
Rebecca Roanhorse ,none
Diane Duane ,1952-05-18
Talia Hibbert ,none
Tara Bennett ,none
Carl Zimmer ,none
Karen Mahoney ,none
Parker Blue ,none
Kristina Douglas,none
Richard Nelson Bolles,1927-03-19
David Lamar Cook,none
Mary Lydon Simonsen ,none
Maria Savva ,none
Regina Perry ,none
Meredith Badger ,none
John Coleman,none
R.J. Smith,none
Mary Connealy ,none
Joan Holub ,none
J.A. Templeton ,none
Julian Darius ,none
Mesu Andrews ,none
Sue Ann Jaffarian ,none
Joseph Gordon-Levitt ,1981-02-17
Maureen Ann Seaberg,none
Patricia Briggs,none
Elmore Leonard,1925-10-11
Jun Mochizuki,none
Charles Dickens,1812-02-07
Nikki Gemmell,none
Douglas E. Richards ,none
James Rickards,none
L.A. Sherman ,none
Charles Eisenstein,none
Sara Shepard ,1977-04-08
Beverley Kendall ,none
Amy Lane ,none
Jacqueline Rhoades ,none
Sherwood Smith ,1951-05-29
Kelley Armstrong ,1968-12-14
Kevin Alan Milne ,none
Lars Kepler ,none
Aaron B. Powell,none
Louise Badger,none
Sophie Flack,1983-08-08
Lisa Papademetriou ,1971-08-25
Megan Crewe ,none
Chantal Fernando ,none
Kaleb Nation ,1988-09-16
Gillian Hamer ,none
Stephen Colbert,1964-05-13
Casey Watson,none
Lisa Desrochers ,none
Travis Thrasher ,none
Richard Ford,1944-02-16
Joyce Magnin ,none
Meredith Zeitlin ,none
Kaitlin Bevis ,none
Vincent Lam ,1974-09-05
Yessi Smith ,none
Nicolas Barreau,none
Susan Johnson ,none
Jillian Hunter ,none
Yusuf Al-Hajj Ahmad,none
Michael Landweber ,none
Kresley Cole ,none
Sheila Jeffries ,none
Karen Rock ,none
Ellen Schreiber,none
Lish McBride ,none
Cate Tiernan,1961-07-24
Magda Alexander ,none
Jim Bernheimer ,none
Kari Gregg ,none
Catherine Fisher,none
Nancy Straight ,none
Lori Foster ,none
Mark Green ,none
Anne Cassidy,none
Luca Rossi ,none
Asa Akira ,1985-01-03
Cheyenne McCray ,none
Elle Kennedy ,none
J.D. Tyler ,none
Catherine West ,1966-09-14
Matt Myklusch ,none
Jeremy Laszlo ,none
Moira Young ,none
Jenn Bennett ,none
Jillian Dodd ,none
Rebecca Zanetti ,none
Adrian Phoenix ,none
Thea Stilton,none
Steve Cole,1970-08-17
Yasmine Galenorn ,none
Allison Merritt ,none
Christina Henry ,none
Susan Dennard ,1984-02-25
Ali Harris ,none
