,0
Suzanne Woods Fisher ,none
James Long,none
Donn Fendler,none
Marlene Perez ,none
C.J. Sansom,none
Jayna Vixen ,none
Dannika Dark ,none
Neil Pasricha ,1979-09-17
Tierney O'Malley ,none
Pepper Pace,none
Bill O'Reilly ,none
Gene Luen Yang ,1973-08-09
Susanne Winnacker ,none
Walter Lewin,1936-01-29
Lily Paradis ,none
Joshua Fields Millburn ,none
Keri Arthur ,1967-12-04
Lisa De Jong ,none
Jinsei Kataoka,none
Emma Pearse,none
Sean A. Wright,none
Chase Novak,none
Preeti Shenoy ,1971-12-21
Duane Swierczynski ,1972-02-22
Alisa Mullen ,none
Jeffe Kennedy ,none
Molly Evangeline ,none
Thomas Fuchs,1969-01-27
Julie Morgan ,1944-11-02
Cynan Jones ,none
D.L. McDermott ,none
Arundhathi Subramaniam,none
Rachel DeWoskin,none
Kara Taylor ,1990-03-21
David Duchovny,1960-08-07
Terry Tempest Williams,1955-09-08
Amelia Kahaney,none
Annabella Bloom,none
Catherine McKenzie ,none
Michael McBride ,none
Lemony Snicket ,none
Hope Ramsay ,none
Steve Jackson ,none
Cary Elwes,1962-10-26
Matt Johnson ,none
Maggie L. Wood ,none
Marilyn Phillips ,none
J.D. Horn ,none
Laurann Dohner,none
Tone Almhjell,none
Lori Ostlund ,none
Corinne Michaels ,none
R.W. Ridley ,none
Carole Cummings ,none
Ayize Jama-Everett ,none
Koethi Zan ,none
Deb Caletti ,1963-06-16
Karen Miller,none
Jenny Lundquist ,none
K.A. Tucker ,none
Anthony Ryan ,none
Lisa Gardner ,none
Jenn McKinlay ,none
P.N. Elrod,none
K.L. Armstrong,none
Sharon Creech,1945-07-29
Brandon Stanton,1984-03-01
Peter Nichols,none
Danilo Kiš,1935-02-22
Gene Baur ,1962-07-24
Kathleen Baldwin ,none
Lisi Harrison ,1970-07-29
Andrew Keenan-Bolger,none
Andie Mitchell,none
Brian Cox,none
PewDiePie,1989-10-24
Richard Templar,none
Martine Bailey ,none
Peter Korn,none
Sam Harris,1967-04-09
Karen Perkins ,none
Stacey Danson,none
Jeff Shaara,1952-02-21
Tony DiTerlizzi ,1969-09-06
Amanda Prowse,none
Darcy Woods ,none
Fionnbar Walsh,none
Jodi Meadows ,none
E.K. Johnston ,none
Mark Lawrence ,none
Joshua Khan ,none
Sam Argent,none
Scott Snyder ,none
Gail Carriger ,1976-05-04
Ryan Schow,none
Debra Doxer ,none
Annika Martin ,none
Lisa Shearin ,none
Treasure Hernandez,none
Sonia Golani ,none
Kim Harrison ,none
Loree Lough ,none
Riley Hart ,none
Gordon L. Kane,1937-01-19
Sarah Wilson ,none
Jane Yolen ,1939-02-11
Louise Penny ,none
Marshal Younger,none
Michael Moore,1954-04-23
Mark Levin,1957-09-21
Alexandra Potter ,none
Mark A. Cooper,none
Mary Beard,none
Ally Carter ,1974-01-01
Anne Barton ,1933-05-09
James Newman ,none
Ruth Emmie Lang ,none
Miguel Serrano,1917-09-10
Lily O'Brien,none
Julie Hall ,none
Jodi Ellen Malpas ,none
Andrea Molesini,1954-12-28
Mira T. Lee ,none
Akira Himekawa,none
Brian K. Vaughan ,1976-07-17
Lara Avery,none
Leigh Byrne ,none
Nick Farwell,none
Donna Cummins ,none
Sarina Bowen ,none
Michelle Willingham ,none
Devney Perry ,none
Will McIntosh ,none
Robert J. Crane,none
Marissa Meyer ,1984-02-19
Geoff Johns ,1973-01-25
Jim McDoniel ,none
Leopoldo Marechal,none
Paul Dowswell,none
Cathy Malkasian,none
R.J. Parker,none
Hilary Mantel ,none
Fredrik Backman ,1981-06-02
ToJ. Sumpter,none
John Lanchester,1962-02-25
A.G. Howard ,none
J.R.R. Tolkien,1892-01-03
M.A. Bennett,none
Michael Connelly ,1956-07-21
Jeffrey Archer,1940-04-15
Ryan North ,1980-10-20
Pam Grout,none
Meera Subramanian,none
Arthur Conan Doyle,1859-05-22
Courtney Milan ,none
A.S. King ,1970-03-10
Holly Jacobs ,none
Takatsu ,none
Shalom Auslander,none
Ella Summers ,none
Joe Hill ,none
Baratunde R. Thurston,none
Karen Bao ,none
Sarah Maine ,none
Claudia Gray ,none
L. James Rice ,none
Cathy Gohlke ,none
Patrick Gale,none
Audre Lorde,1934-02-18
Leslye Walton ,none
Georgia Dunn ,none
Scarlett Dawn ,none
Oscar de Muriel,none
Rob White ,none
Alan Gratz,1972-01-27
Grace Callaway ,none
Patricia Harman ,none
François S. Clemmons,none
Shari Lapena ,none
Sara Barnard ,none
Jill Murphy,1949-07-05
Helen Fielding ,1958-02-19
Linwood Barclay ,none
Joshua Whitehead,none
Larry D. Thompson ,1945-11-15
Jessica Brody ,none
Jaroslav Kalfar ,none
Mac Barnett,none
C.S. Pacat ,none
Allayne L. Webster ,none
Sarah Dessen ,1970-06-06
Lee Child ,1954-10-29
Tom Leveen ,none
Laurie Wetzel ,none
Jim Pascoe ,none
Michael Bond,1926-01-13
Robert J. Sawyer ,1960-04-29
