,0
Chloe Neill ,1975-05-17
Dan Smith ,none
Zak Bagans,none
Joan Holub ,none
J.A. Templeton ,none
Marieke Hardy,1976-05-26
Laura DiSilverio ,none
Andre Dubus III,1959-09-11
Amy Hatvany ,none
Sonya Sones ,none
Rachel Firasek ,none
Goldie Browning ,none
Harley A. Rotbart,none
Olivia Cunning ,none
L.A. Meyer,none
Stephanie Diaz ,none
Allie Burke ,none
Robert Goolrick,1948-08-04
Christina Courtenay ,none
Sara Shepard ,1977-04-08
Paolo Bacigalupi ,1972-08-06
Nora Roberts ,1950-10-10
H.P. Mallory ,none
Molly Cochran,none
Umberto Eco,1932-01-05
Suzan Tisdale ,none
V.J. Dunraven ,none
Jackie Gamber ,none
Gabrielle Reyes ,none
Regina Puckett ,none
Aaron B. Powell,none
Mark Tufo ,none
John Shors ,none
Chris Kyle,1974-04-08
W. Paul Anderson,none
Allen Zadoff ,none
Brian O'Reilly,none
S.E. Jakes ,none
Casey Watson,none
Darren Shan ,1972-07-02
Jude Deveraux,1947-09-20
Edgar Allan Poe,1809-01-19
Page Morgan ,none
Andrew Hussie ,1979-08-25
Michael Connelly ,1956-07-21
Peter Biskind,none
R.A. Salvatore,1959-01-20
Bianca Turetsky ,none
Danielle DeVor ,none
Kresley Cole ,none
S.D. Stuart,none
Sally Ember ,none
Mandy Hale ,none
Magda Alexander ,none
Robert Dinsdale ,none
Lincoln Peirce,1963-10-23
Misty Copeland,1982-09-10
C.J. Box,1958-11-09
Rae Earl,1971-12-13
Osho,1931-12-11
John O'Brien ,none
Paul S. Kemp ,none
Clarissa Wild ,none
Smith Henderson,none
Lisa McMann ,none
Anne Cassidy,none
Jessica Spotswood ,none
Kimberley Griffiths Little ,none
Vanessa Waltz ,none
Elle Kennedy ,none
J.D. Tyler ,none
Kathy T. Kale ,none
Leah Rose ,none
Karina Cooper ,none
Sandy Williams ,none
Steve Cole,1970-08-17
Yasmine Galenorn ,none
Heather Long ,none
Christina Henry ,none
Lora Leigh,1965-03-06
Anne C. Voorhoeve,none
Susan Dennard ,1984-02-25
Alex Archer ,1908-05-01
Donna Freitas ,none
Alyson Noel ,1965-12-03
Dalton Fury,none
Christa Faust,none
Meghan Quinn ,none
Randi Reisfeld ,none
Jayna Vixen ,none
Laura Ingalls Wilder,1867-02-07
Laura Wiess,none
Steven Manchester ,none
Candace Fleming ,none
Tamara Cohn Eskenazi,none
Oak Anderson ,none
Cynthia Eden ,none
Petra Durst-Benning,none
Karsten Knight ,none
Kendall McKenna ,none
Ted Dekker ,1962-10-24
Julie Morgan ,1944-11-02
Aisha Saeed ,none
Eve Newton ,2008-05-31
Mia McKenzie,none
SHRIYA GARG,none
Christina Dodd ,none
Takako Shimura,1973-10-23
Jess Haines ,none
Hope Ramsay ,none
Burl Barer ,none
Jason Matthews,none
Lilly Gayle ,none
Laurann Dohner,none
K.L. Armstrong,none
Sawyer Bennett ,none
Carole Cummings ,none
Bessel A. van der Kolk,none
Sky Shifter ,none
Katie Cotugno ,none
Apryl Baker ,none
Sarah Hilary ,none
Alyxandra Harvey ,none
Marie Lu ,1984-07-11
Phoebe Stone,none
Eric Jerome Dickey,1961-07-07
Livia Blackburne ,none
Victoria Abbott,none
Harpie,none
Jessi Gage ,none
Violet's Vegan Comics,none
David Brooks,none
Sarah Prineas ,none
Ijeoma Umebinyuo ,none
Lisi Harrison ,1970-07-29
Danielle Steel,1947-08-14
John Larkin ,none
Claire Kendal ,none
Jane Gardam,none
Samantha Hayes ,1984-04-25
Rachel Renée Russell ,1959-04-13
Carey Corp ,none
Barbara L. Fredrickson,none
Ben Lindbergh ,none
Jim Zub ,none
Jeff Shaara,1952-02-21
Vera Nazarian ,none
Devon C. Ford ,none
Anthony Horowitz ,1955-04-05
Janet Morana,none
Karen Amanda Hooper ,none
Brandon Sanderson ,1975-12-19
Ben H. Winters ,none
Tessa Dare ,none
Patrick Holland ,none
Kiera Cass ,1981-05-19
Samantha Shannon ,1991-11-08
Yelena Black,none
Justin Cronin ,none
Gavin Hesketh,none
Neal Stephenson ,1959-10-31
Miranda Dickinson,none
Brian Michael Bendis ,1967-08-18
Pittacus Lore,none
Jon Skovron ,none
J.S. Scott ,none
Erin Beaty ,none
Sherri L. Smith ,none
C.S. Johnson ,none
Julia London ,1959-03-18
Jeff VanderMeer ,1968-07-07
Logan Chance ,none
Claudie Arseneault ,none
Guy Kawasaki ,1954-08-30
Julie Hall ,none
Scott Cawthon,1978-06-04
Sarah Bakewell,none
Anita Valle ,none
Wayne Clark ,none
David Demchuk ,none
Geoff Johns ,1973-01-25
Gustav Meyrink,1868-01-19
Gene Luen Yang ,1973-08-09
Jill Shalvis ,none
John L. Parker Jr.,none
Christopher Hastings ,none
Peter F. Hamilton ,none
Elizabeth Knox ,1959-02-15
Kerry Drewery ,none
Colten Steele ,none
Ella Summers ,none
Rachel Kadish ,none
Nikesh Shukla ,1980-07-08
Karen Bao ,none
John Waters,1946-04-22
William Kent Krueger ,1950-11-16
Christina Lauren ,none
Seanan McGuire ,1978-01-05
Daniel Cole,none
Peter Newman ,none
Rio Youers ,none
Oscar de Muriel,none
Christopher Lentz ,none
Keith Lowe,1985-09-13
Micol Ostow ,1976-04-29
Lynn Casteel Harper,none
Nicki Pau Preto ,none
Jill Murphy,1949-07-05
S.D. Smith ,none
Jack Cheng ,none
Ruth Silver ,none
Dorian Lynskey,none
Katherine Arden ,none
George Monbiot,1963-01-27
Gary Green ,none
Jerry Spinelli,1941-02-01
Shashi Tharoor,1956-03-09
Ashley Spires ,none
Josephine Angelini ,none
Danielle Lori ,none
Saladin Ahmed ,1975-10-04
Nova Weetman,none
Suzanne Redfearn ,none
Adi Alsaid ,1987-06-30
Kathryn Springer ,none
Elizabeth Gilbert ,1969-07-18
GabRivera,none
Georg Trakl,1887-02-03
Craig Davidson,none
Rivers Solomon ,none
Tilar J. Mazzeo,none
Rachel Lynn Solomon ,none
Aiden Thomas ,none
Fredrik Backman ,1981-06-02
Annie Dillard,1945-04-30
Sarah M. Eden ,none
Jerry Castaldo,none
Eva Gabrielsson,1953-11-17
Tara Kelly ,1985-06-21
Joseph Beekman ,none
Barbara Tiller Cole,none
Paul Hendrickson,1944-04-29
Jamie Freveletti ,none
Tracy Deebs ,none
