,0
Trudy Mitic,none
J.C. Eggleton,none
C.L. Parker ,none
Melissa de la Cruz ,1971-09-07
Candice Millard,none
Nicole Edwards ,1986-06-30
Gretchen McNeil ,2020-02-14
Prudence Shen ,none
Mike Ashcraft,none
Heather Terrell ,1968-11-24
Marisa Oldham ,none
Jillian Kent ,none
Brae Wyckoff ,none
Lauren Oliver ,1982-11-08
Gordon Korman,1963-10-23
James Patterson ,1947-03-22
Danielle-Claude Ngontang Mba ,none
Valorie Burton ,none
Mary Carter ,1934-11-29
Hiroshi Takashige,none
Emma Forrest,1976-12-26
Richard Paul Evans,1962-10-11
Domenico Italo Composto-Hart ,none
Brigid Kemmerer ,1978-01-11
Carol Lynch Williams,none
K.A. Robinson ,none
H.J. Bellus ,none
Tom Diaz,none
Fawzia Koofi ,none
Neil Gaiman ,1960-11-10
Kristy McCaffrey ,none
Nansi Kunze ,none
Zara Cox ,none
Garrett Leigh ,none
Benjamin Epstein,none
P.C. Cast ,1960-04-30
Crystal McVea ,none
Elizabeth Finn ,1825-03-14
Lietha Wards,none
Barbara S. Stewart ,none
Erin Bowman ,1990-08-11
W. Michael Gear,1955-05-20
Erin McCahan ,none
M.D. Lachlan ,1964-07-14
Joe Jackson,none
Mary Roach ,1959-03-20
Margaret Foxe ,none
Anders Nilsen,none
Cara McKenna ,none
Chanda Hahn ,none
Rick Riordan ,1964-06-05
Lisa Voisin ,none
Laura Lascarso ,none
E.M. Leya ,none
Kristin Levine ,none
Jenny Lundquist ,none
Beverly Lewis,none
C.J. Fella ,none
Joe Schreiber,none
Sam Crescent ,none
Huntley Fitzpatrick ,none
Mercedes Keyes ,none
Natalie Lloyd,none
Charles Dickens,1812-02-07
Cara Dee ,none
Aaron M. Patterson ,none
Karen Healey ,none
Mary Behre ,none
C.E. Thornton ,none
Stephen Crane,1871-11-01
Kelly Oram ,none
Roxie Rivera ,none
Corey Ann Haydu ,none
Valerie Mendes,none
Emma Donoghue ,1969-10-24
Maya Van Wagenen,none
Ikumi Katagiri ,none
Richard Botelho ,none
Debbi Mack ,none
Ker Dukey ,none
Hugh Howey ,1975-06-23
Susan May Warren ,none
Ben Monopoli ,none
Jennifer Cockrall-King,none
Siobhan Davis ,none
Emerald Fennell,1985-10-01
Cecilia Galante,none
Laurence Gonzales ,none
J.L. Weil ,none
Luz Calvo,none
Sudeep Nagarkar ,1988-02-26
R.L. Stine ,1943-10-08
Ryan Gattis ,none
Danielle L. Jensen ,none
Julie Anne Long ,none
Daniel Way ,1974-12-27
Jake Halpern,none
Jeremy Scott ,1975-08-08
A.H. Holt,none
Sigmund Freud,1856-05-06
Sadie Jones,none
Christopher G. Nuttall ,none
Charlie N. Holmberg ,1988-04-04
Ilona Andrews ,none
Kristen Middleton ,none
Henry H. Neff ,none
Riley Redgate ,none
Elizabeth Elgin,none
Robert Morgan,none
Ian Sample,none
Garth Nix ,1963-07-19
Stephanie Morrill ,none
Monica Murphy ,none
Philippa Gregory ,1954-01-09
Mark Greaney ,1980-06-23
Omar Shahid Hamid,none
Eimear McBride,none
Felicity Brandon ,none
Jillian Stone ,none
Sharon Cameron ,none
Jenna Bush Hager ,1981-11-25
Rosa Montero,none
Sonya Dickerson ,none
Sarah Prager ,none
L.H. Cosway ,none
Alexander Gordon Smith ,1979-02-27
Pat Schmatz ,none
Paulette Jiles ,none
Kara Thomas,1990-03-21
Philippa Rice ,none
Lauren DeStefano ,1984-10-13
Camille Pagán ,none
Kate Mascarenhas,none
Kate Riordan ,none
Louise Pentland,1985-04-28
Kelly Rimmer ,none
Erin Hunter,none
James Wilde,none
Chelsea Bieker ,none
Fiona Alison Duncan ,none
Jennifer Brown,none
Scott Reintgen ,none
L.J. Shen ,none
Victoria Danann ,none
Linwood Barclay ,none
Jason Anspach ,none
C.J. Omololu ,none
J.A. White ,none
Megan Goldin ,none
Lian Tanner ,1951-03-17
Kiese Laymon ,none
Stylo Fantome ,none
John Corwin ,1818-10-26
Jennifer Donnelly ,1963-08-16
Hena Khan ,none
Jasmine Guillory ,none
Jasmine Warga ,none
Kate O'Hearn,none
Linda Francis Lee ,none
Elle Jasper ,none
Sandra Beasley ,1980-05-05
S. Evan Townsend ,none
Brian Francis ,none
Kami Garcia ,1972-03-25
Ellen Willis,1941-12-14
Mary Connealy ,none
Dirk Hayhurst,1981-03-24
Neil D. Ostroff ,none
Veronica Wolff ,none
Meredith Allard ,none
Sharon Creech,1945-07-29
Katie MacAlister ,none
Marina Anderson,none
Kristan Higgins ,none
Robin Brande ,none
Dick Van Dyke,1925-12-13
Jasinda Wilder ,none
Karen Rose ,none
Lacey Weatherford ,none
Osamu Dazai,1909-06-19
Nicole Sager ,none
Kate Johnson ,none
Jennifer Castle ,none
Pip Ballantine,1971-08-08
Helen Drayton ,none
Robin Benway ,none
Danielle Trussoni ,none
Rebecca Elise ,none
Trip Lee,1987-12-17
Noah Hawley ,none
Michelle Rowen ,none
Krista Ritchie ,none
Georges Simenon,1903-02-13
Tim Lebbon ,1969-07-28
Larissa Ione ,none
Jamie Farrell ,none
Erynn Mangum,none
Diane Alberts ,none
Jean Anthelme Brillat-Savarin,none
Trisha Ashley,none
A.J. Rose ,1997-10-14
Vicki Green ,1953-07-16
Anna Banks ,none
M. Kircher ,none
Joyce DiPastena ,none
Lisa Shearin ,none
M.K. Schiller ,none
Gavin Edwards,none
M.R. James,1862-08-01
Anne Greenwood Brown ,none
Tamara Shoemaker ,none
J.M. Darhower ,none
Mickey Edwards,1937-07-12
Regina Duke,none
Rebecca Zanetti ,none
Deborah Bladon ,none
David Gaider,none
C.W. Lovatt ,none
Jaci Burton ,none
Lily White ,none
Sarah Beth Durst ,1974-05-23
Keith Hale,1950-11-06
Kay Hooper,none
Alessandra Torre ,none
Sophie Kinsella ,1970-12-12
Angie Sage,1952-06-20
Hayley Campbell,none
Steven Saylor,1956-03-23
Arthur Conan Doyle,1859-05-22
Liane Moriarty ,1966-11-15
Dani Shapiro ,1962-04-10
Anna Martin ,none
Cal Armistead ,none
James Riley ,none
Joseph Delaney ,1945-07-25
Maeve Binchy,1939-05-28
Susan Gregg Gilmore ,none
Rob Buyea,1983-11-06
Laura L. Sullivan ,none
James A. Moore ,1965-09-03
Kelley Armstrong ,1968-12-14
Ellery A. Kane ,none
S.J.D. Peterson ,none
Tash McAdam ,none
Joyce Mitchell ,none
Ron Franscell ,none
Nick Offerman,1970-06-26
John Stephens,none
Shanora Williams ,none
William Ritter ,none
Suzanne Wright ,none
Chris Pavone ,none
Markus Zusak ,1975-06-23
Moïra Fowley-Doyle,none
Simon Sebag Montefiore ,1965-06-27
A.N. Willis ,none
Tim Willocks,1957-10-27
Jack Wallen ,none
Elvis Newman,none
Patricia C. Wrede ,1953-03-27
Barbara Longley ,none
Wil S. Hylton,none
Stephanie Kegan ,none
Sibéal Pounder,none
Shane Dawson,1988-07-19
Garth S. Jowett ,none
Keri Smith ,none
Cal Newport,1982-06-23
Duane Swierczynski ,1972-02-22
Brandt Legg ,none
Brian Clegg ,none
Cinda Williams Chima ,none
Deborah Harkness ,none
Laura Lane McNeal ,none
Megan Derr ,none
Alan Bradley ,none
Bill Konigsberg ,1970-11-11
Colleen Oakes ,none
Jean McNeil,none
Chris Colfer,1990-05-27
Erin Entrada Kelly ,none
Jon Butterworth ,none
Ivy Rose,none
Liz Moore,1944-09-15
Nicole Williams ,none
Timothy Zahn ,1951-09-01
Stephanie Elliot ,none
Harlan Coben ,none
Sarah Knight ,1666-04-19
Jordan Castillo Price ,none
Deanna Raybourn ,1968-06-17
Jonathan Janz ,none
Jen L. Grey ,none
Jordan Bone,1997-11-05
Mitchell Zuckoff ,none
Nancy Herkness ,none
Katherine Hayton,none
Manju Kapur,none
Anne Blankman ,none
Lee Wolfe Blum ,none
Phil Hunt,1884-01-10
Mary-Louise Parker,1964-08-02
Mary E. Pearson ,1955-08-14
Allen Eskens ,none
Megan Miranda ,none
Jillian Tamaki,1980-04-17
Kanae Minato,none
Rene Denfeld ,none
Jennifer Estep ,none
Karan Mahajan ,1984-04-24
Kel Kade ,none
Lynette Noni ,none
Akala,none
Chelsea Handler,1975-02-25
Michelle de Kretser,none
Michael Muhammad Knight,none
Bill Hayes ,none
John Hart ,none
Stacey Marie Brown ,none
Zack Loran Clark,none
James S.A. Corey ,none
Kimberly Belle ,1968-02-20
R.J. Parker ,none
Molly Harper ,none
P.W. Catanese ,none
Barbara Brauner ,none
Amy Alward ,none
Sam Humphries,1977-03-16
Jackie French,1953-11-29
Kate McLaughlin ,none
David Baldacci ,1960-08-05
Alice Oseman ,1994-10-16
Natasha Anders ,none
Heather Tregaskes ,none
Doris Janzen Longacre,none
Lynette Eason ,none
Beth Wiseman ,none
Justin Somper,none
Samantha Towle ,none
Carmen DeSousa ,none
J.T. Ellison ,none
Alex Flinn ,1966-10-23
Ashley Antoinette ,none
Daniel Abraham,none
Marcia Gruver ,none
Vivian Arend ,none
Katie Price,1978-05-22
Gillian Shields,none
Gail Carriger ,1976-05-04
Jane Lovering,none
Yashodhara Lal ,none
Vincent Zandri ,none
Emily Brightwell,1948-11-10
Katie McGarry ,none
Diana López,none
Michael Logan ,none
Dan Krokos ,none
Nick Vujicic,1982-12-04
Krista McGee ,none
Jourdyn Kelly ,none
Sara Zarr,1970-10-03
J.R. Wagner ,none
William Cook ,none
Abdul Malik Mujahid,none
Angel Gelique ,none
Laurie Halse Anderson ,1961-10-23
Jessica Lemmon ,none
Robert Southworth ,none
Bridget Heos ,none
Neal Shusterman ,1962-11-12
D.H. Sidebottom ,none
R.L. Naquin ,none
Stuart Ayris ,none
Alicia Rae ,none
Fletcher McHale ,none
Julia Mills ,none
Bailey Cates,none
Jeff Hart ,none
Steve Bein,none
Cassia Leo ,none
David Levithan ,1972-09-07
Dev Bentham ,none
Chico Kidd ,none
Anonymous ,none
Adina Senft ,none
Leilani Bennett,none
L. Wilder ,none
Yasmin Mogahed,1980-03-11
Douglas Hamp,none
Duke Taber,none
Czesław Miłosz,1911-06-30
Marie Hall ,1884-04-08
Cameron Jace ,none
Chloe Jacobs ,none
Lynn Kelling ,none
Noam Chomsky,1928-12-07
F.M. Sherrill ,none
T.B. Solangel ,none
Bethany-Kris ,none
Robin Waterfield,none
Tsugumi Ohba,none
Ross E. Lockhart ,none
Ellen Marie Wiseman ,none
Jamie McGuire ,1983-11-13
Marilyn Cruise ,none
Pearl S. Buck,1892-06-26
Dan Gutman,1955-10-19
Brandon Williams ,none
Philip K. Dick,1928-12-16
Keith Boykin ,none
Paul A. Bussard ,none
Terri Anne Browning,none
Jonathan Bernstein ,none
Sarah Brianne ,none
Shannon Hale ,1974-01-26
Laura Wettersten ,none
M.K. Eidem ,none
John Barylick,none
Dorothy Koomson ,none
Marilynne Robinson,1943-11-26
Shane Burcaw ,none
R.S. Belcher ,none
Greg Willits ,none
Isuna Hasekura,1982-12-27
Charlotte Rogan ,none
Rachel E. Carter ,none
Laura Bates ,1986-08-27
Danielle Paige ,none
Jonathan Strahan ,none
Pamela Ann ,none
Rafi Mittlefehldt ,none
C.E. Murphy ,1973-06-01
Michael Hall,none
Betsy Schow ,none
Kevin D. Mitnick,1963-08-06
Inio Asano,1980-09-22
Lucy-Anne Holmes,none
Dave Eggers,1970-03-12
Anne Elisabeth Stengl ,none
Hester Young ,none
P. Dangelico ,none
Lori Brighton,none
Peter James,none
Anna Lee Huber ,none
Laura Thalassa ,none
Rowan Coleman ,none
Jana Oliver ,none
Victoria Fox,none
Gabrielle S. Prendergast ,none
Richard Roberts ,none
Jessica Hawkins ,1995-02-16
Michael Greger ,1972-10-25
Kiersten White ,none
Mahasweta Devi,1926-01-14
Trent Reedy ,none
Annette Marie ,none
David M. Glantz,1942-01-11
Cynthia Hand ,none
J.H. Williams III ,none
Augusten Burroughs ,1965-10-23
Jenn Marie Thorne ,none
Eliza Granville,none
David Jackson ,none
Dinesh D'Souza ,1961-04-25
Kathryn Hughes,1959-01-01
A.L. Jackson ,none
Elise Kova ,none
Noé Álvarez ,none
Scott Meyer ,none
Tracey Garvis Graves ,none
Maika Moulite ,none
William Finnegan,none
Neil Patrick Harris,1973-06-15
Morgan Rhodes ,none
Alex Hughes ,none
LibScott,none
Kate DiCamillo ,1964-03-25
Janella Angeles ,none
Craig Alanson ,none
Allison Rush,none
E.K. Weaver ,none
Charlie Lovett ,none
Rene Gutteridge ,none
Lizzy Ford ,none
T.R.G. ,none
Lisa Grace ,none
M.J. Hearle ,none
Poppet,none
Bernadette Marie ,none
Laura Frantz ,none
R.K. Ryals ,none
Janie Hampton,1952-03-14
Megan McDonald,none
Ngaire Elder,none
Natasa Dragnic ,none
Lindsey Kelk ,1980-10-03
Laura Moriarty ,none
Arnold Schwarzenegger,1947-07-30
Emily Evans ,none
Shannon Stacey ,none
Jonathan Cahn,none
Joseph Finder ,1958-10-06
Jim C. Hines ,1974-04-15
Charlaine Harris ,1951-11-25
James Herbert,1943-04-08
Stephen B. Oates,1936-01-05
Sylvie Simmons,none
Sean Olin,none
Emma Grayson ,none
Cathy Glass,none
H.M. Ward ,none
Jus Accardo ,none
A.W. Exley ,none
Lisa Jewell ,1968-07-19
Lois Metzger ,none
Corban Addison ,none
C.L. Stone ,none
Meljean Brook,none
Adi ,none
Hiroshi Shiibashi,1980-06-06
Jennifer Probst ,none
Andrew Grey ,none
Ashley Suzanne ,none
Jenna Black ,none
Tracey Thorn,1962-09-26
Karina Halle ,none
Sammie J. ,none
Christine Wenrick ,none
Sarah Ockler ,none
Katie Reus ,none
Brenna Yovanoff ,none
Karen Hesse,1952-08-29
Sienna Mynx,none
Shantel Tessier ,none
David Cristofano,none
Sarah Dalton ,none
Tad Williams ,1957-03-14
Laura Bailey ,none
Allyson James ,none
A.M. Homes,1961-12-18
Seth Godin,none
Jenn Bennett ,none
Jackie Chanel ,none
Tijan ,none
Jerrica Knight-Catania ,none
Brittany Candau,none
James Dashner ,1972-11-26
Tara Oakes ,none
Anna Jarzab ,none
Michelle Cooper ,1986-06-08
Chris Kuzneski ,1969-09-02
Joel L.A. Peterson ,none
Paige McKenzie ,none
Brenda Vicars ,none
Caitlin Rother ,1962-12-06
Margaret Atwood ,1939-11-18
Aric Davis ,none
Katie Ashley ,none
Rayne Hall,none
Emily Nagoski ,none
Elyne Mitchell,1913-12-30
Jenika Snow ,none
Lindsey Leavitt ,none
Stuart Gibbs ,1969-06-11
Corrien Killmer ,none
Zyrobotics ,none
Alexis Pauline Gumbs ,none
Abigail Tarttelin ,1987-10-13
Hampton Sides,none
Lucy Ellmann,1956-10-18
Isabelle Broom ,none
Steven H. Strogatz ,1959-08-13
Adam Baker,none
F.T. Lukens ,none
Mary Doria Russell ,1950-08-19
Laurence O'Bryan ,none
Robin Jones Gunn ,none
J.L. Beck ,none
Aleta L. Williams ,none
C.C. Hunter ,none
Chris Duffy ,none
Taya Kyle,1974-09-04
Stacey Jay ,none
Steven Weinberg,1932-05-03
Eric Lindstrom ,none
Brooke Blaine,none
Louise Penny ,none
Laurell K. Hamilton ,1963-02-19
Susan Lewis,none
Virginia Bergin ,none
Lauren Graham,1967-03-16
Michael Grant ,none
Patricia Perry Donovan ,none
Kim Slater,none
Marc Levy ,1961-10-16
Elissa Schappell ,none
Kazu Kibuishi ,1978-04-08
Caroline Carlson ,none
Viktor Arnar Ingólfsson ,none
Richard Panek,none
Matthew Reilly,1974-07-02
Gary L. Thomas ,none
Kate Eberlen,none
Krystal Sutherland ,none
Jorge Cham,none
Bella Forrest ,none
Inbali Iserles ,none
Alex Marwood,none
Kate Morton ,none
Emma Cline,none
Nicole Chung ,1981-05-05
S. Jae-Jones ,none
Amanda Dykes ,none
Wendy Walker ,none
David K. Haaland,none
Daisy Meadows,none
Juman Malouf,none
Romina Garber ,none
Jonathan Green ,none
Gabrielle Harbowy ,none
Isabel Losada ,none
Eric Greitens,1974-04-10
Charlotte Blackwell ,none
Michelle Zink ,none
Tony Reinke ,none
Anna David ,none
Chris Brunner,none
Sophie Littlefield ,none
Denise Hamilton ,none
Meghan Carter,none
Mark Rippetoe,1956-02-12
Tina St. John ,none
Laura J. Williams ,none
Faith Sullivan ,none
Gloria Clover ,none
Amy Rachiele ,none
Edward M. Wolfe ,none
Jessa Russo ,none
K.E. Saxon,none
Holly Cupala ,none
Bryce G. Hoffman,none
G.B. Edwards,none
Rebecca Hunt,none
Emily Giffin ,1972-03-20
G.J. Walker-Smith,none
B. Justin Shier ,none
Ronald Malfi ,1977-04-27
L.M. Augustine ,none
Chris C. Mooney ,none
Sharon Lee,none
Sarah Rees Brennan ,none
Maureen Child ,1951-09-28
Robyn Bavati ,none
Sibylla Matilde ,none
Jay Crownover ,none
Gregg Rosenblum ,none
James Rollins ,1961-08-20
Nadia Lee ,none
J.A. Schneider ,none
Amber Lough,none
N.K. Jemisin ,1972-09-19
Lisa Papademetriou ,1971-08-25
Tracey Martin ,1964-07-01
Samantha Young ,none
Lisa Bevere ,none
Patricia Davids ,none
Tabatha Vargo ,none
Jane Lotter,none
C.M. Owens ,none
Ginger Scott ,none
Plato,none
Joy N. Hensley ,none
Sarah Strohmeyer ,none
Joanna Wylde ,none
Benjamin Hale ,none
Tim Weaver ,1975-04-30
Cameron Bane,none
Julia Erickson,none
Adam Lance Garcia ,none
Robert Jackson Bennett ,none
Ray Kurzweil,1948-02-12
Kira Adams ,none
Alexandra Fuller,none
Elle Cosimano ,none
Todd Storch,none
Leila Howland ,none
Kelly Sue DeConnick ,1970-07-15
Brian J. Robb ,none
Jonas Karlsson,1971-03-11
Karen M. Gocsik,none
V.K. Sykes,none
David Thomas Roberts ,none
Aditi Khorana ,none
C.E. Starkweather,none
Jennifer L. Holm ,1968-06-16
Amanda Bouchet ,none
Miranda Kenneally ,none
Natalie D. Richards ,none
Ramachandra Guha,1958-04-29
Kimberly Rae Miller ,none
Lou Anders ,none
Kristi Ann Hunter ,none
Sherry Leclerc ,none
Terry Goodkind,1948-01-11
Leigh Byrne ,none
Joseph Lewis ,none
Vi Keeland ,none
Peter J. Tomasi,1967-08-18
Nalini Singh ,1945-09-01
Nicole Kornher-Stace ,none
Chriselda Barretto ,none
Alexander McCall Smith ,1948-08-24
Dan Gemeinhart ,none
Kristen Callihan ,none
Shana Abe ,none
Sarah Winman,1964-12-24
Melissa Landers ,1973-06-13
Martha Wells ,1964-09-01
Autumn Jones Lake ,none
Ann Coulter,1961-12-08
Louise Candlish ,none
Tola Rotimi Abraham,none
Elvia Wilk ,none
Roger Hobbs,1988-06-10
Marissa Burt ,none
Cambria Brockman ,none
Herman Parish,none
Martin Shannon,none
Meghan March ,none
Karen Dionne ,none
Supriya Kelkar ,none
Tara Sivec ,none
Tamora Pierce ,1954-12-13
Kathi S. Barton ,none
Andrew E. Kaufman ,none
Brenda Novak ,none
Julie Garwood ,none
Caroline Carpenter,none
Lauren Barnholdt ,none
Stacey Kade ,none
Cole Stryker,none
K. Rowe ,none
Jill Myles ,none
NaRae Lee ,none
Aline Hunter ,none
Janet Holt,none
Linda Thomas-Sundstrom ,none
Maya Banks ,none
Mayra Lazara Dole ,none
Nancy Klann-Moren ,none
Margaret Stohl ,none
Anne Mateer ,none
S.R. Johannes ,none
Beverly Cleary,1916-04-12
Margo Lanagan ,none
L.J. Smith ,1980-05-13
Toni Aleo ,none
Stuart S. Laing ,none
Susan Bischoff ,none
Lee Child ,1954-10-29
M.R. Merrick ,none
Leslie D. Stuart ,none
Lauren Kate ,1981-03-21
Rachel Brookes ,none
ابن كثير,none
Jan Krause Greene ,none
Susan Mallery ,none
GaRodriguez,none
Ann Aguirre ,none
Cordelia Fine,none
Amnon Jackont ,none
T.J. Klune ,none
Tom Angleberger ,none
Robert Kirkman,1978-11-30
Caryl Rivers,none
Justin Halpern,1980-09-03
Rob Thurman ,none
J.A. Redmerski ,none
Chris Fabry ,none
M.S. Parker ,none
Hilary Boyd,1949-06-23
Kate Lloyd ,none
Ilsa J. Bick ,none
Brian James ,none
Maureen Johnson ,1973-02-16
Elliott James ,none
Kristin Elizabeth Clark,none
R.K. Lilley ,none
Alice Clayton ,none
Melanie Hansen ,none
Chantal Fernando ,none
Vicki L. Weavil ,none
Linda Williams,none
Ann Tatlock,none
Kathy Reichs ,none
L.M. Trio ,none
Serena Chase ,none
Deborah Meyler ,none
Sheila Turnage,none
Hannah Johnson ,none
Jim Bernheimer ,none
Kevin Barry,1902-01-20
David Berlinski,none
H.L. Burke ,none
Melissa Foster ,none
Jillian Cantor ,none
Terry Brooks ,1944-01-08
T.T. Kove ,none
Amy Plum ,none
Anna Zaires ,none
Paul Auster,1947-02-03
Megan Stine,none
Mari Mancusi ,none
Swami Satchidananda,1914-12-22
Tasha Alexander ,1969-12-01
Liz Johnson ,none
Lisa Gardner ,none
Jodi Ellen Malpas ,none
Bree Despain ,none
Hajime Isayama,1986-08-29
Audrey Coulthurst ,none
Nick Cutter ,none
Marianne Knightly ,none
Jason Schmidt,1973-01-29
C.J. Tudor ,none
M. Malone ,none
Anne Rice,1941-10-04
C.J. Skuse,none
Hannah Rothschild,none
Arwen Elys Dayton ,none
Eiichiro Oda,1975-01-01
Mike Omer ,none
Vikram Paralkar ,none
Lucy Ives,none
Andy Lane,none
William A. Prater ,none
Brendan Wenzel,none
Hannah E. Harrison,none
Erin Hahn ,none
Orhan Pamuk,1952-06-07
James Islington ,none
Mur Lafferty ,1973-07-25
Paul S. Newman,1924-04-29
Alyssa Rose Ivy ,none
Alanea Alder ,none
Kody Keplinger ,1991-08-08
