index,0
Brandon Sanderson ,1975-12-19
Gayle Forman ,1970-06-05
Anna Sewell,1820-03-30
James Joyce,none
Jonathan Swift,1667-11-30
Ann Patchett,1963-12-02
Bret Easton Ellis,1964-03-07
Robert Munsch,1945-06-11
Jane Austen,1775-12-16
Charles Frazier,1950-11-04
Unknown,none
Natalie Babbitt,1932-07-18
Kami Garcia ,1972-03-25
Hermann Hesse,1877-07-02
J.R. Ward ,none
Beatrice Sparks ,1917-01-15
Robert Jordan,1948-10-17
William Faulkner,1897-09-25
John Knowles,1926-09-16
Art Spiegelman,1948-02-15
Michael Chabon,1963-05-24
Dave Pelzer ,1960-12-29
Jerry Spinelli,1941-02-01
Lao Tzu,none
Salman Rushdie,1947-06-19
Michael Ondaatje,1943-09-12
David Mitchell,none
Robert M. Pirsig,1928-09-06
Andy Weir ,1972-06-16
John Grisham ,1955-02-08
Willa Cather,1873-12-07
Tahereh Mafi,1988-11-09
Boris Pasternak,none
Victor Hugo,1802-02-26
Laura Esquivel,1950-09-30
Emma Donoghue ,1969-10-24
Leigh Bardugo ,1975-04-06
Charles Darwin,1809-02-12
Rohinton Mistry,none
Laini Taylor ,1971-12-11
Alyson Noel ,1965-12-03
John Berendt,1939-12-05
Tennessee Williams,1911-03-26
David Foster Wallace,1962-02-21
Niccolò Machiavelli,none
Johann Wolfgang von Goethe,1749-08-28
Lisa See ,1955-02-18
Stephanie Perkins ,none
James Patterson ,1947-03-22
Ally Condie ,1978-11-02
V.C. Andrews,1923-06-06
Annie Proulx,1935-08-22
Laura Hillenbrand,1967-05-15
Emmuska Orczy,1865-09-23
Chaim Potok,1929-02-17
Nick Hornby,1957-04-17
Anthony Doerr ,1973-10-27
Eoin Colfer,1965-05-14
Astrid Lindgren,1907-11-14
Bernhard Schlink,1944-07-06
Gregory David Roberts,1952
Erik Larson ,none
Francine Rivers ,none
Edith Wharton,1862-01-24
Dan Brown ,1964-06-22
William Gibson,1948-03-17
Rebecca Wells ,none
T.S. Eliot,1888-09-26
Maya Angelou,1928-04-04
Upton Sinclair,1878-09-20
David Guterson,1956-05-04
Robert Graves,1895-07-24
David Sedaris,1956-12-26
E.M. Forster,1879-01-01
Plato,none
William Peter Blatty,1928-01-07
R.D. Ronald,none
Rick Yancey,1962-11-04
Julie Kagawa ,1982-10-12
Kyle Keyes,none
Benjamin Alire Sáenz ,1954-08-16
Anonymous,none
William Makepeace Thackeray,1811-07-18
Terry Goodkind,1948-01-11
Elizabeth Gaskell,1810-09-29
Evelyn Waugh,1903-10-28
Richard Dawkins ,1941-03-26
W. Somerset Maugham,1874-01-25
Neal Stephenson ,1959-10-31
Max Brooks ,1972-05-22
Libba Bray ,1964-03-11
Sylvia Day ,1973-03-11
H.G. Wells,1866-09-21
Kelley Armstrong ,1968-12-14
Alan Paton,1903-01-11
Dalton Trumbo,1905-12-09
Joanne Harris ,1964-07-03
Jeaniene Frost ,1974-06-13
Greg Mortenson ,none
Simone Elkeles ,1970-04-24
Victoria Aveyard ,1990-07-27
Wilkie Collins,1824-01-08
Sarah Dessen ,1970-06-06
Arthur C. Clarke,1917-12-16
Deborah Harkness ,none
Neal Shusterman ,1962-11-12
Irvine Welsh,1958-09-27
P.D. Eastman,1909-11-25
Marcel Proust,1871-07-10
Tatiana de Rosnay ,1961-09-28
Chris Van Allsburg,1949-06-18
Sherrilyn Kenyon ,1965-12-11
D.H. Lawrence,1885-09-11
Daniel Quinn,1935-10-11
Michelle Hodkin ,none
Jennifer Niven ,none
Thomas Hardy,1840-06-02
Pittacus Lore,none
Susan Ee ,none
Paullina Simons,none
Max Lucado ,1955-01-11
Garth Nix ,1963-07-19
Abraham Verghese ,1955-05-30
Martin Heidegger,none
Shannon Hale ,1974-01-26
Dodie Smith,1896-05-03
Randy Pausch,1960-10-23
Alexandra Bracken ,none
Michael Cunningham ,1952-11-06
Melissa Marr ,1972-07-25
Cecelia Ahern,1981-09-30
Peter S. Beagle ,1939-04-20
Dan Simmons,1948-04-04
Lemony Snicket ,none
Edmond Rostand,1868-04-01
Ellen Raskin,1928-03-13
Jhumpa Lahiri,1967-07-11
Robert Penn Warren,1905-04-24
Diamante Lavendar ,none
