isbn,main author
9781627792127,Leigh Bardugo 
9780545044257,J.K. Rowling
9781400030651,Rohinton Mistry
9780316134026,Laini Taylor 
9780451528957,Robert Louis Stevenson
9781481426305,Cassandra Clare 
9780312532758,Alyson Noel 
9780435233075,Arthur Miller
9781451627282,Stephen King 
9780679751526,John Berendt
9780822210894,Tennessee Williams
9780316921176,David Foster Wallace
9780937832387,Niccolò Machiavelli
9780521618748,William Shakespeare
9780525423270,Stephanie Perkins 
9780553582024,George R.R. Martin
9780446617796,James Patterson 
9780525423645,Ally Condie 
9780743496315,V.C. Andrews
9780743225427,Annie Proulx
9781400064168,Laura Hillenbrand
9780449213445,Chaim Potok
9781476746586,Anthony Doerr 
9780786817870,Eoin Colfer
9780142402498,Astrid Lindgren
9780747599876,J.K. Rowling
9780375408267,Bernhard Schlink
9780743496728,Jodi Picoult 
9781423146728,Rick Riordan 
9781920769208,Gregory David Roberts
9780609608449,Erik Larson 
9781593081430,Edith Wharton
9780385504225,Dan Brown 
9780670016907,John Steinbeck
9780451219367,J.R. Ward 
9781619634442,Sarah J. Maas 
9780060759957,Rebecca Wells 
9780060529703,Jonathan Safran Foer 
9781619630628,Sarah J. Maas 
9780553279375,Maya Angelou
9780062059994,Kiera Cass 
9780679764021,David Guterson
9780679724773,Robert Graves
9781619630659,Sarah J. Maas 
9780349113913,David Sedaris
9780007202324,C.S. Lewis
9780061007224,William Peter Blatty
9780061139376,Neil Gaiman 
9780399162411,Rick Yancey
9780373210084,Julie Kagawa 
9781442408920,Benjamin Alire Sáenz 
9781595143174,Richelle Mead 
9780765346520,Terry Goodkind
9780618680009,Richard Dawkins 
9780307346605,Max Brooks 
9780689875342,Libba Bray 
9780425276761,Sylvia Day 
9780099471424,Anne Rice
9780061662690,Kelley Armstrong 
9780743261951,Alan Paton
9780806512815,Dalton Trumbo
9780141000183,Joanne Harris 
9780061245084,Jeaniene Frost 
9780143038252,Greg Mortenson 
9780802798237,Simone Elkeles 
9780062310637,Victoria Aveyard 
9781416914303,Cassandra Clare 
9780141439617,Wilkie Collins
9781416524793,Dan Brown 
9780670061051,Sarah Dessen 
9780142406250,Sarah Dessen 
9780670022410,Deborah Harkness 
9781416912040,Neal Shusterman 
9780142437964,Marcel Proust
9780395389492,Chris Van Allsburg
9780062059963,Kiera Cass 
9781442426641,Becca Fitzpatrick 
9780385755887,Jennifer Niven 
9780385494786,Jon Krakauer 
9780061969553,Pittacus Lore
9780064471831,Garth Nix 
9780375414497,Abraham Verghese 
9781582349909,Shannon Hale 
9780811214049,Tennessee Williams
9781423157373,Alexandra Bracken 
9780312305062,Michael Cunningham 
9780525618737,Diana Gabaldon 
9780061214653,Melissa Marr 
9781619636040,Sarah J. Maas 
9780312379827,P.C. Cast 
9781561797462,Charles Dickens
9780451450524,Peter S. Beagle 
9780060885373,Laura Ingalls Wilder
9780553283686,Dan Simmons
9780375706677,Cormac McCarthy
9780545424929,Maggie Stiefvater 
9780439206471,Lemony Snicket 
9780812550757,Orson Scott Card
9780142401200,Ellen Raskin
9780618101368,Jhumpa Lahiri
9781423113386,Rick Riordan 
9780316055437,Donna Tartt
9780156004800,Robert Penn Warren
9781982205683,Diamante Lavendar 
9780765326263,W. Bruce Cameron 
9780802139252,Leif Enger
9780061124297,Lionel Shriver 
9781406361803,Patrick Ness
9780684853154,Iain Banks
9780778324331,Maria V. Snyder 
9780345419620,Anne Rice
9780142001806,Jasper Fforde 
9780375856112,Christopher Paolini 
9780061726811,Lauren Oliver 
9780375507779,Stephen King 
9780525422945,Gayle Forman 
9780763676186,Patrick Ness
9780385341677,Karen Marie Moning 
