index,0
John Irving ,1942-03-02
Leslie Feinberg,1949-09-01
Amy A. Bartol ,none
Mary Ting ,none
Junot Díaz,1968-12-31
Robert Jordan,1948-10-17
Alyson Noel ,1965-12-03
Jonathan Stroud ,1970-10-27
Megan McCafferty ,none
Zoe Sugg,1990-03-28
Sidney Sheldon,1917-02-11
Rae Carson,none
Darynda Jones ,none
Kirsten Fullmer ,none
Lisa Gray ,none
Gerald N. Lund ,2002-04-06
Guy Gavriel Kay ,1954-11-07
Tim Powers,1952-02-29
Dorothy Dunnett,1923-08-25
Max Brooks ,1972-05-22
Brandon Mull ,1974-11-08
Bohumil Hrabal,1914-03-28
Jackson Pearce ,none
Jean Kwok ,none
J.R. Ward ,none
Larissa Ione ,none
Agatha Christie,1890-09-15
P.C. Cast ,1960-04-30
David Eddings,1931-07-07
Edward Abbey,1927-01-29
Anne Rice,1941-10-04
Mary Doria Russell ,1950-08-19
Laurell K. Hamilton ,1963-02-19
Melina Marchetta ,1965-03-25
L.J. Smith ,1980-05-13
Douglas Coupland ,1961-12-30
Elizabeth Moon,1945-03-07
Vincent van Gogh,1853-03-30
Wendy Mass ,1967-04-22
Nick Harkaway ,none
Cate Tiernan,1961-07-24
I.M. Nobody,none
Roald Dahl,1916-09-13
Christine Feehan ,none
Robert Galbraith,none
Li Cunxin,1961-01-26
Adolfo Bioy Casares,1914-09-15
Anita Shreve,none
Sue Grafton,1940-04-24
Jerome Lawrence,1915-07-14
Julie Garwood ,none
Frank E. Peretti,1951-01-13
Scarlett Thomas ,1972-07-05
Marlo Lanz ,none
Catherynne M. Valente ,1979-05-05
Seanan McGuire ,1978-01-05
Malinda Lo ,none
Marisa de los Santos ,none
Lisa McMann ,none
Alison Weir,none
D.B.C. Pierre,none
Jojo Moyes ,1969-08-04
Bill Watterson,1958-07-05
John Shors ,none
J. Sheridan Le Fanu,1814-08-28
Tessa Dawn ,none
Trudi Canavan,none
Bernard Cornwell ,1944-02-23
Lynsay Sands ,none
Nikolai Gogol,1809-03-20
Perie Wolford ,none
David Mitchell,none
Rick Chiantaretto ,none
Bill Courtney ,none
Melissa Landers ,1973-06-13
Amy Tan ,1952-02-19
Cynthia Hand ,none
Chris Kyle,1974-04-08
Alwyn Hamilton ,none
NaRae Lee ,none
Barbara Kingsolver,1955-04-08
Adrienne Woods ,none
James Patterson ,1947-03-22
Julie Anne Peters,1952-01-16
Dashiell Hammett,1894-05-27
Yuval Noah Harari,1976-02-24
Michael Marshall Smith ,1965-05-03
Svetlana Alexievich,1948-05-31
Lee Child ,1954-10-29
Jessica Day George ,1976-10-11
Victoria Selman,none
Patricia McCormick,none
Kiersten White ,none
Sarah Rees Brennan ,none
James Baldwin,1924-08-02
Adam Silvera ,1990-06-07
William Diehl,none
Arwen Elys Dayton ,none
Vikas Swarup,1961-06-22
Leslie Marmon Silko,1948-03-05
Luigi Pirandello,1867-06-28
Michael Pollan ,1955-02-06
B. Kristin McMichael ,none
Brian Selznick,1966-07-14
Cynthia Voigt ,1942-02-25
Caragh M. O'Brien ,none
Terry Pratchett,1948-04-28
Cornelia Funke ,1958-12-10
Katie Kacvinsky ,none
Gleb Tsipursky ,none
Barbara Demick ,none
C.C. Hunter ,none
Michael Morpurgo,1943-10-03
James Bowen,none
Heinrich Harrer,1912-07-06
Monica Drake ,none
Lisa Schroeder ,none
Kelli Sullivan ,none
Christina Lauren ,none
Becky Chambers,1985-05-03
H.P. Lovecraft,1890-08-20
Gabriel García Márquez,1927-03-06
Meg Cabot ,1967-02-01
Michelle Moran ,1980-08-11
Rob Buyea,1983-11-06
