index,0
Daniel Pinkwater,1941-11-15
Faith Hunter ,none
Chuck Palahniuk ,1962-02-21
Marge Piercy,1936-03-31
T. Coraghessan Boyle ,1948-12-02
Tim Winton,1960-08-04
Scott Hawkins ,none
Matthew Reilly,1974-07-02
Gordon Korman,1963-10-23
Lacey Weatherford ,none
Abigail Haas ,none
Mary Webb,none
Sogyal Rinpoche,1947
Hergé,1907-05-22
Susanna Kearsley ,1966-01-17
Stef Penney,none
Larry Collins,none
Peter Thiel,1967-10-11
Jostein Gaarder,1952-08-08
Frances Burney,1752-06-13
Anthony Kiedis,1962-11-01
Linda Howard,1950-08-03
Bo Hampton ,none
Kate DiCamillo ,1964-03-25
Piers Paul Read,1941-03-07
D.J. MacHale ,1955-03-11
Kahlil Gibran,1883-01-06
Vince Flynn,1966-04-06
Sébastien Japrisot,1931-07-04
Tamara Ireland Stone ,none
Leila Meacham,none
Vālmīki,none
Nicholas Sparks ,1965-12-31
Kathryn Lasky,1944-06-24
Brenna Yovanoff ,none
Ai Yazawa,1967-03-07
Johnny Cash,1932-02-26
Timothy Egan ,1954-11-08
Richard Siken,1967-02-15
Saira Viola ,none
Bernadette Azizi,none
Roderick Gordon ,none
G.X. Chen ,none
Jason Luke,none
Felix Abt ,none
Paul Van Der Merwe ,none
Tom DeLonge ,1975-12-13
Eric M. Black ,none
Tiffany McDaniel ,none
Christopher Keene ,none
Mary Hoffman,none
Robin LaFevers,none
Renée Paule ,none
Daniel M. Harrison,none
William Kent Krueger ,1950-11-16
Peter Shaffer,1926-05-15
Linwood Barclay ,none
Emily Giffin ,1972-03-20
Donald A. Norman,1935-12-25
Clare B. Dunkle,none
Tamora Pierce ,1954-12-13
Christopher Isherwood,1904-08-26
Nicole Williams ,none
Kenneth Oppel ,1967-08-12
Haresh Daswani ,none
Lisa Tawn Bergren ,none
Kristin Hannah ,1960-09-25
Knut Hamsun,1859-08-04
Rupi Kaur ,1992-10-04
S.C. Gwynne,none
Mineko Iwasaki,1949-11-02
Harriet Ann Jacobs,none
Carla Capshaw ,none
Cindy Brandner ,none
Harry Thompson,1960-02-06
Aeschylus,none
Erica Stevens ,1999-12
Joseph Fink,none
Roland Barthes,1915-11-12
Tom Perrotta,1961-08-13
A.C. Gaughen ,none
Kristen Britain,1965-10-18
Michelle Cohen Corasanti ,none
Ryūnosuke Akutagawa,1892-03-01
Gary D. Schmidt,1957-04-14
Lincoln Child,1957-10-13
Alan Hollinghurst,1954-05-26
Jeff Smith,none
Michael Connelly ,1956-07-21
Jean Anouilh,1910-06-23
Samuel Beckett,1906-04-13
Tera Lynn Childs ,none
Christopher Shields ,none
Joyce Carol Oates,1938-06-16
Howard Marks,1945-08-13
William R. Forstchen,1950-10-11
Ally Shields ,none
Matthew Dicks ,none
Sean Covey,none
Kyōichi Katayama,none
Melanie Dickerson ,none
Julie Murphy ,none
Ann Rule,none
John Patrick Kennedy ,none
Avery Aster ,none
C.E. Medford ,none
Cath Crowley ,none
F. Paul Wilson ,1946-05-17
Roddy Doyle,1958-05-08
Victoria Helen Stone ,none
Thor Heyerdahl,1914-10-06
LaVyrle Spencer,1943-07-17
Caitlin Moran,1975-04-05
Marguerite Henry,1902-04-13
Sylvia Plath,1932-10-27
Brother Andrew,1928-05-11
Patricia C. Wrede ,1953-03-27
Christopher Paolini ,1983-11-17
Amin Maalouf ,1949-02-25
James Agee,none
Jean Ferris,none
William Faulkner,1897-09-25
Clive Barker ,1952-10-05
Patrick Taylor ,none
David Sheff ,1955-12-23
Sarah J. Maas ,1986-03-05
Joan Didion,1934-12-05
Guy Delisle,1966-01-19
Rani Manicka ,none
Rohinton Mistry,none
Javier Marías,1951-09-20
Jack Schaefer,none
Simon Winchester,1944-09-28
James Frey,1969-09-12
Neil Strauss ,none
K.A. Applegate,1956-10-09
Elizabeth George Speare,1908-11-21
Frantz Fanon,1925-07-20
Peter Jenkins,none
Gail McHugh ,none
Gary Paulsen,1939-05-17
Connor Franta,1992-09-12
Ryan Graudin ,none
Kelly Barnhill ,none
Caroline Taggart ,none
Georgette Heyer,1902-08-16
Jon Ronson,1967-05-10
Friedrich A. Hayek,1899-05-08
Mercer Mayer ,1943-12-30
Lauren Barnholdt ,none
Lawrence Anthony,1950-09-17
Joris-Karl Huysmans,1848-02-05
Daniel H. Wilson ,1978-03-06
Hafez,none
Stephen E. Ambrose,1936-01-10
Catherine Ryan Hyde ,none
Daniel Clowes,1961-04-14
Melissa de la Cruz ,1971-09-07
Joshua Foer ,1982-09-23
Aimee Carter ,none
Jacqueline Kelly ,none
Simone Elkeles ,1970-04-24
Ramachandra Guha,1958-04-29
Carol Plum-Ucci,1957-08-16
Kate McCarthy ,1992-10-24
Vivian Barz ,none
Sheri Holman,none
Jodi Lynn Anderson ,none
James Riley ,none
A.J. Mouse ,none
Naguib Mahfouz,1911-12-11
Katie McGarry ,none
Elizabeth C. Bunce ,none
Kate Jacobs,1959-01-11
Michelle Harrison ,none
Michael Crichton,1942-10-23
Michelle A. Valentine ,none
Joan Lindsay,1896-11-16
Vladimir Bartol,1903-02-24
Amy Harmon ,none
Gregg Olsen ,1959-03-05
Laurelin Paige ,none
Abolqasem Ferdowsi,none
Patricia A. McKillip,1948-02-29
Jane Yolen ,1939-02-11
Esther Earl,none
Mark Frost ,1953-11-25
Rebecca Donovan ,none
Gayle Forman ,1970-06-05
Chimamanda Ngozi Adichie,1977-09-15
Erick Setiawan ,none
Harold G. Moore,1922-02-13
Bridget Hodder ,none
Amber Smith ,none
Samantha Ryan Chandler ,none
Saul Bellow,1915-07-10
Nicholas Evans,1950-07-26
China Miéville ,1972-09-06
John Gunther,1901-08-30
Jack Kerouac,1922-03-12
Annie Proulx,1935-08-22
Olivia Cunning ,none
Gloria Whelan,1923-11-23
Conn Iggulden,1971-02-24
Nathan Filer,none
R.F. Kuang ,1996-05-29
Yvonne Woon ,none
Emma Donoghue ,1969-10-24
Elizabeth Berg,none
Trina Paulus,none
Gail Carson Levine ,1947-09-17
Dave Barry,1947-07-03
Jennifer Lynn Barnes ,none
Gretchen Rubin ,1965-12-14
Claudia Gray ,none
Cassandra Rose Clarke ,none
Lolly Winston,none
Charles Palliser,none
Alvin Schwartz,none
Sally Green ,none
Samuel Richardson,1689-08-19
Abigail Thomas,none
Jared Diamond,1937-09-10
Bertrand Russell,1872-05-18
Julie Berry ,none
Lucian Bane ,none
W.H. Hudson,1841-08-04
Louis L'Amour,1908-03-22
George Orwell,none
Luther Blissett,1958-02-01
Lora Leigh,1965-03-06
Evelyn Waugh,1903-10-28
John Cheever,1912-05-27
Jillian Dodd ,none
Matilde Asensi ,none
Becca Fitzpatrick ,1979-02-03
Amanda Lovelace,none
Catherine Fisher,none
Jessie Burton,1982-08-17
Chloe Benjamin ,none
Janet Fitch ,1955-11-09
Charles Frazier,1950-11-04
Djuna Barnes,none
Greg Behrendt ,1963-07-21
Steven Gould ,1955-02-07
Allan Pease,none
Nien Cheng,1915-01-28
Philip Pullman,1946-10-19
Robin McKinley,1952-11-16
Alice Schroeder,1956-12-14
Anna Banks ,none
Renee Carlino ,none
Tia Shurina ,none
Heather Brewer ,1973-09-21
Kathryn Erskine,none
Chris Grabenstein ,none
Milan Kundera,1929-04-01
L.E. Modesitt Jr. ,none
Snorri Sturluson,1179
Robert Greene ,none
Robert Holdstock,1948-08-02
Ashley Herring Blake ,none
Gore Vidal,1925-10-03
Phil Knight,1938-02-24
Robert G. Williscroft ,none
Gordon B. Hinckley,1995-03-12
Ellen DeGeneres,1958-01-26
Anne Lamott ,1954-04-10
Arthur Ransome,1884-01-18
Greg Iles ,none
Brittainy C. Cherry ,none
Jenny Lawson ,none
Kamala Markandaya,1924-01-01
Elizabeth Gaskell,1810-09-29
Anna Lee Waldo,none
Phyllis Reynolds Naylor,1933-01-04
Janette Rallison ,1966-04-01
Hannah Arendt,1906-10-14
Yamamoto Tsunetomo,none
Charles M. Sheldon,1857-02-26
Dean R. Koontz,1945-07-09
John Buchan,1875-08-26
Elfriede Jelinek,1946-10-20
Richard Bach ,1936-06-23
David Sedaris,1956-12-26
Rob Thurman ,none
Maile Meloy ,1972-01-01
Andrew Peterson ,none
Mary E. Pearson ,1955-08-14
Robert E. Howard,1906-01-22
David Lagercrantz,1962-09-04
D.C. Talk,none
Pär Lagerkvist,1891-05-23
Victor Villaseñor,1940-05-11
Alex London,none
Michelle Sagara,1963-05-05
Sara Douglass,1957-06-02
Elizabeth Payson Prentiss,none
Ann Aguirre ,none
Katie Ashley ,none
Elizabeth Strout,1956-01-06
Thérèse de Lisieux,1873-01-02
Anna Quindlen,1952-07-08
Catherine Hardwicke,1955-10-21
Nancy Werlin ,none
Lauren Child,1965-11-29
R.K. Lilley ,none
Tayari Jones ,1970-11-30
Robert McCloskey,1914-09-14
Hjalmar Söderberg,1869-07-02
Libba Bray ,1964-03-11
Winston Graham,1908-06-30
Shel Silverstein,1930-09-25
Ezra Pound,none
Alan Bennett,1934-05-09
Susane Colasanti ,1973-05-01
Enid Blyton,1897-08-11
Rhonda Byrne,1951-03-12
Maxine Hong Kingston,1940-10-27
David Brin ,1950-10-06
Luis Alberto Urrea ,1955-08-20
Jessica Verday,none
P.G. Wodehouse,none
Kathleen E. Woodiwiss,1939-06-03
Pam Muñoz Ryan,1951-12-25
Joseph Campbell,1904-03-26
Arturo Pérez-Reverte,1951-11-25
Stephen Hunter ,1946-03-25
M. Pierce ,none
Keith Donohue ,none
Marilyn French,1929-11-21
Erin Gruwell,1969-08-15
Kōji Suzuki,none
Steven Pinker ,1954-09-18
Madeleine Roux ,none
Mark Dunn,1956-07-12
Graeme Simsion ,none
Jeanette Winterson,1959-08-27
Stefan Zweig,1881-11-28
Julie Orringer ,none
L.P. Hartley,1895-12-30
Karl Marx,1818-05-05
Connie May Fowler ,none
Bisco Hatori,1975-08-30
Boris Vian,1920-03-10
Megan Shepherd ,none
Kat Zhang ,1991-04-01
Herman Koch,1953-09-05
Raina Telgemeier ,1977-05-26
Alice Hoffman ,1952-03-16
Robert Lynn Asprin,1946-06-28
Rafael Sabatini,1875-04-29
Witold Gombrowicz,1904-08-04
David Clement-Davies ,1964-01-06
Don Piper,none
Jacquelyn Frank ,none
Annette Curtis Klause,none
C.J. Daugherty ,none
Graham Swift,1949-05-04
Ruth Stiles Gannett,1923-08-12
Drew Karpyshyn ,1971-07-28
Sarah Dessen ,1970-06-06
Pernell Plath Meier ,none
Virginia Lee Burton,1909-08-30
Pamela Dean,none
Jennifer Ashley ,none
Kady Cross ,none
Jude Deveraux,1947-09-20
Hannu Rajaniemi,1978-03-09
Susan Vreeland,1946-01-20
Mari Mancusi ,none
Sherwood Smith ,1951-05-29
E.M. Forster,1879-01-01
Vera Brosgol ,1984-08-02
Patricia Reilly Giff,none
Keri Arthur ,1967-12-04
Bob Dylan,1941-05-24
Amy Tintera ,none
W. Cleon Skousen,1913-01-20
Grace Lin ,none
Lisa Genova ,1970-11-22
Andrew Mayne ,none
Chelsea Handler,1975-02-25
Kate O'Hearn,none
Frank Miller,1957-01-27
John Stephens,none
Jennifer E. Smith ,none
Fynn,none
Louise O'Neill,none
Jenny Carroll,1967-02-01
Kimberly Lauren ,none
Julia Cameron,1948-03-04
Karena Marie ,none
Alyxandra Harvey ,none
Georgia Hunter ,none
Brigid Kemmerer ,1978-01-11
Max Frisch,none
Diane Duane ,1952-05-18
Karen Witemeyer ,none
J.I. Packer,1926-07-22
Simone de Beauvoir,1908-01-09
Katherine Paterson,1932-10-31
Nick Burd,none
Thomas S. Kuhn,1922-07-18
J.R. Parker ,none
Irvin D. Yalom,1931-06-13
Macel Ely II,none
Stacey Kade ,none
Sarah Ann Walker ,none
Amber Lea Easton ,none
Jamie A. Waters ,none
Lola Smirnova ,none
Matthew D. Dho ,none
Alexandra Christo ,none
Donald McCaig,none
C.J. Sansom,none
Robert Bolt,1924-08-15
Peter Lerangis,none
Donna K. Childree ,none
Liz Kessler,none
Steve Kluger ,none
Kimberly Derting ,none
Tracy Chevalier ,1962-10-19
Pierre Boulle,1912-02-20
Chelsea Cain ,1972-02-05
Matthew Woodring Stover,none
Robert Thier,none
Emil M. Cioran,1911-04-08
James Thurber,1894-12-08
Mary Renault,1905-09-04
Joe Dunthorne,none
Nikki Sex ,none
Lene Kaaberbøl,none
Judith Kerr,1923-06-14
Katie Cotugno ,none
Sherman Alexie,1966-10-07
Robert Muchamore,1971-12-26
Joe Kelly,none
Victoria Foyt ,none
Anna Gallegos ,none
Greer Hendricks ,none
Shirley Jackson,1916-12-14
Claire Morgan ,1980-08-17
Edgar Lee Masters,1868-08-23
Jane Green ,none
Chris Wooding,none
Aidan Chambers,none
Veronica Blade ,none
Jo Nesbø ,1960-03-29
J.M. Darhower ,none
Amit Ray,1960-08-12
Epictetus,none
Jerry Spinelli,1941-02-01
Greg Egan,1961-08-20
Christopher Pike,none
Alexandra Ivy ,none
Marlo Morgan,none
Lisa Collicutt ,none
Émile Zola,1840-04-02
Sylvain Neuvel ,none
Diane Chamberlain ,none
Frédéric Bastiat ,1801-06-30
Jonathan Swift,1667-11-30
Alan Campbell,none
Kathleen Kent ,none
Tom Angleberger ,none
Jana Oliver ,none
Adrian Tchaikovsky ,1972-06-04
Hilary Davidson ,none
Ambrose Bierce,1842-06-24
Eloise Jarvis McGraw,none
Raymond Khoury ,none
James C. Collins,1958-01-25
Erich Segal,1937-06-16
Belzebuub ,none
Cat Clarke ,none
Caroline Smailes,none
James M. McPherson,1936-10-11
Neil Pasricha ,1979-09-17
Joseph Bédier,none
Iris Chang,1968-03-28
Jim L. Wright,none
Maggie Stiefvater ,1981-11-18
Hanif Kureishi,1954-12-05
Amy Efaw ,none
Alexandra Bracken ,none
Meg Wolitzer,1959-05-28
Melvin Burgess,1954-04-25
Alessandro Manzoni,1785-03-07
W.G. Sebald,1944-05-18
Kimber Lee ,1990-06-27
Nnedi Okorafor ,1974-04-08
Rodman Philbrick,1951-01-22
Molly McAdams ,none
Nicholas Pileggi,1933-02-22
Craig Thompson,1975-09-21
Rachel Hawthorne,none
Barbara Erskine,none
Frank McCourt,1930-08-19
Mark Tufo ,none
Robin Benway ,none
Riley Sager ,none
Robert Harris ,none
Ocean Vuong,1988-10-14
Keri Smith ,none
Asa Don Brown ,none
June Rae Wood,none
Brian Katcher ,none
Glen Cook,1944-07-09
Austin Kleon ,1983-06-16
Frances Hardinge,none
Stephanie Osborn ,none
Dorothy Koomson ,none
Rebecca Wells ,none
Paul Harding,none
Elizabeth Haydon,none
Lynn Flewelling ,1958-10-20
Tammy Falkner ,none
Jen Campbell ,none
Anthony Trollope,1815-04-24
Mark Hodder ,none
Pema Chödrön,1936-07-14
Myles na gCopaleen,1911-10-05
Crystal Rose ,none
Angela Morrison ,2007-08-28
Ray Bradbury,1920-08-22
Tommy Orange ,1982-01-19
Amitav Ghosh,1956-07-11
Chris d'Lacey,1954-12-15
Rebecca West,1892-12-21
Martha Hall Kelly ,none
Sejal Badani ,none
Annemarie Selinko,none
Grant Naylor,none
Margaret George ,none
Albert Einstein,1879-03-14
Maxim Gorky,none
S.J. Kincaid ,none
Kenzaburō Ōe,1935-01-31
Michael A. Singer ,none
Jean Genet,1910-12-19
Lili St. Germain ,none
Simon Sinek ,1973-10-09
Benjamin Alire Sáenz ,1954-08-16
Terry Tempest Williams,1955-09-08
Laurie R. King ,1952-09-19
Founding Fathers,none
Caroline B. Cooney,none
Richard Brautigan,1935-01-30
Shannon McRoberts ,none
Anne Blankman ,none
Robert Bryndza ,none
Alexander Helas ,none
Barry Hughart,1934-03-13
John Vaillant,none
John O'Hara,1905-01-31
Ben Mikaelsen,none
Thomas Tryon,1634-09-06
Maureen Johnson ,1973-02-16
Richard Russo ,1949-07-15
Michael Cunningham ,1952-11-06
Joanne M. Harris,none
Kate Forsyth ,1966-06-03
Bertolt Brecht,1898-02-10
James D. Bradley,none
Margaret Mazzantini,1961-10-27
Rachel E. Carter ,none
C.C. Humphreys ,none
Joe Hill ,none
Esther Hicks,1948-03-05
Ben Goldacre,1974-05-20
Kris Kelkar ,none
Ken Akamatsu,1968-07-05
Warren Ellis,1968-02-16
Jack Whyte ,none
Robin Wasserman ,none
Hajime Isayama,1986-08-29
Hugh Howey ,1975-06-23
Kyle Keyes,none
Robert Fanney ,none
Sarah L. Delany,none
Mark Walden ,none
Tama Janowitz,1956-04-12
Tim Willocks,1957-10-27
Harry Mulisch,1927-07-29
Jane Seville ,none
Abigail Roux ,none
Rose Christo,none
J.P. Delaney ,none
Scott Smith,none
Nick Bantock,none
Victoria Hislop,none
Bethany Wiggins ,none
Julie Buxbaum ,none
Katherine Arden ,none
Ali Benjamin,none
Laura Joffe Numeroff ,1953-07-14
Frank Miller ,1957-01-27
Farley Mowat,1921-05-12
April Henry ,1959-04-19
Andre Agassi,1970-04-29
L.J. Shen ,none
Sara Donati ,1956-01-14
Uwem Akpan,none
Andrew Klavan ,1954-07-13
Robert Kirkman,1978-11-30
Bethany Hamilton,1990-02-08
Wallace Breem,none
William Gaddis,1922-12-29
Mariko Tamaki,none
Autumn Jones Lake ,none
Georg Wilhelm Friedrich Hegel,none
Elizabeth Flock ,none
Gary Jennings,none
S. Jae-Jones ,none
Pete Hamill,1935-06-24
L.A. Meyer,none
M.L. Forman ,none
Walt Whitman,1819-05-31
Leo Tolstoy,1828-09-09
Lian Hearn,1942-08-29
Eduardo Galeano,1940-09-03
Peter Hedges,1962-07-06
Meredith Ann Pierce,none
Robert Specht,1921-10-22
Beryl Markham,none
Mary Lawson,none
E.D. Baker ,none
Randa Abdel-Fattah,1979-06-06
Amber Argyle ,none
Sophie McKenzie ,none
Kent Haruf,none
Christopher Paul Curtis,1953-05-10
Francesca Lia Block ,1962-12-03
Edward Gibbon,none
Lars Saabye Christensen,1953-09-21
Wu Cheng'en,none
Natasha Anders ,none
Marie Brennan ,none
Edward S. Herman,1925-04-07
Lucia St. Clair Robson,none
Tyler Whitesides ,none
Charles Baudelaire,none
Carl Sagan,1934-11-09
Bolesław Prus,1847-08-20
John Nichols,none
Catherine Gilbert Murdock,none
Roland Smith,1951-11-30
Willow Aster ,none
Jeff Noon,none
M.T. Anderson,1968-11-04
Josie Silver ,none
Barbara W. Tuchman,1912-01-30
Marilynne Robinson,1943-11-26
Karen Miller,none
Dennis Lehane ,1965-08-04
Marjane Satrapi,1969-11-22
Lesley Livingston ,none
Trenton Lee Stewart ,1970-05-27
Wendy Wunder,none
Jay McLean ,none
Charles de Lint ,1951-12-22
Euripides,none
Francisco X. Stork ,none
Steven Galloway,1975-07-13
GRWilson ,none
Percy Bysshe Shelley,1792-08-04
Emily Rodda ,1948-04-02
Jules Verne,1828-02-08
Jon Scieszka,1954-09-08
Jon McGregor,none
Sarah Winman,1964-12-24
Rebecca Zanetti ,none
Alaa Al Aswany,1957-05-26
Lucinda Riley ,1965-02-16
Nicholas Monsarrat,1910-03-22
Alexandra Monir ,none
Maurice Druon,1918-04-23
Alex Sanchez ,none
Shay Savage ,none
Melanie Rawn,none
Ntozake Shange,1948-10-18
Will Schwalbe ,none
Grant Morrison,1960-01-31
J.J. McAvoy,none
Tony Kushner,1956-07-16
James Victor Jordan ,none
Ann Fairbairn,none
B. Traven,none
Arthur C. Clarke,1917-12-16
Anthony Swofford,1970-08-12
Julia Golding ,none
Brian McClellan ,1986-01-25
Chris Bohjalian ,1962-08-12
David McCullough,1933-07-07
Kate Brian,1974-03-11
Lisa Scottoline ,1955-07-01
Lidia Yuknavitch ,1963-06-18
James D. Hornfischer ,none
Mordecai Richler,1931-01-27
Janet Edwards ,none
Ernest Cline ,1972-03-29
Robyn Carr ,none
Brian Lumley,1937-12-02
Alexandra Adornetto,none
Imbolo Mbue ,none
Joy Adamson,1910-01-20
S.C. Stephens ,none
I James Forrest,none
Herman Melville,1819-08-01
NisiOisiN,none
Mark R. Levin,1957-09-21
Ludovico Ariosto,none
Johanna Lindsey,1952-03-10
Alexandra Potter ,none
Lois Duncan,1934-04-28
Melissa Marr ,1972-07-25
Beth Flynn ,none
Jeanne Ryan ,none
Donita K. Paul ,1950-11-20
Kat Falls ,none
Emily Murdoch ,none
David Finkel,none
Henning Mankell,1948-02-03
Banksy,none
Rob Reger ,none
Jonathan Haidt,1963-10-19
Danielle Trussoni ,none
Jim Dwyer,none
Yann Martel,1963-06-25
Heather O'Neill ,none
Marlen Haushofer,none
Tennessee Williams,1911-03-26
M.M. Kaye,1908-08-21
Kevin Hearne ,1970-12-09
Walter Lord,1917-10-08
Cora Carmack ,none
James Lee Burke,1936-12-05
Chris Heimerdinger,none
Erik Larson ,none
John le Carré,1931-10-19
Zilpha Keatley Snyder,none
Wallace Stegner,1909-02-18
Julie Andrews Edwards,1935-10-01
Colleen McCullough,1937-06-01
J. Lynn,none
Jennifer Weiner ,1970-03-28
Raymond Queneau,1903-02-21
Jonathan Auxier ,1981-08-10
Gwen Hayes,none
C.G. Jung,1875-07-26
Sun-mi Hwang,none
Mhairi McFarlane ,none
Alexandre Dumas,1802-07-24
Cynthia D'Aprix Sweeney ,none
Bill Martin Jr.,none
James Herbert,1943-04-08
Imre Kertész,1929-11-09
Kentaro Miura,1966-07-11
Jacqueline Woodson ,1963-02-12
Candice Millard,none
Amy Chua,1962-10-26
Skyla Madi ,none
Laurie Halse Anderson ,1961-10-23
William Maxwell,none
Simon Wiesenthal,1908-12-31
Rene Denfeld ,none
Jennifer Worth,1935-09-25
Karen Kingsbury ,none
Foundation for Inner Peace ,none
Danny Sugerman,1954-10-11
Jiddu Krishnamurti,1895-05-11
Adam Fawer,none
Jess Walter,1965-07-20
M.J. Thompson ,none
Flannery O'Connor,1925-03-25
Susan Cooper ,1935-05-23
Lauren Morrill ,none
Opal Whiteley,1897-12-11
Frank Delaney,1942-10-24
John Eldredge,1960-06-06
Jack Canfield ,1944-08-19
Scott Snyder ,none
Taylor Caldwell,1900-09-07
George Grossmith,none
Chingiz Aitmatov,1928-12-12
Lauren Beukes ,1976-06-05
Monica Murphy ,none
The Harvard Lampoon,1876-02
Linda Castillo ,none
Jennifer Rush ,1960-09-28
Ernst Jünger,1895-03-29
Lisa Mantchev,none
Claire LaZebnik ,none
Felix Salten,1869-09-06
Glen Duncan,none
Roxane Gay ,1974-10-15
Paula Morris,1965-08-18
Mick Foley,1965-06-07
Rumiko Takahashi,1957-10-10
Jacquelyn Mitchard ,none
Anthony Burgess,1917-02-25
Suetonius,none
Rumi,none
pleasefindthis ,none
Herta Müller,1953-08-17
J.K. Rowling,1965-07-31
Elizabeth Hoyt ,none
Pepper Winters ,none
Gail Tsukiyama,none
Joan D. Vinge,1948-04-02
Melissa Bank,1960-10-11
Megan Whalen Turner ,1965-11-21
Walker Percy,1916-05-28
Jean Craighead George,1919-07-02
Catherine Jinks,none
Paul Murray,none
Nancy Holder ,1953-08-29
Elizabeth Forsythe Hailey,none
Christina Dodd ,none
Anton Szandor LaVey,1930-04-11
Anna Carey ,none
Violet Samuels ,none
Martha Wells ,1964-09-01
Julie Lessman ,none
Katherine Boo,1964-08-12
Jacqueline Winspear ,1955-04-30
William Kennedy,none
Ron McLarty,1947-04-26
Sheri Reynolds ,none
Theo Lawrence,none
Wendelin Van Draanen ,none
Rosemary Sutcliff,1920-12-14
John Brunner,none
Michael Buckley,none
L.M. Montgomery,1874-11-30
Karen Maitland ,none
Tim LaHaye,1926-04-27
Carol Goodman ,none
Helen Simonson ,none
J.D. Stroube ,none
Tom Davis ,none
Leandi Cameron ,none
S.M. Parker ,none
Michael Jensen ,none
Michael D. Durkota,none
Lene Fogelberg ,none
Tiffany FitzHenry ,none
Durgesh Satpathy ,none
Ali Marsman ,none
Susanna Tamaro,1957-12-12
Trevor Shane ,1976-04-04
Kay Redfield Jamison ,1946-06-22
Eric Flint,1947-02-06
Sorin Suciu ,none
Thomas Piketty,1971-05-07
Jeremy Griffith ,none
Chris Crutcher,1946-07-17
Sylvia Browne,1936-10-19
Liz Berry,none
Michel Faber,1960-04-13
Chris Thrall ,none
Isabel Wilkerson ,none
Hans Christian Andersen,1805-04-02
Farah Cook ,none
Susan M. Boyer ,none
Elizabeth Marie Pope,1917-05-01
Thomas L. Friedman,1953-07-20
Carolyn Jessop,1968-01-01
Adam Rex ,1973-05-16
Aristotle,none
John C. Wright,none
Lisa Ann Sandell ,none
Janie Pendleton ,none
Greg Cox,none
T. Rafael Cimino ,1963-06-04
Teresa Garcia ,none
Elle Casey ,none
Jerilee Kaye ,none
William James,1842-01-11
Michael Ondaatje,1943-09-12
Kathleen Baldwin ,none
Ginny Ror,none
Jayde Scott ,none
Alexander Jovy ,none
Emily Guido ,none
Mia Asher ,none
Anne Tyler ,1941-10-25
Katharine Kerr ,1944-10-03
Cecily von Ziegesar,1970-06-27
Gabriella Lepore ,none
Glen David Gold ,none
Ripley Patton ,none
Jun'ichirō Tanizaki,1886-07-24
A.J. Cronin,1896-07-19
Edmund Morris,none
Michael Dorris,1945-01-30
Zhou Weihui,1973-01-04
Iain Parke ,none
Kevin J. Howard ,none
Warren Buffett,1930-08-30
Bob Goff,1959-02-22
Jamal Lewis ,1979-08-26
Andrew Kaufman ,none
Jenna Black ,none
C.E. Kilgore ,none
Eben Alexander,none
Mary Higgins Clark,1927-12-24
Naoki Higashida,none
Rusty Young ,none
Dennis E. Taylor ,none
Rainbow Rowell ,1973-02-24
Nicholas Christopher,none
Jennifer Laurens ,none
Armando Cosani,none
Joseph Sweet ,none
Pablo Neruda,1904-07-12
Rysa Walker ,none
Durjoy Datta ,1987-02-07
Tamara Philip ,none
Jaye L. Knight ,none
Leisa Rayven ,none
Allan Folsom,none
Alma Katsu ,1959-11-29
David Weber,1952-10-24
Courtney Allison Moulton ,1986-08-16
Jalpa Willi,none
Ha-Joon Chang,1963-10-07
Maud Hart Lovelace,1892-04-25
Catherine M. Wilson ,none
Donato Carrisi,1973-03-25
Sebastian Barry,1955-07-05
Lauren Graham,1967-03-16
Michelle McNamara,1970-04-14
Elle Jasper ,none
Jus Accardo ,none
Michelle Rowen ,none
George Bernard Shaw,1856-07-26
Daniel Keyes,1927-08-09
Michelle Browne ,none
Leila Sales ,none
Robert Littell,none
C.S. Johnson ,none
Milton Friedman,1912-07-31
Ben Okri,1959-03-15
Allan Gurganus,1947-06-11
Owen Wister,1860-07-14
Adam Levin,none
Willo Davis Roberts,none
Selma Lagerlöf,1858-11-20
Philipp Meyer ,none
Allyse Near ,none
Kathleen McGowan ,none
Cecily von Ziegesar ,1970-06-27
Emilie Autumn ,1979-09-22
Hannah Moskowitz ,none
Karina Halle ,none
Romina Russell ,none
Kathleen Glasgow ,none
Mohsin Hamid,1971-07-23
J.P. Donleavy,1926-04-23
Brian Greene,1963-02-09
Susan Beth Pfeffer,none
Antony John ,none
Nathan Hill,none
Barbara Davis ,none
James Clear ,none
Peach-Pit,none
Masamune Shirow,1961-11-23
Clifford D. Simak,1904-08-03
Natsuo Kirino,1951-10-07
Sara Young,none
Michelle Zink ,none
Sherryl Jordan,none
Terence McKenna,1946-11-16
Roy Huff ,none
Julie Kibler ,none
Nick Bostrom ,1973-03-10
Soman Chainani ,none
Sarah Pinborough ,none
Zadie Smith,1975-10-25
Curtis Sittenfeld ,1975-08-23
Neil Sheehan,1936-10-27
Andy Andrews ,1959-05-22
Richard Rhodes,1937-07-04
H.M. Ward ,none
Veronica Rossi ,1973-06-16
Daniel Goleman ,1946-03-07
Nadine Brandes ,none
Devdutt Pattanaik ,1970-12-11
S.A. Chakraborty ,none
Eiji Yoshikawa,1892-08-11
Jeff Lindsay ,1952-07-14
Julia Child,1912-08-15
Derek Ruiz ,none
Galaxy Craze,none
Miroslav Krleža,1893-07-07
Brian Staveley ,none
Carrie Hope Fletcher,1992-10-22
Seth Dickinson ,none
Stephen Briggs ,none
